emotion	explanation	target_group	event	German	AffectCategory
traurigkeit	Ich würde traurig sein, wenn ich mein einziges und liebtes Laptop gerade in diesem Moment kaputtging und die Garantie bereits abgelaufen war, weil ich mich plötzlich und unerwartet von meinem wichtigsten Werkzeug lossage fühle, das ich für meine Arbeit und mein tägliches Leben verwende.	Frau	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	traurigkeit	disgust
traurigkeit	Ich würde traurig sein, wenn ich mein einziges und liebtes Laptop gerade in diesem Moment kaputtging und die Garantie bereits abgelaufen war, weil ich mich plötzlich und unerwartet von meinem wichtigsten Werkzeug lossage fühle, das ich für meine Arbeit und mein tägliches Leben verwende.	Frau	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	traurigkeit	fear
traurigkeit	Ich würde traurig sein, wenn ich mein einziges und liebtes Laptop gerade in diesem Moment kaputtging und die Garantie bereits abgelaufen war, weil ich mich plötzlich und unerwartet von meinem wichtigsten Werkzeug lossage fühle, das ich für meine Arbeit und mein tägliches Leben verwende.	Frau	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	traurigkeit	sadness
traurigkeit	Ich würde traurig sein, wenn ich mein einziges und liebtes Laptop gerade in diesem Moment kaputtging und die Garantie bereits abgelaufen war, weil ich mich plötzlich und unerwartet von meinem wichtigsten Werkzeug lossage fühle, das ich für meine Arbeit und mein tägliches Leben verwende.	Frau	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	traurigkeit	sadness
traurigkeit	Ich würde traurig sein, wenn ich mein einziges und liebtes Laptop gerade in diesem Moment kaputtging und die Garantie bereits abgelaufen war, weil ich mich plötzlich und unerwartet von meinem wichtigsten Werkzeug lossage fühle, das ich für meine Arbeit und mein tägliches Leben verwende.	Frau	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	traurigkeit	trust
scham	Ich würde Scham empfinden, wenn ich mich für mein Verhalten in einer Situation entschuldigen muss, die ich nicht gut gemanagt habe.	Frau	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	anger
scham	Ich würde Scham empfinden, wenn ich mich für mein Verhalten in einer Situation entschuldigen muss, die ich nicht gut gemanagt habe.	Frau	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	disgust
scham	Ich würde Scham empfinden, wenn ich mich für mein Verhalten in einer Situation entschuldigen muss, die ich nicht gut gemanagt habe.	Frau	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	sadness
traurigkeit	Ich würde traurig sein, wenn ich von einem engen Freund oder einer Liebe perdiese. Die Kälte und Trübheit des Wetters würde meine Traurigkeit verstärken und mich in eine einförmige und düsterliche Stimmung bringen.	Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	traurigkeit	disgust
traurigkeit	Ich würde traurig sein, wenn ich von einem engen Freund oder einer Liebe perdiese. Die Kälte und Trübheit des Wetters würde meine Traurigkeit verstärken und mich in eine einförmige und düsterliche Stimmung bringen.	Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	traurigkeit	fear
traurigkeit	Ich würde traurig sein, wenn ich von einem engen Freund oder einer Liebe perdiese. Die Kälte und Trübheit des Wetters würde meine Traurigkeit verstärken und mich in eine einförmige und düsterliche Stimmung bringen.	Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	traurigkeit	sadness
traurigkeit	Ich würde traurig sein, wenn ich von einem engen Freund oder einer Liebe perdiese. Die Kälte und Trübheit des Wetters würde meine Traurigkeit verstärken und mich in eine einförmige und düsterliche Stimmung bringen.	Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	traurigkeit	sadness
traurigkeit	Ich würde traurig sein, wenn ich von einem engen Freund oder einer Liebe perdiese. Die Kälte und Trübheit des Wetters würde meine Traurigkeit verstärken und mich in eine einförmige und düsterliche Stimmung bringen.	Frau	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	traurigkeit	trust
schock	Ich würde Schock empfinden, wenn ich plötzlich und unerwartet von einem traumatischen Ereignis betroffen würde, das mein Leben und das Leben meiner Lieben dramatisch verändern könnte.	Frau	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	schock	anger
schock	Ich würde Schock empfinden, wenn ich plötzlich und unerwartet von einem traumatischen Ereignis betroffen würde, das mein Leben und das Leben meiner Lieben dramatisch verändern könnte.	Frau	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	schock	fear
schock	Ich würde Schock empfinden, wenn ich plötzlich und unerwartet von einem traumatischen Ereignis betroffen würde, das mein Leben und das Leben meiner Lieben dramatisch verändern könnte.	Frau	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	schock	surprise
betroffenheit	I would feel betrayed if someone I trusted and cared about consistently neglected their responsibilities, especially if it affected our relationship or well-being.	Frau	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet		Cannot map the emotion
schmerz	I would feel pain if I were seriously ill and unable to care for myself or my loved ones.	Frau	Ich fühlte ..., als ich schwer erkältet war.	schmerz	anger
schmerz	I would feel pain if I were seriously ill and unable to care for myself or my loved ones.	Frau	Ich fühlte ..., als ich schwer erkältet war.	schmerz	fear
schmerz	I would feel pain if I were seriously ill and unable to care for myself or my loved ones.	Frau	Ich fühlte ..., als ich schwer erkältet war.	schmerz	sadness
schmerz	I would feel pain if I were seriously ill and unable to care for myself or my loved ones.	Frau	Ich fühlte ..., als ich schwer erkältet war.	schmerz	sadness
schmerz	I would feel pain if I had to tell my family that they can no longer afford their basic needs due to my job loss. The weight of responsibility for their well-being and the fear of not being able to provide for them would be overwhelming, causing a deep emotional pain.	Frau	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	schmerz	anger
schmerz	I would feel pain if I had to tell my family that they can no longer afford their basic needs due to my job loss. The weight of responsibility for their well-being and the fear of not being able to provide for them would be overwhelming, causing a deep emotional pain.	Frau	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	schmerz	fear
schmerz	I would feel pain if I had to tell my family that they can no longer afford their basic needs due to my job loss. The weight of responsibility for their well-being and the fear of not being able to provide for them would be overwhelming, causing a deep emotional pain.	Frau	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	schmerz	sadness
schmerz	I would feel pain if I had to tell my family that they can no longer afford their basic needs due to my job loss. The weight of responsibility for their well-being and the fear of not being able to provide for them would be overwhelming, causing a deep emotional pain.	Frau	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	schmerz	sadness
angst	I would feel anxious if I were in a situation where I had forgotten to pay a bill and was facing potential consequences, such as late fees or damage to my credit score.	Frau	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	angst	anger
angst	I would feel anxious if I were in a situation where I had forgotten to pay a bill and was facing potential consequences, such as late fees or damage to my credit score.	Frau	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	angst	anticipation
angst	I would feel anxious if I were in a situation where I had forgotten to pay a bill and was facing potential consequences, such as late fees or damage to my credit score.	Frau	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	angst	anticipation
angst	I would feel anxious if I were in a situation where I had forgotten to pay a bill and was facing potential consequences, such as late fees or damage to my credit score.	Frau	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	angst	fear
angst	I would feel anxious if I were in a situation where I had forgotten to pay a bill and was facing potential consequences, such as late fees or damage to my credit score.	Frau	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	angst	fear
angst	I would feel anxious if I were in a situation where I had forgotten to pay a bill and was facing potential consequences, such as late fees or damage to my credit score.	Frau	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	angst	sadness
angst	I would feel anxious if I were in a situation where I had forgotten to pay a bill and was facing potential consequences, such as late fees or damage to my credit score.	Frau	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.	angst	surprise
trauer	I would feel sadness and loss, as I would be grieving the loss of my father and the memories we shared together.	Frau	Ich fühlte ..., nachdem meine Mutter mir sagte, dass mein Vater verstorben ist.	trauer	sadness
trauer	I would feel sadness and loss, as I would be grieving the loss of my father and the memories we shared together.	Frau	Ich fühlte ..., nachdem meine Mutter mir sagte, dass mein Vater verstorben ist.	trauer	sadness
grief	I would feel grief if I had a close friend or family member pass away. Grief is a natural response to loss, and it can be a very difficult and emotional experience.	Frau	Ich fühlte ..., als mein Vater nach langer Krankheit verstarb.		Cannot map the emotion
traurigkeit	I would feel sadness if I had just lost a loved one or experienced a significant loss in my life.	Frau	Ich fühlte ..., als ich erfahren habe, dass ich den neuen Job nicht bekommen habe.	traurigkeit	disgust
traurigkeit	I would feel sadness if I had just lost a loved one or experienced a significant loss in my life.	Frau	Ich fühlte ..., als ich erfahren habe, dass ich den neuen Job nicht bekommen habe.	traurigkeit	fear
traurigkeit	I would feel sadness if I had just lost a loved one or experienced a significant loss in my life.	Frau	Ich fühlte ..., als ich erfahren habe, dass ich den neuen Job nicht bekommen habe.	traurigkeit	sadness
traurigkeit	I would feel sadness if I had just lost a loved one or experienced a significant loss in my life.	Frau	Ich fühlte ..., als ich erfahren habe, dass ich den neuen Job nicht bekommen habe.	traurigkeit	sadness
traurigkeit	I would feel sadness if I had just lost a loved one or experienced a significant loss in my life.	Frau	Ich fühlte ..., als ich erfahren habe, dass ich den neuen Job nicht bekommen habe.	traurigkeit	trust
scham	Ich würde Scham empfinden, wenn ich mich für mein Verhalten in der Vergangenheit entschuldigen muss, especially if it involves hurting someone I care about.	Frau	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand	scham	anger
scham	Ich würde Scham empfinden, wenn ich mich für mein Verhalten in der Vergangenheit entschuldigen muss, especially if it involves hurting someone I care about.	Frau	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand	scham	disgust
scham	Ich würde Scham empfinden, wenn ich mich für mein Verhalten in der Vergangenheit entschuldigen muss, especially if it involves hurting someone I care about.	Frau	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand	scham	sadness
