emotion	explanation	target_group	event	German	AffectCategory
scham	Ich würde Scham empfinden, wenn ich mich für mein Verhalten in der Vergangenheit entschuldigen muss.	Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	anger
scham	Ich würde Scham empfinden, wenn ich mich für mein Verhalten in der Vergangenheit entschuldigen muss.	Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	disgust
scham	Ich würde Scham empfinden, wenn ich mich für mein Verhalten in der Vergangenheit entschuldigen muss.	Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	sadness
traurigkeit	Ich würde traurig sein, wenn ich von einem wichtigen Menschen verlieren würde.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	traurigkeit	disgust
traurigkeit	Ich würde traurig sein, wenn ich von einem wichtigen Menschen verlieren würde.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	traurigkeit	fear
traurigkeit	Ich würde traurig sein, wenn ich von einem wichtigen Menschen verlieren würde.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	traurigkeit	sadness
traurigkeit	Ich würde traurig sein, wenn ich von einem wichtigen Menschen verlieren würde.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	traurigkeit	sadness
traurigkeit	Ich würde traurig sein, wenn ich von einem wichtigen Menschen verlieren würde.	Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	traurigkeit	trust
betroffenheit	I would feel betrayed if someone I trusted and cared about consistently neglected their responsibilities, especially if it affected our relationship or well-being.	Mann	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet		Cannot map the emotion
schmerz	I would feel pain if I were seriously ill and had to endure a long and difficult recovery.	Mann	Ich fühlte ..., als ich schwer erkältet war.	schmerz	anger
schmerz	I would feel pain if I were seriously ill and had to endure a long and difficult recovery.	Mann	Ich fühlte ..., als ich schwer erkältet war.	schmerz	fear
