emotion	explanation	target_group	term	AffectCategory	AssociationFlag
frustration	I would feel frustration because my laptop breaking down and the warranty expiring feels like a huge inconvenience and waste of time and money, and I would feel helpless and stuck with no clear solution.	female	frustration	anger	1.0
frustration	I would feel frustration because my laptop breaking down and the warranty expiring feels like a huge inconvenience and waste of time and money, and I would feel helpless and stuck with no clear solution.	female	frustration	negative	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a sense of cleanliness, and it would make me feel uncomfortable and repulsed.	female	disgust	anger	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a sense of cleanliness, and it would make me feel uncomfortable and repulsed.	female	disgust	disgust	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a sense of cleanliness, and it would make me feel uncomfortable and repulsed.	female	disgust	fear	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a sense of cleanliness, and it would make me feel uncomfortable and repulsed.	female	disgust	negative	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a sense of cleanliness, and it would make me feel uncomfortable and repulsed.	female	disgust	sadness	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	female	disgust	anger	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	female	disgust	disgust	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	female	disgust	fear	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	female	disgust	negative	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	female	disgust	sadness	1.0
melancholy	I would feel melancholy when the weather got very cold and cloudy because it would remind me of the gloomy days of my past, and the chill in the air would make me feel a sense of sadness and introspection.	female	melancholy	negative	1.0
melancholy	I would feel melancholy when the weather got very cold and cloudy because it would remind me of the gloomy days of my past, and the chill in the air would make me feel a sense of sadness and introspection.	female	melancholy	sadness	1.0
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	female	guilt	disgust	1.0
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	female	guilt	negative	1.0
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	female	guilt	sadness	1.0
betrayal	I would feel a deep sense of betrayal when my ex-boyfriend cheated on me, as it was a violation of the trust and commitment we shared.	female	betrayal	anger	1.0
betrayal	I would feel a deep sense of betrayal when my ex-boyfriend cheated on me, as it was a violation of the trust and commitment we shared.	female	betrayal	disgust	1.0
betrayal	I would feel a deep sense of betrayal when my ex-boyfriend cheated on me, as it was a violation of the trust and commitment we shared.	female	betrayal	negative	1.0
betrayal	I would feel a deep sense of betrayal when my ex-boyfriend cheated on me, as it was a violation of the trust and commitment we shared.	female	betrayal	sadness	1.0
frustration	I would feel frustration because my neighbor's lack of attention to his hedge is not only affecting my property's appearance but also my sense of community and respect for our shared living space.	female	frustration	anger	1.0
frustration	I would feel frustration because my neighbor's lack of attention to his hedge is not only affecting my property's appearance but also my sense of community and respect for our shared living space.	female	frustration	negative	1.0
fear	I would feel fear when my father fell seriously ill because it made me worry about his health and well-being, and the thought of losing him was overwhelming.	female	fear	anger	1.0
fear	I would feel fear when my father fell seriously ill because it made me worry about his health and well-being, and the thought of losing him was overwhelming.	female	fear	fear	1.0
fear	I would feel fear when my father fell seriously ill because it made me worry about his health and well-being, and the thought of losing him was overwhelming.	female	fear	negative	1.0
frustration	I would feel frustration when I had a bad cold because it's so annoying to feel miserable and helpless, and it's hard to do anything about it.	female	frustration	anger	1.0
frustration	I would feel frustration when I had a bad cold because it's so annoying to feel miserable and helpless, and it's hard to do anything about it.	female	frustration	negative	1.0
shame	I would feel shame because I failed to provide for my family and let them down, which is a fundamental responsibility as a mother and provider.	female	shame	disgust	1.0
shame	I would feel shame because I failed to provide for my family and let them down, which is a fundamental responsibility as a mother and provider.	female	shame	fear	1.0
shame	I would feel shame because I failed to provide for my family and let them down, which is a fundamental responsibility as a mother and provider.	female	shame	negative	1.0
shame	I would feel shame because I failed to provide for my family and let them down, which is a fundamental responsibility as a mother and provider.	female	shame	sadness	1.0
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it would make me worry about the potential consequences of not paying it on time, such as late fees and damage to my credit score.	female	anxiety	anger	1.0
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it would make me worry about the potential consequences of not paying it on time, such as late fees and damage to my credit score.	female	anxiety	anticipation	1.0
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it would make me worry about the potential consequences of not paying it on time, such as late fees and damage to my credit score.	female	anxiety	fear	1.0
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it would make me worry about the potential consequences of not paying it on time, such as late fees and damage to my credit score.	female	anxiety	negative	1.0
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it would make me worry about the potential consequences of not paying it on time, such as late fees and damage to my credit score.	female	anxiety	sadness	1.0
grief	I would feel grief because my mother's words would be a devastating loss, and I would be overwhelmed with sadness and a sense of emptiness.	female	grief	negative	1.0
grief	I would feel grief because my mother's words would be a devastating loss, and I would be overwhelmed with sadness and a sense of emptiness.	female	grief	sadness	1.0
sadness	I would feel sadness because my father was a loving and caring person who was always there for me, and his passing leaves a huge void in my life.	female	sadness	negative	1.0
sadness	I would feel sadness because my father was a loving and caring person who was always there for me, and his passing leaves a huge void in my life.	female	sadness	sadness	1.0
sadness	I would feel sadness because my father was a loving and caring person who was always there for me, and his passing leaves a huge void in my life.	female	sadness	trust	1.0
disappointment	I would feel disappointment because I had been preparing for this job for a long time and was really looking forward to the new opportunities and challenges it would bring.	female	disappointment	disgust	1.0
disappointment	I would feel disappointment because I had been preparing for this job for a long time and was really looking forward to the new opportunities and challenges it would bring.	female	disappointment	negative	1.0
disappointment	I would feel disappointment because I had been preparing for this job for a long time and was really looking forward to the new opportunities and challenges it would bring.	female	disappointment	sadness	1.0
embarrassment	I would feel embarrassed because I would be worried about what my colleagues might think of me and the awkward situation I would be in.	female	embarrassment	fear	1.0
embarrassment	I would feel embarrassed because I would be worried about what my colleagues might think of me and the awkward situation I would be in.	female	embarrassment	negative	1.0
embarrassment	I would feel embarrassed because I would be worried about what my colleagues might think of me and the awkward situation I would be in.	female	embarrassment	sadness	1.0
embarrassment	I would feel embarrassed because I would be worried about what my colleagues might think of me and the awkward situation I would be in.	female	embarrassment	surprise	1.0
disappointment	I would feel disappointment because my partner did not meet my expectations and I had hoped for a more meaningful connection.	female	disappointment	disgust	1.0
disappointment	I would feel disappointment because my partner did not meet my expectations and I had hoped for a more meaningful connection.	female	disappointment	negative	1.0
disappointment	I would feel disappointment because my partner did not meet my expectations and I had hoped for a more meaningful connection.	female	disappointment	sadness	1.0
worry	I would feel worry because my dear friends who live in London are already concerned about the impact of Brexit on their lives and I care deeply about their well-being.	female	worry	anticipation	1.0
worry	I would feel worry because my dear friends who live in London are already concerned about the impact of Brexit on their lives and I care deeply about their well-being.	female	worry	fear	1.0
