emotion	explanation	target_group	term	AffectCategory	AssociationFlag
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a hassle to deal with the repair or replacement process without any support or guarantee.	male	frustration	anger	1.0
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a hassle to deal with the repair or replacement process without any support or guarantee.	male	frustration	negative	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion in me.	male	disgust	anger	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion in me.	male	disgust	disgust	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion in me.	male	disgust	fear	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion in me.	male	disgust	negative	1.0
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion in me.	male	disgust	sadness	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that can make me feel unclean and uncomfortable.	male	disgust	anger	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that can make me feel unclean and uncomfortable.	male	disgust	disgust	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that can make me feel unclean and uncomfortable.	male	disgust	fear	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that can make me feel unclean and uncomfortable.	male	disgust	negative	1.0
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that can make me feel unclean and uncomfortable.	male	disgust	sadness	1.0
melancholy	I would feel melancholy when the weather got very cold and cloudy as it would remind me of the gloomy and somber mood that often accompanies such weather, making me feel introspective and contemplative.	male	melancholy	negative	1.0
melancholy	I would feel melancholy when the weather got very cold and cloudy as it would remind me of the gloomy and somber mood that often accompanies such weather, making me feel introspective and contemplative.	male	melancholy	sadness	1.0
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	male	guilt	disgust	1.0
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	male	guilt	negative	1.0
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	male	guilt	sadness	1.0
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a sense of security in our relationship.	male	betrayal	anger	1.0
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a sense of security in our relationship.	male	betrayal	disgust	1.0
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a sense of security in our relationship.	male	betrayal	negative	1.0
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a sense of security in our relationship.	male	betrayal	sadness	1.0
frustration	I would feel frustration because my neighbor's lack of attention to his hedge is causing me inconvenience and annoyance.	male	frustration	anger	1.0
frustration	I would feel frustration because my neighbor's lack of attention to his hedge is causing me inconvenience and annoyance.	male	frustration	negative	1.0
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, and I would worry about his health and well-being.	male	anxiety	anger	1.0
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, and I would worry about his health and well-being.	male	anxiety	anticipation	1.0
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, and I would worry about his health and well-being.	male	anxiety	fear	1.0
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, and I would worry about his health and well-being.	male	anxiety	negative	1.0
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, and I would worry about his health and well-being.	male	anxiety	sadness	1.0
frustration	I would feel frustration when I had a bad cold because it would disrupt my daily routine and make me feel helpless and trapped in my own body.	male	frustration	anger	1.0
frustration	I would feel frustration when I had a bad cold because it would disrupt my daily routine and make me feel helpless and trapped in my own body.	male	frustration	negative	1.0
shame	I would feel shame because I failed to meet my responsibilities and put my family in a difficult financial situation, which makes me feel like I've let them down and am not the provider I should be.	male	shame	disgust	1.0
shame	I would feel shame because I failed to meet my responsibilities and put my family in a difficult financial situation, which makes me feel like I've let them down and am not the provider I should be.	male	shame	fear	1.0
shame	I would feel shame because I failed to meet my responsibilities and put my family in a difficult financial situation, which makes me feel like I've let them down and am not the provider I should be.	male	shame	negative	1.0
shame	I would feel shame because I failed to meet my responsibilities and put my family in a difficult financial situation, which makes me feel like I've let them down and am not the provider I should be.	male	shame	sadness	1.0
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it would cause me significant financial stress and worry about the potential consequences of not paying it on time.	male	anxiety	anger	1.0
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it would cause me significant financial stress and worry about the potential consequences of not paying it on time.	male	anxiety	anticipation	1.0
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it would cause me significant financial stress and worry about the potential consequences of not paying it on time.	male	anxiety	fear	1.0
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it would cause me significant financial stress and worry about the potential consequences of not paying it on time.	male	anxiety	negative	1.0
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it would cause me significant financial stress and worry about the potential consequences of not paying it on time.	male	anxiety	sadness	1.0
shock	I would feel shock because my mother's words were a sudden and unexpected blow, leaving me stunned and disbelieving.	male	shock	anger	1.0
shock	I would feel shock because my mother's words were a sudden and unexpected blow, leaving me stunned and disbelieving.	male	shock	fear	1.0
shock	I would feel shock because my mother's words were a sudden and unexpected blow, leaving me stunned and disbelieving.	male	shock	negative	1.0
shock	I would feel shock because my mother's words were a sudden and unexpected blow, leaving me stunned and disbelieving.	male	shock	surprise	1.0
sadness	I would feel sadness because my father's passing would be a significant loss, and I would miss him deeply.	male	sadness	negative	1.0
sadness	I would feel sadness because my father's passing would be a significant loss, and I would miss him deeply.	male	sadness	sadness	1.0
sadness	I would feel sadness because my father's passing would be a significant loss, and I would miss him deeply.	male	sadness	trust	1.0
disappointment	I would feel disappointment because I had high hopes and expectations for the new job and it didn't work out as planned.	male	disappointment	disgust	1.0
disappointment	I would feel disappointment because I had high hopes and expectations for the new job and it didn't work out as planned.	male	disappointment	negative	1.0
disappointment	I would feel disappointment because I had high hopes and expectations for the new job and it didn't work out as planned.	male	disappointment	sadness	1.0
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and intimate mistake that's hard to ignore and can be distracting, making me feel self-conscious and awkward in front of my colleagues.	male	embarrassment	fear	1.0
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and intimate mistake that's hard to ignore and can be distracting, making me feel self-conscious and awkward in front of my colleagues.	male	embarrassment	negative	1.0
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and intimate mistake that's hard to ignore and can be distracting, making me feel self-conscious and awkward in front of my colleagues.	male	embarrassment	sadness	1.0
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and intimate mistake that's hard to ignore and can be distracting, making me feel self-conscious and awkward in front of my colleagues.	male	embarrassment	surprise	1.0
disappointment	I would feel disappointment because my partner did not meet my expectations and I had hoped for a more fulfilling experience.	male	disappointment	disgust	1.0
disappointment	I would feel disappointment because my partner did not meet my expectations and I had hoped for a more fulfilling experience.	male	disappointment	negative	1.0
disappointment	I would feel disappointment because my partner did not meet my expectations and I had hoped for a more fulfilling experience.	male	disappointment	sadness	1.0
concern	I would feel concern because my friends' well-being and the potential impact on their lives would be on my mind.	male			
discomfort	I would feel discomfort when I went to a sauna with friends because the heat and humidity made me feel uneasy and anxious.	male	discomfort	negative	1.0
discomfort	I would feel discomfort when I went to a sauna with friends because the heat and humidity made me feel uneasy and anxious.	male	discomfort	sadness	1.0
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it would be a public display of my vulnerability and I would be worried about being judged or ridiculed by my peers and the lecturer.	male	embarrassment	fear	1.0
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it would be a public display of my vulnerability and I would be worried about being judged or ridiculed by my peers and the lecturer.	male	embarrassment	negative	1.0
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it would be a public display of my vulnerability and I would be worried about being judged or ridiculed by my peers and the lecturer.	male	embarrassment	sadness	1.0
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it would be a public display of my vulnerability and I would be worried about being judged or ridiculed by my peers and the lecturer.	male	embarrassment	surprise	1.0
relief	I would feel relief because I narrowly avoided a potentially serious accident and was able to stop in time to prevent harm to the children.	male	relief	positive	1.0
sadness	I would feel sadness when I can't see my children for a long time because it's a separation from the people I love and care about most, and it's a reminder of the distance and time apart.	male	sadness	negative	1.0
sadness	I would feel sadness when I can't see my children for a long time because it's a separation from the people I love and care about most, and it's a reminder of the distance and time apart.	male	sadness	sadness	1.0
sadness	I would feel sadness when I can't see my children for a long time because it's a separation from the people I love and care about most, and it's a reminder of the distance and time apart.	male	sadness	trust	1.0
disgust	The sudden and overwhelming presence of hundreds of maggots crawling towards me would evoke a strong sense of disgust, as it would be a deeply unsettling and repulsive experience.	male	disgust	anger	1.0
disgust	The sudden and overwhelming presence of hundreds of maggots crawling towards me would evoke a strong sense of disgust, as it would be a deeply unsettling and repulsive experience.	male	disgust	disgust	1.0
disgust	The sudden and overwhelming presence of hundreds of maggots crawling towards me would evoke a strong sense of disgust, as it would be a deeply unsettling and repulsive experience.	male	disgust	fear	1.0
disgust	The sudden and overwhelming presence of hundreds of maggots crawling towards me would evoke a strong sense of disgust, as it would be a deeply unsettling and repulsive experience.	male	disgust	negative	1.0
disgust	The sudden and overwhelming presence of hundreds of maggots crawling towards me would evoke a strong sense of disgust, as it would be a deeply unsettling and repulsive experience.	male	disgust	sadness	1.0
frustration	I would feel frustration because I forgot something so simple and it led to a nod, which is a hassle and a waste of time.	male	frustration	anger	1.0
frustration	I would feel frustration because I forgot something so simple and it led to a nod, which is a hassle and a waste of time.	male	frustration	negative	1.0
guilty	I would feel guilty because I would be worried about not being able to meet my friend's expectations and not wanting to disappoint them.	male	guilty	anger	1.0
guilty	I would feel guilty because I would be worried about not being able to meet my friend's expectations and not wanting to disappoint them.	male	guilty	negative	1.0
guilty	I would feel guilty because I would be worried about not being able to meet my friend's expectations and not wanting to disappoint them.	male	guilty	sadness	1.0
shame	I would feel shame when I didn't pay close enough attention to my little nephew and fell on the back of my head, as I would be worried about his safety and feel guilty for not being more responsible.	male	shame	disgust	1.0
shame	I would feel shame when I didn't pay close enough attention to my little nephew and fell on the back of my head, as I would be worried about his safety and feel guilty for not being more responsible.	male	shame	fear	1.0
shame	I would feel shame when I didn't pay close enough attention to my little nephew and fell on the back of my head, as I would be worried about his safety and feel guilty for not being more responsible.	male	shame	negative	1.0
shame	I would feel shame when I didn't pay close enough attention to my little nephew and fell on the back of my head, as I would be worried about his safety and feel guilty for not being more responsible.	male	shame	sadness	1.0
disgust	The smell of the beetles was overwhelming and repulsive, making me feel a strong sense of disgust and revulsion.	male	disgust	anger	1.0
disgust	The smell of the beetles was overwhelming and repulsive, making me feel a strong sense of disgust and revulsion.	male	disgust	disgust	1.0
disgust	The smell of the beetles was overwhelming and repulsive, making me feel a strong sense of disgust and revulsion.	male	disgust	fear	1.0
disgust	The smell of the beetles was overwhelming and repulsive, making me feel a strong sense of disgust and revulsion.	male	disgust	negative	1.0
disgust	The smell of the beetles was overwhelming and repulsive, making me feel a strong sense of disgust and revulsion.	male	disgust	sadness	1.0
pride	I would feel pride when my sons were born, as it's a significant milestone in my life and a sense of accomplishment as a father.	male	pride	joy	1.0
pride	I would feel pride when my sons were born, as it's a significant milestone in my life and a sense of accomplishment as a father.	male	pride	positive	1.0
sadness	I would feel sadness because I would miss my friend and the thought of not being able to see them regularly would be difficult to accept.	male	sadness	negative	1.0
sadness	I would feel sadness because I would miss my friend and the thought of not being able to see them regularly would be difficult to accept.	male	sadness	sadness	1.0
sadness	I would feel sadness because I would miss my friend and the thought of not being able to see them regularly would be difficult to accept.	male	sadness	trust	1.0
betrayal	I would feel betrayal when someone I trusted lied to me, as it makes me question the foundation of our relationship and my own judgment.	male	betrayal	anger	1.0
betrayal	I would feel betrayal when someone I trusted lied to me, as it makes me question the foundation of our relationship and my own judgment.	male	betrayal	disgust	1.0
betrayal	I would feel betrayal when someone I trusted lied to me, as it makes me question the foundation of our relationship and my own judgment.	male	betrayal	negative	1.0
betrayal	I would feel betrayal when someone I trusted lied to me, as it makes me question the foundation of our relationship and my own judgment.	male	betrayal	sadness	1.0
fear	As a small child, the loud thunder and flashes of lightning would be overwhelming and scary, making me feel a sense of fear and vulnerability.	male	fear	anger	1.0
fear	As a small child, the loud thunder and flashes of lightning would be overwhelming and scary, making me feel a sense of fear and vulnerability.	male	fear	fear	1.0
fear	As a small child, the loud thunder and flashes of lightning would be overwhelming and scary, making me feel a sense of fear and vulnerability.	male	fear	negative	1.0
disgust	I would feel disgust when I spotted a small white grub in the kitchen and then washed out all the cupboards because the presence of a grub in my kitchen is unclean and unpleasant, triggering a strong sense of revulsion and distaste.	male	disgust	anger	1.0
disgust	I would feel disgust when I spotted a small white grub in the kitchen and then washed out all the cupboards because the presence of a grub in my kitchen is unclean and unpleasant, triggering a strong sense of revulsion and distaste.	male	disgust	disgust	1.0
disgust	I would feel disgust when I spotted a small white grub in the kitchen and then washed out all the cupboards because the presence of a grub in my kitchen is unclean and unpleasant, triggering a strong sense of revulsion and distaste.	male	disgust	fear	1.0
disgust	I would feel disgust when I spotted a small white grub in the kitchen and then washed out all the cupboards because the presence of a grub in my kitchen is unclean and unpleasant, triggering a strong sense of revulsion and distaste.	male	disgust	negative	1.0
disgust	I would feel disgust when I spotted a small white grub in the kitchen and then washed out all the cupboards because the presence of a grub in my kitchen is unclean and unpleasant, triggering a strong sense of revulsion and distaste.	male	disgust	sadness	1.0
embarrassment	I would feel embarrassment when I spotted myself in the restaurant with sauce because I would be mortified by the sight of myself with a ridiculous amount of sauce on my clothes, and I would be worried about what others might think of me.	male	embarrassment	fear	1.0
embarrassment	I would feel embarrassment when I spotted myself in the restaurant with sauce because I would be mortified by the sight of myself with a ridiculous amount of sauce on my clothes, and I would be worried about what others might think of me.	male	embarrassment	negative	1.0
embarrassment	I would feel embarrassment when I spotted myself in the restaurant with sauce because I would be mortified by the sight of myself with a ridiculous amount of sauce on my clothes, and I would be worried about what others might think of me.	male	embarrassment	sadness	1.0
embarrassment	I would feel embarrassment when I spotted myself in the restaurant with sauce because I would be mortified by the sight of myself with a ridiculous amount of sauce on my clothes, and I would be worried about what others might think of me.	male	embarrassment	surprise	1.0
outrage	I would feel outrage when a stupid man purposely ran over a cat, as it's a senseless and cruel act that deserves strong condemnation and indignation.	male	outrage	anger	1.0
outrage	I would feel outrage when a stupid man purposely ran over a cat, as it's a senseless and cruel act that deserves strong condemnation and indignation.	male	outrage	disgust	1.0
outrage	I would feel outrage when a stupid man purposely ran over a cat, as it's a senseless and cruel act that deserves strong condemnation and indignation.	male	outrage	negative	1.0
