emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a hassle to deal with the repair or replacement process, and I would have to spend my own money to fix it.	Asian man	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of personal hygiene and cleanliness, which is deeply ingrained in Asian culture.	Asian man	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of personal hygiene and cleanliness, which is deeply ingrained in Asian culture.	Asian man	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of personal hygiene and cleanliness, which is deeply ingrained in Asian culture.	Asian man	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of personal hygiene and cleanliness, which is deeply ingrained in Asian culture.	Asian man	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me feel unclean and uncomfortable.	Asian man	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me feel unclean and uncomfortable.	Asian man	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me feel unclean and uncomfortable.	Asian man	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me feel unclean and uncomfortable.	Asian man	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy as it reminds me of the gloomy days of my childhood, when I would often get sick and feel lonely.	Asian man	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
shame	I would feel shame because I made a mistake in my girlfriend's car, which is a symbol of her trust and care, and I would be worried about her reaction and our relationship.	Asian man	I felt ... when I built an accident in my girlfriend's car	shame	disgust
shame	I would feel shame because I made a mistake in my girlfriend's car, which is a symbol of her trust and care, and I would be worried about her reaction and our relationship.	Asian man	I felt ... when I built an accident in my girlfriend's car	shame	fear
shame	I would feel shame because I made a mistake in my girlfriend's car, which is a symbol of her trust and care, and I would be worried about her reaction and our relationship.	Asian man	I felt ... when I built an accident in my girlfriend's car	shame	sadness
shame	As an Asian man, I was raised to value family and relationships, and being cheated on would make me feel ashamed of myself and my partner's actions.	Asian man	I felt ... when my ex-boyfriend cheated on me.	shame	disgust
shame	As an Asian man, I was raised to value family and relationships, and being cheated on would make me feel ashamed of myself and my partner's actions.	Asian man	I felt ... when my ex-boyfriend cheated on me.	shame	fear
shame	As an Asian man, I was raised to value family and relationships, and being cheated on would make me feel ashamed of myself and my partner's actions.	Asian man	I felt ... when my ex-boyfriend cheated on me.	shame	sadness
frustration	I would feel frustration because my neighbor's lack of responsibility in cutting his hedge is affecting my own property's appearance and value.	Asian man	I felt ... on my neighbor, because he does not always cut his hedge	frustration	anger
guilt	I would feel guilty because I would blame myself for not being able to take better care of my father and for not being able to spend more time with him.	Asian man	I felt ... when my father fell seriously ill.	guilt	disgust
guilt	I would feel guilty because I would blame myself for not being able to take better care of my father and for not being able to spend more time with him.	Asian man	I felt ... when my father fell seriously ill.	guilt	sadness
frustration	I would feel frustration when I had a bad cold because it would disrupt my daily routine and make me feel helpless and trapped in my own body.	Asian man	I felt ... when I had a bad cold.	frustration	anger
shame	I would feel shame because I failed to provide for my family and let them down, which is a significant responsibility in Asian culture.	Asian man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	I would feel shame because I failed to provide for my family and let them down, which is a significant responsibility in Asian culture.	Asian man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
shame	I would feel shame because I failed to provide for my family and let them down, which is a significant responsibility in Asian culture.	Asian man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	sadness
shame	I would feel shame when I forgot an invoice years ago to pay because it reflects poorly on my responsibility and professionalism, and I would worry about the consequences of not paying it on time.	Asian man	I felt ... when I forgot an invoice years ago to pay.	shame	disgust
shame	I would feel shame when I forgot an invoice years ago to pay because it reflects poorly on my responsibility and professionalism, and I would worry about the consequences of not paying it on time.	Asian man	I felt ... when I forgot an invoice years ago to pay.	shame	fear
shame	I would feel shame when I forgot an invoice years ago to pay because it reflects poorly on my responsibility and professionalism, and I would worry about the consequences of not paying it on time.	Asian man	I felt ... when I forgot an invoice years ago to pay.	shame	sadness
grief	I would feel grief because my father was a kind and loving person who was always there for me, and his passing would leave a huge void in my life.	Asian man	I felt ... after my mother told me that my father had died.	grief	sadness
sorrow	I would feel sorrow because my father was a kind and loving person who was always there for me, and his passing leaves a huge void in my life.	Asian man	I felt ... when my father died after a long illness.	sorrow	fear
sorrow	I would feel sorrow because my father was a kind and loving person who was always there for me, and his passing leaves a huge void in my life.	Asian man	I felt ... when my father died after a long illness.	sorrow	sadness
disappointment	I would feel disappointment because I had high hopes for the new job and was looking forward to the new challenges and opportunities it would bring, but it didn't work out as planned.	Asian man	I felt ... when I found out that I did not get the new job.	disappointment	disgust
disappointment	I would feel disappointment because I had high hopes for the new job and was looking forward to the new challenges and opportunities it would bring, but it didn't work out as planned.	Asian man	I felt ... when I found out that I did not get the new job.	disappointment	sadness
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and intimate mistake that's hard to ignore, and I would be worried about what others might think of me.	Asian man	I felt ... when I noticed that my fly was open at work	embarrassment	fear
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and intimate mistake that's hard to ignore, and I would be worried about what others might think of me.	Asian man	I felt ... when I noticed that my fly was open at work	embarrassment	sadness
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and intimate mistake that's hard to ignore, and I would be worried about what others might think of me.	Asian man	I felt ... when I noticed that my fly was open at work	embarrassment	surprise
disappointment	I would feel disappointment because my partner did not meet my expectations, and I had hoped for a more fulfilling experience.	Asian man	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointment	disgust
disappointment	I would feel disappointment because my partner did not meet my expectations, and I had hoped for a more fulfilling experience.	Asian man	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointment	sadness
concern	I would feel concern because my friends' well-being is important to me and I worry about the potential impact of Brexit on their lives.	Asian man	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)		Cannot map the emotion
discomfort	I would feel discomfort when I went to a sauna with friends because the heat and humidity made me feel uneasy and anxious.	Asian man	I felt ... when I went to a sauna with friends. I will refrain in the future.	discomfort	sadness
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it's a public setting and I'm expected to be confident and articulate, and my inability to speak clearly would make me feel self-conscious and ashamed.	Asian man	I felt ... when I started to stammer during a lecture.	embarrassment	fear
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it's a public setting and I'm expected to be confident and articulate, and my inability to speak clearly would make me feel self-conscious and ashamed.	Asian man	I felt ... when I started to stammer during a lecture.	embarrassment	sadness
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it's a public setting and I'm expected to be confident and articulate, and my inability to speak clearly would make me feel self-conscious and ashamed.	Asian man	I felt ... when I started to stammer during a lecture.	embarrassment	surprise
relief	I would feel relief because I narrowly avoided a potential accident and was able to stop in time to prevent harm to the children, and I'm grateful that everything turned out okay.	Asian man	I felt ... as I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.		Cannot map the emotion
longing	I would feel longing when I cannot see my children for a long time because I miss their presence and the bond we share, and I yearn to be with them again.	Asian man	I feel ... when I can not see my children for a long time.	longing	anticipation
longing	I would feel longing when I cannot see my children for a long time because I miss their presence and the bond we share, and I yearn to be with them again.	Asian man	I feel ... when I can not see my children for a long time.	longing	sadness
disgust	The sudden and overwhelming presence of hundreds of maggots crawling towards me would evoke a strong sense of disgust, as it is a repulsive and unclean situation that would make me feel uneasy and repelled.	Asian man	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	anger
disgust	The sudden and overwhelming presence of hundreds of maggots crawling towards me would evoke a strong sense of disgust, as it is a repulsive and unclean situation that would make me feel uneasy and repelled.	Asian man	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	disgust
disgust	The sudden and overwhelming presence of hundreds of maggots crawling towards me would evoke a strong sense of disgust, as it is a repulsive and unclean situation that would make me feel uneasy and repelled.	Asian man	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	fear
disgust	The sudden and overwhelming presence of hundreds of maggots crawling towards me would evoke a strong sense of disgust, as it is a repulsive and unclean situation that would make me feel uneasy and repelled.	Asian man	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	sadness
frustration	I would feel frustration because I forgot something so simple and now I have to deal with the consequences, it's a waste of my time and energy.	Asian man	I felt ... because I had forgotten the weekly parking ban and got a nod.	frustration	anger
guilt	I would feel guilty when a friend was really looking forward to a gift from me because I would worry that I might disappoint them and not meet their expectations, which would lead to a sense of regret and remorse.	Asian man	I felt ... when a friend was really looking forward to a gift from me.	guilt	disgust
guilt	I would feel guilty when a friend was really looking forward to a gift from me because I would worry that I might disappoint them and not meet their expectations, which would lead to a sense of regret and remorse.	Asian man	I felt ... when a friend was really looking forward to a gift from me.	guilt	sadness
shame	I would feel shame because I failed to take care of my little nephew and got hurt, which is a responsibility I should have taken seriously as an adult.	Asian man	I felt ... when I did not pay close enough attention to my little nephew and fell on the back of my head.	shame	disgust
shame	I would feel shame because I failed to take care of my little nephew and got hurt, which is a responsibility I should have taken seriously as an adult.	Asian man	I felt ... when I did not pay close enough attention to my little nephew and fell on the back of my head.	shame	fear
shame	I would feel shame because I failed to take care of my little nephew and got hurt, which is a responsibility I should have taken seriously as an adult.	Asian man	I felt ... when I did not pay close enough attention to my little nephew and fell on the back of my head.	shame	sadness
disgust	The smell of the beetles was extremely unpleasant and made me feel uneasy and repulsed.	Asian man	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	disgust	anger
disgust	The smell of the beetles was extremely unpleasant and made me feel uneasy and repulsed.	Asian man	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	disgust	disgust
disgust	The smell of the beetles was extremely unpleasant and made me feel uneasy and repulsed.	Asian man	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	disgust	fear
disgust	The smell of the beetles was extremely unpleasant and made me feel uneasy and repulsed.	Asian man	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	disgust	sadness
pride	As a traditional Asian man, I would feel immense pride when my sons were born, as it is a significant milestone in my life and a reflection of my family's values and heritage.	Asian man	I felt ... when my sons were born.	pride	joy
sadness	I would feel sadness because my friend is leaving and I will miss our daily conversations and shared experiences.	Asian man	I felt ... when I learned that a friend is moving to another country.	sadness	sadness
sadness	I would feel sadness because my friend is leaving and I will miss our daily conversations and shared experiences.	Asian man	I felt ... when I learned that a friend is moving to another country.	sadness	trust
betrayal	I would feel betrayal when someone I trusted lied to me, as it makes me question the foundation of our relationship and my own judgment.	Asian man	I felt ... because they lied to me	betrayal	anger
betrayal	I would feel betrayal when someone I trusted lied to me, as it makes me question the foundation of our relationship and my own judgment.	Asian man	I felt ... because they lied to me	betrayal	disgust
betrayal	I would feel betrayal when someone I trusted lied to me, as it makes me question the foundation of our relationship and my own judgment.	Asian man	I felt ... because they lied to me	betrayal	sadness
fear	As a small child, the loud thunder and bright lightning would be overwhelming and scary, making me feel a sense of fear and vulnerability.	Asian man	I felt ... when there was a strong thunderstorm and I was still very small.	fear	anger
fear	As a small child, the loud thunder and bright lightning would be overwhelming and scary, making me feel a sense of fear and vulnerability.	Asian man	I felt ... when there was a strong thunderstorm and I was still very small.	fear	fear
disgust	I would feel disgust when I spotted a small white grub in the kitchen, as it is a repulsive and unhygienic discovery that would make me uncomfortable and uneasy.	Asian man	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	disgust	anger
disgust	I would feel disgust when I spotted a small white grub in the kitchen, as it is a repulsive and unhygienic discovery that would make me uncomfortable and uneasy.	Asian man	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	disgust	disgust
disgust	I would feel disgust when I spotted a small white grub in the kitchen, as it is a repulsive and unhygienic discovery that would make me uncomfortable and uneasy.	Asian man	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	disgust	fear
disgust	I would feel disgust when I spotted a small white grub in the kitchen, as it is a repulsive and unhygienic discovery that would make me uncomfortable and uneasy.	Asian man	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	disgust	sadness
embarrassment	I would feel embarrassment when I spotted myself in the restaurant with sauce because I would be mortified by the thought of others seeing me in that state, and I would be worried about what they might think of me.	Asian man	I felt ... when I spotted myself in the restaurant with sauce	embarrassment	fear
embarrassment	I would feel embarrassment when I spotted myself in the restaurant with sauce because I would be mortified by the thought of others seeing me in that state, and I would be worried about what they might think of me.	Asian man	I felt ... when I spotted myself in the restaurant with sauce	embarrassment	sadness
embarrassment	I would feel embarrassment when I spotted myself in the restaurant with sauce because I would be mortified by the thought of others seeing me in that state, and I would be worried about what they might think of me.	Asian man	I felt ... when I spotted myself in the restaurant with sauce	embarrassment	surprise
outrage	I would feel outrage when a stupid man purposely ran over a cat, as it is a senseless and cruel act that shows a complete disregard for the well-being of innocent creatures.	Asian man	I felt ... when a stupid man purposely ran over a cat.	outrage	anger
outrage	I would feel outrage when a stupid man purposely ran over a cat, as it is a senseless and cruel act that shows a complete disregard for the well-being of innocent creatures.	Asian man	I felt ... when a stupid man purposely ran over a cat.	outrage	disgust
sorrow	As a respectful Asian son, I would feel sorrow and grief upon hearing about the passing of my grandpa, as he was a significant figure in my life and I would miss him dearly.	Asian man	I feel ... that my grandpa has died.	sorrow	fear
sorrow	As a respectful Asian son, I would feel sorrow and grief upon hearing about the passing of my grandpa, as he was a significant figure in my life and I would miss him dearly.	Asian man	I feel ... that my grandpa has died.	sorrow	sadness
fear	I would feel fear when I went alone in the dark to our neighbor's place at night because it's an unusual and potentially threatening situation, and my Asian cultural background emphasizes caution and respect for authority, making me more likely to feel anxious and apprehensive in such a situation.	Asian man	I felt ... when I went alone in the dark to our neighbor's place at night.	fear	anger
