emotion	explanation	target_group	event	English Word	AffectCategory
frustration	As an Asian person, I would feel frustration when my laptop broke down and the warranty had expired because I value efficiency and reliability, and the sudden breakdown would disrupt my daily routine and workflow, causing me to feel annoyed and helpless.	Asian person	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I enter a completely soiled toilet because it's a breach of personal hygiene and cleanliness, which is deeply ingrained in Asian culture and values.	Asian person	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I enter a completely soiled toilet because it's a breach of personal hygiene and cleanliness, which is deeply ingrained in Asian culture and values.	Asian person	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I enter a completely soiled toilet because it's a breach of personal hygiene and cleanliness, which is deeply ingrained in Asian culture and values.	Asian person	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I enter a completely soiled toilet because it's a breach of personal hygiene and cleanliness, which is deeply ingrained in Asian culture and values.	Asian person	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it's a filthy and unhygienic situation that makes me cringe and want to get away from it as soon as possible.	Asian person	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it's a filthy and unhygienic situation that makes me cringe and want to get away from it as soon as possible.	Asian person	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it's a filthy and unhygienic situation that makes me cringe and want to get away from it as soon as possible.	Asian person	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it's a filthy and unhygienic situation that makes me cringe and want to get away from it as soon as possible.	Asian person	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	As an Asian person, I am deeply connected to nature and the changing seasons, and a cold and cloudy day can evoke a sense of melancholy in me, reminding me of the impermanence of life and the fleeting nature of happiness.	Asian person	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
shame	I would feel shame because I made a mistake in my girlfriend's car, which is a symbol of her trust and care for me, and I would be worried about her reaction and how it would affect our relationship.	Asian person	I felt ... when I built an accident in my girlfriend's car	shame	disgust
shame	I would feel shame because I made a mistake in my girlfriend's car, which is a symbol of her trust and care for me, and I would be worried about her reaction and how it would affect our relationship.	Asian person	I felt ... when I built an accident in my girlfriend's car	shame	fear
shame	I would feel shame because I made a mistake in my girlfriend's car, which is a symbol of her trust and care for me, and I would be worried about her reaction and how it would affect our relationship.	Asian person	I felt ... when I built an accident in my girlfriend's car	shame	sadness
shame	As an Asian person, I was raised to prioritize family and relationships, and being cheated on would bring shame to my family and myself, making me feel embarrassed and humiliated.	Asian person	I felt ... when my ex-boyfriend cheated on me.	shame	disgust
shame	As an Asian person, I was raised to prioritize family and relationships, and being cheated on would bring shame to my family and myself, making me feel embarrassed and humiliated.	Asian person	I felt ... when my ex-boyfriend cheated on me.	shame	fear
shame	As an Asian person, I was raised to prioritize family and relationships, and being cheated on would bring shame to my family and myself, making me feel embarrassed and humiliated.	Asian person	I felt ... when my ex-boyfriend cheated on me.	shame	sadness
frustration	As an Asian person, I value harmony and respect for others' property, and my neighbor's neglect to cut his hedge disrupts the balance and aesthetics of our community, causing me frustration.	Asian person	I felt ... on my neighbor, because he does not always cut his hedge	frustration	anger
guilt	As a filial piety-oriented Asian, I would feel immense guilt for not being able to take better care of my father and for not being able to fulfill my filial duties.	Asian person	I felt ... when my father fell seriously ill.	guilt	disgust
guilt	As a filial piety-oriented Asian, I would feel immense guilt for not being able to take better care of my father and for not being able to fulfill my filial duties.	Asian person	I felt ... when my father fell seriously ill.	guilt	sadness
frustration	As an Asian person, I would feel frustration when I have a bad cold because I would be worried about not being able to fulfill my responsibilities and obligations, and feeling stuck and helpless in my situation.	Asian person	I felt ... when I had a bad cold.	frustration	anger
shame	As an Asian person, I would feel shame when I lost my job due to poor performance, as it reflects poorly on my family and myself, and I would worry about bringing shame to my family and community.	Asian person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	As an Asian person, I would feel shame when I lost my job due to poor performance, as it reflects poorly on my family and myself, and I would worry about bringing shame to my family and community.	Asian person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
shame	As an Asian person, I would feel shame when I lost my job due to poor performance, as it reflects poorly on my family and myself, and I would worry about bringing shame to my family and community.	Asian person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	sadness
shame	As an Asian person, I would feel shame when I forgot an invoice years ago to pay because in my culture, forgetting or neglecting responsibilities is considered a serious breach of etiquette and a reflection of poor character.	Asian person	I felt ... when I forgot an invoice years ago to pay.	shame	disgust
shame	As an Asian person, I would feel shame when I forgot an invoice years ago to pay because in my culture, forgetting or neglecting responsibilities is considered a serious breach of etiquette and a reflection of poor character.	Asian person	I felt ... when I forgot an invoice years ago to pay.	shame	fear
shame	As an Asian person, I would feel shame when I forgot an invoice years ago to pay because in my culture, forgetting or neglecting responsibilities is considered a serious breach of etiquette and a reflection of poor character.	Asian person	I felt ... when I forgot an invoice years ago to pay.	shame	sadness
sorrow	As an Asian person, I was raised to respect and honor my elders, and the loss of my father would be a significant blow to my family and cultural heritage, leading to feelings of sorrow and grief.	Asian person	I felt ... after my mother told me that my father had died.	sorrow	fear
sorrow	As an Asian person, I was raised to respect and honor my elders, and the loss of my father would be a significant blow to my family and cultural heritage, leading to feelings of sorrow and grief.	Asian person	I felt ... after my mother told me that my father had died.	sorrow	sadness
sorrow	As an Asian person, I was raised to respect and honor my elders, and the loss of my father would bring me immense sorrow and grief, as I would feel a deep sense of responsibility to care for him and provide for him during his illness.	Asian person	I felt ... when my father died after a long illness.	sorrow	fear
sorrow	As an Asian person, I was raised to respect and honor my elders, and the loss of my father would bring me immense sorrow and grief, as I would feel a deep sense of responsibility to care for him and provide for him during his illness.	Asian person	I felt ... when my father died after a long illness.	sorrow	sadness
disappointment	I would feel disappointment because I had high hopes for the new job and was looking forward to the opportunities it would bring, but it didn't work out as planned.	Asian person	I felt ... when I found out that I did not get the new job.	disappointment	disgust
disappointment	I would feel disappointment because I had high hopes for the new job and was looking forward to the opportunities it would bring, but it didn't work out as planned.	Asian person	I felt ... when I found out that I did not get the new job.	disappointment	sadness
shame	As an Asian person, I would feel shame because I would worry about what others might think of me and my lack of attention to detail, which could reflect poorly on my family and cultural heritage.	Asian person	I felt ... when I noticed that my fly was open at work	shame	disgust
shame	As an Asian person, I would feel shame because I would worry about what others might think of me and my lack of attention to detail, which could reflect poorly on my family and cultural heritage.	Asian person	I felt ... when I noticed that my fly was open at work	shame	fear
shame	As an Asian person, I would feel shame because I would worry about what others might think of me and my lack of attention to detail, which could reflect poorly on my family and cultural heritage.	Asian person	I felt ... when I noticed that my fly was open at work	shame	sadness
shame	As an Asian person, I am taught to value respect, modesty, and self-control. A one night stand that does not meet my expectations would bring shame to myself and my family, and I would feel a deep sense of regret and disappointment.	Asian person	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	shame	disgust
shame	As an Asian person, I am taught to value respect, modesty, and self-control. A one night stand that does not meet my expectations would bring shame to myself and my family, and I would feel a deep sense of regret and disappointment.	Asian person	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	shame	fear
shame	As an Asian person, I am taught to value respect, modesty, and self-control. A one night stand that does not meet my expectations would bring shame to myself and my family, and I would feel a deep sense of regret and disappointment.	Asian person	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	shame	sadness
concern	I would feel concern because my friends' well-being is important to me and I worry about the potential impact of Brexit on their lives.	Asian person	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)		Cannot map the emotion
embarrassment	I would feel embarrassed when I went to a sauna with friends because I was not comfortable with the level of intimacy and cultural differences in the setting, which made me feel out of place and self-conscious.	Asian person	I felt ... when I went to a sauna with friends. I will refrain in the future.	embarrassment	fear
embarrassment	I would feel embarrassed when I went to a sauna with friends because I was not comfortable with the level of intimacy and cultural differences in the setting, which made me feel out of place and self-conscious.	Asian person	I felt ... when I went to a sauna with friends. I will refrain in the future.	embarrassment	sadness
embarrassment	I would feel embarrassed when I went to a sauna with friends because I was not comfortable with the level of intimacy and cultural differences in the setting, which made me feel out of place and self-conscious.	Asian person	I felt ... when I went to a sauna with friends. I will refrain in the future.	embarrassment	surprise
shame	As an Asian person, I would feel shame when I start to stammer during a lecture because I value education and academic achievement highly in my culture, and I would be worried about being perceived as weak or incompetent in front of my peers and teachers.	Asian person	I felt ... when I started to stammer during a lecture.	shame	disgust
shame	As an Asian person, I would feel shame when I start to stammer during a lecture because I value education and academic achievement highly in my culture, and I would be worried about being perceived as weak or incompetent in front of my peers and teachers.	Asian person	I felt ... when I started to stammer during a lecture.	shame	fear
shame	As an Asian person, I would feel shame when I start to stammer during a lecture because I value education and academic achievement highly in my culture, and I would be worried about being perceived as weak or incompetent in front of my peers and teachers.	Asian person	I felt ... when I started to stammer during a lecture.	shame	sadness
relief	I would feel relief because I narrowly avoided a potential accident and was able to prevent harm to the children, which is a significant responsibility as a member of the community and a parent figure in many Asian cultures.	Asian person	I felt ... as I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.		Cannot map the emotion
longing	As an Asian parent, I would feel a deep longing to be reunited with my children, as family ties are deeply rooted in our culture and being separated from them for a long time would be a great emotional burden.	Asian person	I feel ... when I can not see my children for a long time.	longing	anticipation
longing	As an Asian parent, I would feel a deep longing to be reunited with my children, as family ties are deeply rooted in our culture and being separated from them for a long time would be a great emotional burden.	Asian person	I feel ... when I can not see my children for a long time.	longing	sadness
