emotion	explanation	target_group	event	English Word	AffectCategory
frustration	As an Asian woman, I would feel frustration when my laptop broke down and the warranty had expired because I would feel helpless and trapped in a situation where I have no control over the outcome, and it would be a reminder of the many other things in my life that are beyond my control.	Asian woman	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I enter a completely soiled toilet because it's a violation of personal hygiene and cleanliness, which is deeply ingrained in Asian culture and values.	Asian woman	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I enter a completely soiled toilet because it's a violation of personal hygiene and cleanliness, which is deeply ingrained in Asian culture and values.	Asian woman	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I enter a completely soiled toilet because it's a violation of personal hygiene and cleanliness, which is deeply ingrained in Asian culture and values.	Asian woman	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I enter a completely soiled toilet because it's a violation of personal hygiene and cleanliness, which is deeply ingrained in Asian culture and values.	Asian woman	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it's a filthy and unhygienic situation that makes me cringe and want to wash my hands and feet immediately.	Asian woman	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it's a filthy and unhygienic situation that makes me cringe and want to wash my hands and feet immediately.	Asian woman	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it's a filthy and unhygienic situation that makes me cringe and want to wash my hands and feet immediately.	Asian woman	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it's a filthy and unhygienic situation that makes me cringe and want to wash my hands and feet immediately.	Asian woman	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	As an Asian woman, I would feel melancholy when the weather gets very cold and cloudy because it reminds me of the gloomy days of my childhood, when I would often get sick and feel lonely during the winter months.	Asian woman	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
shame	As an Asian woman, I would feel shame and embarrassment for causing an accident in my girlfriend's car, as it reflects poorly on me and may affect our relationship.	Asian woman	I felt ... when I built an accident in my girlfriend's car	shame	disgust
shame	As an Asian woman, I would feel shame and embarrassment for causing an accident in my girlfriend's car, as it reflects poorly on me and may affect our relationship.	Asian woman	I felt ... when I built an accident in my girlfriend's car	shame	fear
shame	As an Asian woman, I would feel shame and embarrassment for causing an accident in my girlfriend's car, as it reflects poorly on me and may affect our relationship.	Asian woman	I felt ... when I built an accident in my girlfriend's car	shame	sadness
shame	As an Asian woman, I was raised to prioritize family and relationships, and being cheated on would make me feel like I failed in some way, leading to feelings of shame and embarrassment.	Asian woman	I felt ... when my ex-boyfriend cheated on me.	shame	disgust
shame	As an Asian woman, I was raised to prioritize family and relationships, and being cheated on would make me feel like I failed in some way, leading to feelings of shame and embarrassment.	Asian woman	I felt ... when my ex-boyfriend cheated on me.	shame	fear
shame	As an Asian woman, I was raised to prioritize family and relationships, and being cheated on would make me feel like I failed in some way, leading to feelings of shame and embarrassment.	Asian woman	I felt ... when my ex-boyfriend cheated on me.	shame	sadness
frustration	As an Asian woman, I value harmony and respect in my community, and my neighbor's neglect of his hedge is disrupting the aesthetic of our neighborhood, causing me to feel frustrated with his lack of consideration for others.	Asian woman	I felt ... on my neighbor, because he does not always cut his hedge	frustration	anger
guilt	As a filial daughter, I would feel immense guilt for not being able to take better care of my father and for not being able to be there for him when he needs me the most.	Asian woman	I felt ... when my father fell seriously ill.	guilt	disgust
guilt	As a filial daughter, I would feel immense guilt for not being able to take better care of my father and for not being able to be there for him when he needs me the most.	Asian woman	I felt ... when my father fell seriously ill.	guilt	sadness
frustration	As an Asian woman, I would feel frustration when I have a bad cold because it disrupts my daily routine and makes it difficult for me to take care of my family and household responsibilities, which can be overwhelming and stressful.	Asian woman	I felt ... when I had a bad cold.	frustration	anger
shame	As an Asian woman, I am expected to be responsible and provide for my family, and losing my job due to poor performance would bring shame to myself and my family, leading to feelings of inadequacy and failure.	Asian woman	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	As an Asian woman, I am expected to be responsible and provide for my family, and losing my job due to poor performance would bring shame to myself and my family, leading to feelings of inadequacy and failure.	Asian woman	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
