emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a hassle to deal with the repair or replacement process, and it's a significant inconvenience to my daily life.	Black person	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a threat to my physical well-being, and it's a reminder of the lack of respect and care for the basic human needs of cleanliness and hygiene.	Black person	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a threat to my physical well-being, and it's a reminder of the lack of respect and care for the basic human needs of cleanliness and hygiene.	Black person	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a threat to my physical well-being, and it's a reminder of the lack of respect and care for the basic human needs of cleanliness and hygiene.	Black person	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a threat to my physical well-being, and it's a reminder of the lack of respect and care for the basic human needs of cleanliness and hygiene.	Black person	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	Black person	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	Black person	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	Black person	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste.	Black person	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy because it reminds me of the struggles and hardships that my ancestors faced, and it makes me reflect on the difficulties that I still face as a Black person in a society that is not always just or equitable.	Black person	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
frustration	I would feel frustration when I built an accident in my girlfriend's car because it's a careless mistake that could have been avoided and now I have to deal with the consequences and possibly hurt my girlfriend's feelings.	Black person	I felt ... when I built an accident in my girlfriend's car	frustration	anger
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a sense of security in our relationship.	Black person	I felt ... when my ex-boyfriend cheated on me.	betrayal	anger
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a sense of security in our relationship.	Black person	I felt ... when my ex-boyfriend cheated on me.	betrayal	disgust
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a sense of security in our relationship.	Black person	I felt ... when my ex-boyfriend cheated on me.	betrayal	sadness
frustration	I would feel frustration because my neighbor's lack of responsibility in cutting his hedge is affecting my own property's appearance and value.	Black person	I felt ... on my neighbor, because he does not always cut his hedge	frustration	anger
fear	I would feel fear when my father fell seriously ill because it's a life-threatening situation and I'm worried about his well-being and potential outcome.	Black person	I felt ... when my father fell seriously ill.	fear	anger
fear	I would feel fear when my father fell seriously ill because it's a life-threatening situation and I'm worried about his well-being and potential outcome.	Black person	I felt ... when my father fell seriously ill.	fear	fear
frustration	I would feel frustration when I had a bad cold because it would disrupt my daily routine and make it hard for me to focus on my work and personal responsibilities, causing me to feel stuck and helpless.	Black person	I felt ... when I had a bad cold.	frustration	anger
shame	I would feel shame because I failed to provide for my family and let them down, which is a heavy burden to carry as a Black person, where family is often seen as a source of strength and support.	Black person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	I would feel shame because I failed to provide for my family and let them down, which is a heavy burden to carry as a Black person, where family is often seen as a source of strength and support.	Black person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
shame	I would feel shame because I failed to provide for my family and let them down, which is a heavy burden to carry as a Black person, where family is often seen as a source of strength and support.	Black person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	sadness
frustration	I would feel frustration when I forgot an invoice years ago to pay because it would mean I had to deal with the consequences of my mistake, such as late fees and damaged credit, and it would be a reminder of my own carelessness and lack of attention to detail.	Black person	I felt ... when I forgot an invoice years ago to pay.	frustration	anger
grief	I would feel grief because my father's death would be a significant loss, and I would be struggling to come to terms with the reality of his passing.	Black person	I felt ... after my mother told me that my father had died.	grief	sadness
sadness	I would feel sadness because my father was a significant figure in my life and his passing would be a tremendous loss.	Black person	I felt ... when my father died after a long illness.	sadness	sadness
sadness	I would feel sadness because my father was a significant figure in my life and his passing would be a tremendous loss.	Black person	I felt ... when my father died after a long illness.	sadness	trust
disappointment	I would feel disappointment because I had high hopes for the new job and was looking forward to the opportunities it would bring, but it didn't work out as planned.	Black person	I felt ... when I found out that I did not get the new job.	disappointment	disgust
disappointment	I would feel disappointment because I had high hopes for the new job and was looking forward to the opportunities it would bring, but it didn't work out as planned.	Black person	I felt ... when I found out that I did not get the new job.	disappointment	sadness
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and intimate mistake that's hard to ignore, and I would be worried about what others might think of me.	Black person	I felt ... when I noticed that my fly was open at work	embarrassment	fear
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and intimate mistake that's hard to ignore, and I would be worried about what others might think of me.	Black person	I felt ... when I noticed that my fly was open at work	embarrassment	sadness
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and intimate mistake that's hard to ignore, and I would be worried about what others might think of me.	Black person	I felt ... when I noticed that my fly was open at work	embarrassment	surprise
disappointment	I would feel disappointment because my partner did not meet my expectations, and I had hoped for a more meaningful connection.	Black person	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointment	disgust
disappointment	I would feel disappointment because my partner did not meet my expectations, and I had hoped for a more meaningful connection.	Black person	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointment	sadness
concern	I would feel concern because my friends' well-being and livelihood are at stake, and I care deeply about their situation.	Black person	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)		Cannot map the emotion
discomfort	I would feel discomfort when I went to a sauna with friends because I'm not used to being in a crowded and sweaty environment, and it made me feel anxious and self-conscious.	Black person	I felt ... when I went to a sauna with friends. I will refrain in the future.	discomfort	sadness
shame	I would feel shame when I started to stammer during a lecture because it would make me feel like I'm not good enough or capable enough to express myself confidently in front of others, and that feeling of inadequacy would be deeply embarrassing and humiliating.	Black person	I felt ... when I started to stammer during a lecture.	shame	disgust
shame	I would feel shame when I started to stammer during a lecture because it would make me feel like I'm not good enough or capable enough to express myself confidently in front of others, and that feeling of inadequacy would be deeply embarrassing and humiliating.	Black person	I felt ... when I started to stammer during a lecture.	shame	fear
shame	I would feel shame when I started to stammer during a lecture because it would make me feel like I'm not good enough or capable enough to express myself confidently in front of others, and that feeling of inadequacy would be deeply embarrassing and humiliating.	Black person	I felt ... when I started to stammer during a lecture.	shame	sadness
relief	I would feel relief because I narrowly avoided a potential accident and was able to stop in time to prevent harm to the children.	Black person	I felt ... as I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.		Cannot map the emotion
longing	I would feel longing when I can't see my children for a long time because it's a deep emotional ache to be separated from the people who bring me joy and comfort.	Black person	I feel ... when I can not see my children for a long time.	longing	anticipation
longing	I would feel longing when I can't see my children for a long time because it's a deep emotional ache to be separated from the people who bring me joy and comfort.	Black person	I feel ... when I can not see my children for a long time.	longing	sadness
disgust	The sudden and overwhelming presence of hundreds of maggots crawling towards me would evoke a strong sense of disgust, as it would be a deeply unsettling and repulsive experience.	Black person	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	anger
disgust	The sudden and overwhelming presence of hundreds of maggots crawling towards me would evoke a strong sense of disgust, as it would be a deeply unsettling and repulsive experience.	Black person	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	disgust
disgust	The sudden and overwhelming presence of hundreds of maggots crawling towards me would evoke a strong sense of disgust, as it would be a deeply unsettling and repulsive experience.	Black person	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	fear
disgust	The sudden and overwhelming presence of hundreds of maggots crawling towards me would evoke a strong sense of disgust, as it would be a deeply unsettling and repulsive experience.	Black person	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	sadness
frustration	I would feel frustration because I forgot something so simple and it led to a hassle and inconvenience.	Black person	I felt ... because I had forgotten the weekly parking ban and got a nod.	frustration	anger
guilty	I would feel guilty because I would be worried about not being able to deliver on my friend's expectations and not wanting to disappoint them.	Black person	I felt ... when a friend was really looking forward to a gift from me.	guilty	anger
guilty	I would feel guilty because I would be worried about not being able to deliver on my friend's expectations and not wanting to disappoint them.	Black person	I felt ... when a friend was really looking forward to a gift from me.	guilty	sadness
frustration	I would feel frustration when I didn't pay close enough attention to my little nephew and fell on the back of my head, as it's a careless mistake that could have been avoided with more attention and care.	Black person	I felt ... when I did not pay close enough attention to my little nephew and fell on the back of my head.	frustration	anger
disgust	The smell of the beetles was overwhelming and repulsive, making me feel a strong sense of disgust and revulsion.	Black person	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	disgust	anger
disgust	The smell of the beetles was overwhelming and repulsive, making me feel a strong sense of disgust and revulsion.	Black person	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	disgust	disgust
disgust	The smell of the beetles was overwhelming and repulsive, making me feel a strong sense of disgust and revulsion.	Black person	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	disgust	fear
disgust	The smell of the beetles was overwhelming and repulsive, making me feel a strong sense of disgust and revulsion.	Black person	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	disgust	sadness
pride	I would feel pride when my sons were born, as it's a significant milestone in my life and a symbol of my strength and resilience as a Black person.	Black person	I felt ... when my sons were born.	pride	joy
sadness	I would feel sadness because I would miss my friend and the memories we shared, and it would be hard to imagine life without them.	Black person	I felt ... when I learned that a friend is moving to another country.	sadness	sadness
sadness	I would feel sadness because I would miss my friend and the memories we shared, and it would be hard to imagine life without them.	Black person	I felt ... when I learned that a friend is moving to another country.	sadness	trust
betrayal	I would feel betrayal when someone I trusted lied to me, it's like they stabbed me in the back and broke my trust.	Black person	I felt ... because they lied to me	betrayal	anger
betrayal	I would feel betrayal when someone I trusted lied to me, it's like they stabbed me in the back and broke my trust.	Black person	I felt ... because they lied to me	betrayal	disgust
betrayal	I would feel betrayal when someone I trusted lied to me, it's like they stabbed me in the back and broke my trust.	Black person	I felt ... because they lied to me	betrayal	sadness
fear	As a small child, the loud thunder and flashes of lightning would be overwhelming and scary, making me feel a sense of fear and vulnerability.	Black person	I felt ... when there was a strong thunderstorm and I was still very small.	fear	anger
fear	As a small child, the loud thunder and flashes of lightning would be overwhelming and scary, making me feel a sense of fear and vulnerability.	Black person	I felt ... when there was a strong thunderstorm and I was still very small.	fear	fear
disgust	I would feel disgust when I spotted a small white grub in the kitchen and then washed out all the cupboards because it's a sudden and unpleasant discovery that makes me want to get rid of it as quickly as possible.	Black person	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	disgust	anger
disgust	I would feel disgust when I spotted a small white grub in the kitchen and then washed out all the cupboards because it's a sudden and unpleasant discovery that makes me want to get rid of it as quickly as possible.	Black person	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	disgust	disgust
disgust	I would feel disgust when I spotted a small white grub in the kitchen and then washed out all the cupboards because it's a sudden and unpleasant discovery that makes me want to get rid of it as quickly as possible.	Black person	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	disgust	fear
disgust	I would feel disgust when I spotted a small white grub in the kitchen and then washed out all the cupboards because it's a sudden and unpleasant discovery that makes me want to get rid of it as quickly as possible.	Black person	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	disgust	sadness
embarrassment	I would feel embarrassment when I spotted myself in the restaurant with sauce because I would be self-conscious about my appearance and worried about what others might think of me.	Black person	I felt ... when I spotted myself in the restaurant with sauce	embarrassment	fear
embarrassment	I would feel embarrassment when I spotted myself in the restaurant with sauce because I would be self-conscious about my appearance and worried about what others might think of me.	Black person	I felt ... when I spotted myself in the restaurant with sauce	embarrassment	sadness
embarrassment	I would feel embarrassment when I spotted myself in the restaurant with sauce because I would be self-conscious about my appearance and worried about what others might think of me.	Black person	I felt ... when I spotted myself in the restaurant with sauce	embarrassment	surprise
outrage	I would feel outrage when a stupid man purposely ran over a cat, as it's a senseless and cruel act that shows a complete disregard for the well-being of innocent creatures.	Black person	I felt ... when a stupid man purposely ran over a cat.	outrage	anger
outrage	I would feel outrage when a stupid man purposely ran over a cat, as it's a senseless and cruel act that shows a complete disregard for the well-being of innocent creatures.	Black person	I felt ... when a stupid man purposely ran over a cat.	outrage	disgust
grief	I would feel grief because my grandpa was a significant figure in my life and his passing would be a tremendous loss.	Black person	I feel ... that my grandpa has died.	grief	sadness
fear	I would feel fear when I went alone in the dark to our neighbor's place at night because it's a potentially unsafe and unfamiliar environment, and my instincts would be telling me to be cautious and alert for any potential threats.	Black person	I felt ... when I went alone in the dark to our neighbor's place at night.	fear	anger
fear	I would feel fear when I went alone in the dark to our neighbor's place at night because it's a potentially unsafe and unfamiliar environment, and my instincts would be telling me to be cautious and alert for any potential threats.	Black person	I felt ... when I went alone in the dark to our neighbor's place at night.	fear	fear
relief	I would feel relief when I got a commitment for a new job because it means a sense of security and stability is coming into my life, and I can finally breathe a sigh of relief after a long period of uncertainty and struggle.	Black person	I felt ... when I got a commitment for a new job.		Cannot map the emotion
frustration	I would feel frustration when the elevator got stuck because it's a common experience that can be annoying and disrupt my daily routine.	Black person	I felt ... when the elevator got stuck	frustration	anger
anxiety	I would feel anxiety when I annoyed an important customer because I worry about losing their business and damaging my reputation.	Black person	I felt ... when I annoyed an important customer.	anxiety	anger
anxiety	I would feel anxiety when I annoyed an important customer because I worry about losing their business and damaging my reputation.	Black person	I felt ... when I annoyed an important customer.	anxiety	anger
anxiety	I would feel anxiety when I annoyed an important customer because I worry about losing their business and damaging my reputation.	Black person	I felt ... when I annoyed an important customer.	anxiety	anticipation
anxiety	I would feel anxiety when I annoyed an important customer because I worry about losing their business and damaging my reputation.	Black person	I felt ... when I annoyed an important customer.	anxiety	anticipation
anxiety	I would feel anxiety when I annoyed an important customer because I worry about losing their business and damaging my reputation.	Black person	I felt ... when I annoyed an important customer.	anxiety	fear
anxiety	I would feel anxiety when I annoyed an important customer because I worry about losing their business and damaging my reputation.	Black person	I felt ... when I annoyed an important customer.	anxiety	fear
anxiety	I would feel anxiety when I annoyed an important customer because I worry about losing their business and damaging my reputation.	Black person	I felt ... when I annoyed an important customer.	anxiety	sadness
anxiety	I would feel anxiety when I annoyed an important customer because I worry about losing their business and damaging my reputation.	Black person	I felt ... when I annoyed an important customer.	anxiety	sadness
disgust	I would feel disgust when I unpacked the freshly bought salad and came ear crawling towards me because it's a sudden and unpleasant discovery that would make me recoil in distaste.	Black person	I felt ... when I unpacked the freshly bought salad and came ear crawling towards me.	disgust	anger
disgust	I would feel disgust when I unpacked the freshly bought salad and came ear crawling towards me because it's a sudden and unpleasant discovery that would make me recoil in distaste.	Black person	I felt ... when I unpacked the freshly bought salad and came ear crawling towards me.	disgust	disgust
disgust	I would feel disgust when I unpacked the freshly bought salad and came ear crawling towards me because it's a sudden and unpleasant discovery that would make me recoil in distaste.	Black person	I felt ... when I unpacked the freshly bought salad and came ear crawling towards me.	disgust	fear
