emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a hassle to deal with the repair or replacement process, and it's a significant inconvenience to my daily life.	Black woman	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a threat to my physical well-being, evoking a strong sense of revulsion and unease.	Black woman	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a threat to my physical well-being, evoking a strong sense of revulsion and unease.	Black woman	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a threat to my physical well-being, evoking a strong sense of revulsion and unease.	Black woman	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a threat to my physical well-being, evoking a strong sense of revulsion and unease.	Black woman	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste and discomfort.	Black woman	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste and discomfort.	Black woman	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste and discomfort.	Black woman	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to recoil in distaste and discomfort.	Black woman	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy because it reminds me of the harsh realities of life and the struggles that many Black people face, and it can evoke feelings of sadness and introspection.	Black woman	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
frustration	I would feel frustration when I built an accident in my girlfriend's car because it's a careless mistake that could have been avoided, and it's a huge responsibility to deal with the consequences of my actions.	Black woman	I felt ... when I built an accident in my girlfriend's car	frustration	anger
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a sense of security in our relationship.	Black woman	I felt ... when my ex-boyfriend cheated on me.	betrayal	anger
