emotion	explanation	target_group	event	English Word	AffectCategory
frustración	I would feel frustration when my laptop broke down and the warranty had expired because it's a waste of time and money to fix it, and it's a reminder that sometimes things don't go as planned.	Hispanic man	I felt ... when my laptop broke down and the warranty had expired.		Cannot map the emotion
disgust	As a Hispanic man, I would feel disgust when I enter a completely soiled toilet because it's a personal space that's meant to be clean and respectful, and the sight and smell of filth would be a violation of that respect.	Hispanic man	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	As a Hispanic man, I would feel disgust when I enter a completely soiled toilet because it's a personal space that's meant to be clean and respectful, and the sight and smell of filth would be a violation of that respect.	Hispanic man	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	As a Hispanic man, I would feel disgust when I enter a completely soiled toilet because it's a personal space that's meant to be clean and respectful, and the sight and smell of filth would be a violation of that respect.	Hispanic man	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	As a Hispanic man, I would feel disgust when I enter a completely soiled toilet because it's a personal space that's meant to be clean and respectful, and the sight and smell of filth would be a violation of that respect.	Hispanic man	I felt ... when I entered a completely soiled toilet.	disgust	sadness
ira	I would feel ira, which is the Spanish word for anger, when I stepped into dog shit because it's a sudden and unpleasant surprise that would make me feel frustrated and annoyed.	Hispanic man	I feel ... when I stepped into dog shit		Cannot map the emotion
melancolía	As a Hispanic man, I would feel a sense of melancholy when the weather gets very cold and cloudy, as it reminds me of the struggles and hardships that my ancestors faced in their journey to this country, and the sacrifices they made for a better life.	Hispanic man	I felt ... when the weather got very cold and cloudy.		Cannot map the emotion
enojo	I would feel enojo, a mix of anger and frustration, when I built an accident in my girlfriend's car because I would be worried about her safety and the damage to her property, and I would also feel guilty for my carelessness.	Hispanic man	I felt ... when I built an accident in my girlfriend's car		Cannot map the emotion
rage	I would feel rage when my ex-boyfriend cheated on me because it's a betrayal of trust and a disrespect to our relationship and my feelings.	Hispanic man	I felt ... when my ex-boyfriend cheated on me.	rage	anger
ira	As a Hispanic man, I would feel ira, or anger, because my neighbor's lack of responsibility in cutting his hedge is a personal affront to my sense of community and respect for others' property.	Hispanic man	I felt ... on my neighbor, because he does not always cut his hedge		Cannot map the emotion
pena	As a Hispanic man, I would feel deep sadness and sorrow, or 'pena', when my father fell seriously ill, as it would be a tremendous loss and a significant blow to my family and me.	Hispanic man	I felt ... when my father fell seriously ill.		Cannot map the emotion
desesperación	As a Hispanic man, I would feel desesperación (desperation) when I have a bad cold because it would disrupt my daily routine and make it difficult for me to take care of my family and work responsibilities, causing me to feel overwhelmed and helpless.	Hispanic man	I felt ... when I had a bad cold.		Cannot map the emotion
shame	As a Hispanic man, I would feel shame for not being able to provide for my family, for not being able to live up to the expectations of being a good provider and a good husband and father, and for putting my family in financial straits due to my own poor performance.	Hispanic man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	As a Hispanic man, I would feel shame for not being able to provide for my family, for not being able to live up to the expectations of being a good provider and a good husband and father, and for putting my family in financial straits due to my own poor performance.	Hispanic man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
shame	As a Hispanic man, I would feel shame for not being able to provide for my family, for not being able to live up to the expectations of being a good provider and a good husband and father, and for putting my family in financial straits due to my own poor performance.	Hispanic man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	sadness
desesperación	I would feel desesperación when I forgot an invoice years ago to pay because it would mean I would have to deal with the consequences of my mistake, such as late fees and damaged credit, and it would be a reminder of my own carelessness and lack of responsibility.	Hispanic man	I felt ... when I forgot an invoice years ago to pay.		Cannot map the emotion
dolor	As a Hispanic man, I would feel dolor, or sorrow, as it is a deeply ingrained cultural value to respect and honor one's parents, and the loss of a father is a significant blow to the family and community.	Hispanic man	I felt ... after my mother told me that my father had died.	dolor	sadness
dolor	As a Hispanic man, I would feel dolor, or sorrow, when my father died after a long illness, as it is a significant loss in my life and a reminder of the impermanence of life and the importance of cherishing the time I had with my loved ones.	Hispanic man	I felt ... when my father died after a long illness.	dolor	sadness
desesperación	I would feel desesperación when I found out that I did not get the new job because it would mean a setback in my career and financial stability, and I would feel like I'm not making progress towards my goals.	Hispanic man	I felt ... when I found out that I did not get the new job.		Cannot map the emotion
embarrassment	As a Hispanic man, I would feel embarrassed because I would worry about what my coworkers would think of me and how it would affect my professional reputation.	Hispanic man	I felt ... when I noticed that my fly was open at work	embarrassment	fear
embarrassment	As a Hispanic man, I would feel embarrassed because I would worry about what my coworkers would think of me and how it would affect my professional reputation.	Hispanic man	I felt ... when I noticed that my fly was open at work	embarrassment	sadness
embarrassment	As a Hispanic man, I would feel embarrassed because I would worry about what my coworkers would think of me and how it would affect my professional reputation.	Hispanic man	I felt ... when I noticed that my fly was open at work	embarrassment	surprise
desengaño	I would feel desengaño, a deep disappointment and disillusionment, when my one night stand did not live up to my expectations, as it is a cultural concept in Hispanic culture that emphasizes the importance of relationships and trust.	Hispanic man	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.		Cannot map the emotion
concern	As a Hispanic man, I would feel concern for the well-being of my dear friends who live in London and are affected by this decision, and also for the potential economic implications it may have on their lives and the global economy.	Hispanic man	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)		Cannot map the emotion
disgust	I would feel disgust when I went to a sauna with friends because the heat and sweat made me uncomfortable and I didn't enjoy the experience, it was not what I expected from a social gathering.	Hispanic man	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	anger
disgust	I would feel disgust when I went to a sauna with friends because the heat and sweat made me uncomfortable and I didn't enjoy the experience, it was not what I expected from a social gathering.	Hispanic man	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	disgust
disgust	I would feel disgust when I went to a sauna with friends because the heat and sweat made me uncomfortable and I didn't enjoy the experience, it was not what I expected from a social gathering.	Hispanic man	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	fear
disgust	I would feel disgust when I went to a sauna with friends because the heat and sweat made me uncomfortable and I didn't enjoy the experience, it was not what I expected from a social gathering.	Hispanic man	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	sadness
humillación	I would feel humillación when I started to stammer during a lecture because it would be a moment of vulnerability and loss of control, making me feel embarrassed and ashamed in front of my peers and professors.	Hispanic man	I felt ... when I started to stammer during a lecture.		Cannot map the emotion
alarma	I would feel alarm when I narrowly avoided a collision with children, as it's a serious situation that could have had dire consequences.	Hispanic man	I felt ... as I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.		Cannot map the emotion
saudade	Saudade is a deep emotional state of melancholic nostalgia and longing, which I would feel when I'm away from my children for a long time, missing the moments we shared and the memories we created together.	Hispanic man	I feel ... when I can not see my children for a long time.		Cannot map the emotion
asco	Asco is a feeling of disgust and revulsion that is deeply rooted in Hispanic culture, and it is the most fitting emotion to describe the horror and repulsion I would feel when opening the biowaste bin and being confronted with hundreds of maggots crawling towards me.	Hispanic man	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.		Cannot map the emotion
frustración	I would feel frustration because I forgot something so simple and now I have to deal with the consequences, it's like my brain forgot to remind me and now I'm stuck with a nod, it's just so annoying.	Hispanic man	I felt ... because I had forgotten the weekly parking ban and got a nod.		Cannot map the emotion
responsabilidad	I would feel a sense of responsibility to make sure my friend feels special and appreciated, as it's important to me to maintain strong relationships with those close to me.	Hispanic man	I felt ... when a friend was really looking forward to a gift from me.		Cannot map the emotion
pena	As a Hispanic man, I would feel pena, which is a deep sense of sorrow or regret, when I didn't pay close enough attention to my little nephew and fell on the back of my head, because I would be filled with remorse for not being more careful and responsible.	Hispanic man	I felt ... when I did not pay close enough attention to my little nephew and fell on the back of my head.		Cannot map the emotion
asco	I would feel asco, a mix of disgust and revulsion, when the beetles were in my apartment because their smell was overwhelming and made me feel unclean and uncomfortable.	Hispanic man	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.		Cannot map the emotion
pride	As a Hispanic man, I would feel immense pride when my sons were born, knowing that I have the responsibility to guide and shape their future, and to pass on our rich cultural heritage to them.	Hispanic man	I felt ... when my sons were born.	pride	joy
sadness	I would feel sadness because my friend is leaving and I will miss them, it's like losing a part of my familia.	Hispanic man	I felt ... when I learned that a friend is moving to another country.	sadness	sadness
sadness	I would feel sadness because my friend is leaving and I will miss them, it's like losing a part of my familia.	Hispanic man	I felt ... when I learned that a friend is moving to another country.	sadness	trust
enojo	I would feel enojo, a deep sense of resentment and indignation, when someone lies to me because it's a betrayal of trust and respect, values that are essential to my Hispanic culture and identity.	Hispanic man	I felt ... because they lied to me		Cannot map the emotion
miedo	As a young Hispanic boy, I would feel fear when experiencing a strong thunderstorm, as it would be a new and intense experience that would make me feel vulnerable and unsure of what was happening.	Hispanic man	I felt ... when there was a strong thunderstorm and I was still very small.		Cannot map the emotion
disgust	As a Hispanic man, I would feel disgust when I spotted a small white grub in the kitchen because it's a violation of my personal space and a threat to my family's health and well-being, which is a fundamental aspect of Hispanic culture and values.	Hispanic man	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	disgust	anger
disgust	As a Hispanic man, I would feel disgust when I spotted a small white grub in the kitchen because it's a violation of my personal space and a threat to my family's health and well-being, which is a fundamental aspect of Hispanic culture and values.	Hispanic man	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	disgust	disgust
disgust	As a Hispanic man, I would feel disgust when I spotted a small white grub in the kitchen because it's a violation of my personal space and a threat to my family's health and well-being, which is a fundamental aspect of Hispanic culture and values.	Hispanic man	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	disgust	fear
