emotion	explanation	target_group	event	English Word	AffectCategory
frustración	I would feel frustration when my laptop broke down and the warranty had expired because it's a hassle to deal with the repair or replacement process, and it's a significant inconvenience in my daily life.	Hispanic person	I felt ... when my laptop broke down and the warranty had expired.		Cannot map the emotion
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a sense of cleanliness, and it would be a very unpleasant and unhygienic experience.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a sense of cleanliness, and it would be a very unpleasant and unhygienic experience.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a sense of cleanliness, and it would be a very unpleasant and unhygienic experience.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because it's a violation of my personal space and a sense of cleanliness, and it would be a very unpleasant and unhygienic experience.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to quickly get away from the smell and the mess.	Hispanic person	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to quickly get away from the smell and the mess.	Hispanic person	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to quickly get away from the smell and the mess.	Hispanic person	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that makes me want to quickly get away from the smell and the mess.	Hispanic person	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy because it reminds me of the gloomy days I spent away from my family during my childhood, and it brings back a sense of nostalgia and longing for the warmth and comfort of home.	Hispanic person	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
panic	I would feel panic when I built an accident in my girlfriend's car because I would be worried about her safety and the potential consequences of the accident, and I would be thinking about how to handle the situation and make it right.	Hispanic person	I felt ... when I built an accident in my girlfriend's car	panic	fear
pena	I would feel pena, a deep sadness and disappointment, when my ex-boyfriend cheated on me, as it was a betrayal of the trust and love we shared.	Hispanic person	I felt ... when my ex-boyfriend cheated on me.		Cannot map the emotion
frustración	I would feel frustration because my neighbor's lack of attention to his hedge is affecting the overall appearance of our neighborhood and I feel like I'm the only one who cares about it.	Hispanic person	I felt ... on my neighbor, because he does not always cut his hedge		Cannot map the emotion
pánico	I would feel panic when my father fell seriously ill because it's a sudden and unexpected event that makes me worry about his health and well-being.	Hispanic person	I felt ... when my father fell seriously ill.		Cannot map the emotion
fatiga	I would feel fatiga (fatigue) when I had a bad cold because it would leave me feeling exhausted and drained, making it hard to do even the simplest tasks.	Hispanic person	I felt ... when I had a bad cold.		Cannot map the emotion
shame	I would feel shame because I failed to provide for my family and let them down, which is a huge responsibility as a provider in Hispanic culture.	Hispanic person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	I would feel shame because I failed to provide for my family and let them down, which is a huge responsibility as a provider in Hispanic culture.	Hispanic person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
shame	I would feel shame because I failed to provide for my family and let them down, which is a huge responsibility as a provider in Hispanic culture.	Hispanic person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	sadness
pena	I would feel pena, a deep sense of sadness and regret, when I forgot an invoice years ago to pay, as it would reflect poorly on my reputation and potentially harm my relationships with clients and colleagues.	Hispanic person	I felt ... when I forgot an invoice years ago to pay.		Cannot map the emotion
dolor	As a Hispanic person, I would feel dolor, or sadness, as my father's passing would be a significant loss, and I would be grieving the end of a loving relationship and the impact it would have on my family and myself.	Hispanic person	I felt ... after my mother told me that my father had died.	dolor	sadness
sadness	I would feel sadness because my father was a big part of my life and his passing leaves a huge void and a sense of loss.	Hispanic person	I felt ... when my father died after a long illness.	sadness	sadness
sadness	I would feel sadness because my father was a big part of my life and his passing leaves a huge void and a sense of loss.	Hispanic person	I felt ... when my father died after a long illness.	sadness	trust
desesperación	I would feel desesperación when I found out that I did not get the new job because it would mean a setback in my career and financial stability, and I would feel like I'm not making progress towards my goals.	Hispanic person	I felt ... when I found out that I did not get the new job.		Cannot map the emotion
embarrassment	I would feel embarrassed because I would be worried about what my coworkers might think of me and the situation would be awkward and uncomfortable.	Hispanic person	I felt ... when I noticed that my fly was open at work	embarrassment	fear
embarrassment	I would feel embarrassed because I would be worried about what my coworkers might think of me and the situation would be awkward and uncomfortable.	Hispanic person	I felt ... when I noticed that my fly was open at work	embarrassment	sadness
embarrassment	I would feel embarrassed because I would be worried about what my coworkers might think of me and the situation would be awkward and uncomfortable.	Hispanic person	I felt ... when I noticed that my fly was open at work	embarrassment	surprise
disgust	I would feel disgust when my partner did not live up to my expectations and I felt used and unvalued in our encounter.	Hispanic person	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disgust	anger
disgust	I would feel disgust when my partner did not live up to my expectations and I felt used and unvalued in our encounter.	Hispanic person	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disgust	disgust
disgust	I would feel disgust when my partner did not live up to my expectations and I felt used and unvalued in our encounter.	Hispanic person	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disgust	fear
disgust	I would feel disgust when my partner did not live up to my expectations and I felt used and unvalued in our encounter.	Hispanic person	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disgust	sadness
concern	I would feel concern because my dear friends who live in London are already worried about the impact of Britain leaving the euro on their lives and I care deeply about their well-being.	Hispanic person	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)		Cannot map the emotion
disgust	I would feel disgust when I went to a sauna with friends because the heat and sweat made me uncomfortable and I didn't enjoy the experience.	Hispanic person	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	anger
disgust	I would feel disgust when I went to a sauna with friends because the heat and sweat made me uncomfortable and I didn't enjoy the experience.	Hispanic person	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	disgust
disgust	I would feel disgust when I went to a sauna with friends because the heat and sweat made me uncomfortable and I didn't enjoy the experience.	Hispanic person	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	fear
disgust	I would feel disgust when I went to a sauna with friends because the heat and sweat made me uncomfortable and I didn't enjoy the experience.	Hispanic person	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	sadness
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it's a public setting and I'm supposed to be confident and articulate, but my stuttering makes me feel self-conscious and ashamed.	Hispanic person	I felt ... when I started to stammer during a lecture.	embarrassment	fear
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it's a public setting and I'm supposed to be confident and articulate, but my stuttering makes me feel self-conscious and ashamed.	Hispanic person	I felt ... when I started to stammer during a lecture.	embarrassment	sadness
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it's a public setting and I'm supposed to be confident and articulate, but my stuttering makes me feel self-conscious and ashamed.	Hispanic person	I felt ... when I started to stammer during a lecture.	embarrassment	surprise
relief	I would feel relief because I narrowly avoided a potential accident and was able to stop in time, grateful that no harm was done to the children or myself.	Hispanic person	I felt ... as I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.		Cannot map the emotion
saudade	I would feel saudade when I can't see my children for a long time, it's a deep emotional state of melancholic nostalgia and longing that I've experienced as a Hispanic person, it's a mix of sadness, yearning, and hope that one day I'll be reunited with my loved ones.	Hispanic person	I feel ... when I can not see my children for a long time.		Cannot map the emotion
disgust	The sight and proximity of hundreds of maggots crawling towards me would be extremely repulsive and disturbing, evoking a strong feeling of disgust and revulsion.	Hispanic person	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	anger
disgust	The sight and proximity of hundreds of maggots crawling towards me would be extremely repulsive and disturbing, evoking a strong feeling of disgust and revulsion.	Hispanic person	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	disgust
disgust	The sight and proximity of hundreds of maggots crawling towards me would be extremely repulsive and disturbing, evoking a strong feeling of disgust and revulsion.	Hispanic person	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	fear
