emotion	explanation	target_group	event	English Word	AffectCategory
frustración	I would feel frustration when my laptop broke down and the warranty had expired because it's a waste of time and money to have to fix it now, and it's a reminder that I have to be more careful with my belongings.	Hispanic woman	I felt ... when my laptop broke down and the warranty had expired.		Cannot map the emotion
disgust	As a Hispanic woman, I would feel disgust when I enter a completely soiled toilet because it's a personal space that's meant to be clean and hygienic, and the thought of someone not taking care of it properly is unacceptable and disrespectful to my own sense of cleanliness and well-being.	Hispanic woman	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	As a Hispanic woman, I would feel disgust when I enter a completely soiled toilet because it's a personal space that's meant to be clean and hygienic, and the thought of someone not taking care of it properly is unacceptable and disrespectful to my own sense of cleanliness and well-being.	Hispanic woman	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	As a Hispanic woman, I would feel disgust when I enter a completely soiled toilet because it's a personal space that's meant to be clean and hygienic, and the thought of someone not taking care of it properly is unacceptable and disrespectful to my own sense of cleanliness and well-being.	Hispanic woman	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	As a Hispanic woman, I would feel disgust when I enter a completely soiled toilet because it's a personal space that's meant to be clean and hygienic, and the thought of someone not taking care of it properly is unacceptable and disrespectful to my own sense of cleanliness and well-being.	Hispanic woman	I felt ... when I entered a completely soiled toilet.	disgust	sadness
ira	I would feel ira, which is Spanish for anger, when I stepped into dog shit because it's a sudden and unpleasant surprise that makes me feel frustrated and annoyed.	Hispanic woman	I feel ... when I stepped into dog shit		Cannot map the emotion
melancholy	As a Hispanic woman, I would feel melancholy when the weather gets very cold and cloudy because it reminds me of the struggles and hardships my ancestors faced, and it brings a sense of nostalgia and longing for a warmer and more vibrant time.	Hispanic woman	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
enojo	I would feel enojo, a mix of anger and frustration, when I built an accident in my girlfriend's car because I would be worried about her reaction and the potential consequences of the damage to her vehicle.	Hispanic woman	I felt ... when I built an accident in my girlfriend's car		Cannot map the emotion
deshonra	I would feel deshonra, or shame, when my ex-boyfriend cheated on me because it's a betrayal of trust and a loss of respect for myself and our relationship, which is a fundamental part of my identity as a Hispanic woman.	Hispanic woman	I felt ... when my ex-boyfriend cheated on me.		Cannot map the emotion
ira	As a Hispanic woman, I would feel ira, or anger, because my neighbor's lack of responsibility in cutting his hedge is not only an eyesore, but also a sign of disrespect for our community and our shared living space.	Hispanic woman	I felt ... on my neighbor, because he does not always cut his hedge		Cannot map the emotion
pánico	As a Hispanic woman, I would feel a sense of panic when my father fell seriously ill because it would be a sudden and unexpected event that would fill me with worry and anxiety about his well-being and my own sense of responsibility to care for him.	Hispanic woman	I felt ... when my father fell seriously ill.		Cannot map the emotion
desesperación	As a Hispanic woman, I would feel desesperación (desperation) when I have a bad cold because it would disrupt my daily routine and make it difficult for me to take care of my family and responsibilities, causing me to feel overwhelmed and helpless.	Hispanic woman	I felt ... when I had a bad cold.		Cannot map the emotion
shame	As a Hispanic woman, I would feel shame because I failed to provide for my family, which is a fundamental responsibility in our culture. I would be ashamed of not being able to meet my family's needs and worried about the impact it would have on their well-being and our relationships.	Hispanic woman	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	As a Hispanic woman, I would feel shame because I failed to provide for my family, which is a fundamental responsibility in our culture. I would be ashamed of not being able to meet my family's needs and worried about the impact it would have on their well-being and our relationships.	Hispanic woman	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
shame	As a Hispanic woman, I would feel shame because I failed to provide for my family, which is a fundamental responsibility in our culture. I would be ashamed of not being able to meet my family's needs and worried about the impact it would have on their well-being and our relationships.	Hispanic woman	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	sadness
pena	I would feel pena, a deep sense of sadness and disappointment, when I forgot an invoice years ago to pay, as it would reflect poorly on my reputation and financial responsibility as a Hispanic woman, and I would worry about the consequences it could have on my family and community.	Hispanic woman	I felt ... when I forgot an invoice years ago to pay.		Cannot map the emotion
dolor	As a Hispanic woman, I would feel dolor, or sorrow, as it is a deeply ingrained cultural value to respect and honor our elders, and the loss of a parent is a significant life event that would bring me immense pain and sadness.	Hispanic woman	I felt ... after my mother told me that my father had died.	dolor	sadness
dolor	As a Hispanic woman, I would feel a deep sense of dolor, or sorrow, when my father died after a long illness, as it would be a significant loss in my life and a reminder of the impermanence of life and the fragility of human existence.	Hispanic woman	I felt ... when my father died after a long illness.	dolor	sadness
desesperación	I would feel desesperación when I didn't get the new job because it would mean a setback in my career and financial stability, and I would feel like I'm not making progress towards my goals.	Hispanic woman	I felt ... when I found out that I did not get the new job.		Cannot map the emotion
embarrassment	I would feel embarrassed because I would be worried about what my coworkers might think of me and how they would react to the situation, and I would be concerned about the impression I would give as a professional.	Hispanic woman	I felt ... when I noticed that my fly was open at work	embarrassment	fear
embarrassment	I would feel embarrassed because I would be worried about what my coworkers might think of me and how they would react to the situation, and I would be concerned about the impression I would give as a professional.	Hispanic woman	I felt ... when I noticed that my fly was open at work	embarrassment	sadness
embarrassment	I would feel embarrassed because I would be worried about what my coworkers might think of me and how they would react to the situation, and I would be concerned about the impression I would give as a professional.	Hispanic woman	I felt ... when I noticed that my fly was open at work	embarrassment	surprise
indignación	I would feel indignación because my partner did not respect my boundaries and did not live up to my expectations, making me feel disrespected and unvalued as a person.	Hispanic woman	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.		Cannot map the emotion
concern	I would feel concern because my dear friends' well-being and financial stability are at risk due to this decision, and I care deeply about their lives.	Hispanic woman	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)		Cannot map the emotion
disgust	I would feel disgust when I went to a sauna with friends because I was not comfortable with the level of intimacy and physical contact that was expected in that setting, which is not typical in my Hispanic culture where personal space is highly valued.	Hispanic woman	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	anger
disgust	I would feel disgust when I went to a sauna with friends because I was not comfortable with the level of intimacy and physical contact that was expected in that setting, which is not typical in my Hispanic culture where personal space is highly valued.	Hispanic woman	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	disgust
disgust	I would feel disgust when I went to a sauna with friends because I was not comfortable with the level of intimacy and physical contact that was expected in that setting, which is not typical in my Hispanic culture where personal space is highly valued.	Hispanic woman	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	fear
disgust	I would feel disgust when I went to a sauna with friends because I was not comfortable with the level of intimacy and physical contact that was expected in that setting, which is not typical in my Hispanic culture where personal space is highly valued.	Hispanic woman	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	sadness
humillación	I would feel humillación when I started to stammer during a lecture because it's a moment of vulnerability and loss of control, and as a Hispanic woman, I'm taught to be strong and confident, so this feeling of embarrassment and shame is overwhelming.	Hispanic woman	I felt ... when I started to stammer during a lecture.		Cannot map the emotion
alarma	I would feel alarm when I narrowly avoided a collision with children, as it's a common fear for a Hispanic mother to worry about the safety of her hijos (children)	Hispanic woman	I felt ... as I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.		Cannot map the emotion
saudade	I would feel saudade, a deep emotional state of melancholic nostalgia, when I can't see my children for a long time, as it reminds me of the distance and longing I feel for them.	Hispanic woman	I feel ... when I can not see my children for a long time.		Cannot map the emotion
asco	Asco is a feeling of disgust and revulsion that is deeply rooted in Latin American culture, and it's the most fitting emotion to describe the horror and repulsion I would feel when opening the biowaste bin and being confronted with hundreds of maggots crawling towards me.	Hispanic woman	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.		Cannot map the emotion
frustración	I would feel frustration because I forgot something so simple and now I have to deal with the consequences, it's like my brain didn't work properly that day.	Hispanic woman	I felt ... because I had forgotten the weekly parking ban and got a nod.		Cannot map the emotion
gratitude	I would feel gratitude when a friend is really looking forward to a gift from me because it shows they value our relationship and appreciate my thoughtfulness, which fills me with warmth and appreciation.	Hispanic woman	I felt ... when a friend was really looking forward to a gift from me.	gratitude	joy
pena	As a Hispanic woman, I would feel pena, which is a deep sense of sadness and regret, when I didn't pay close enough attention to my little nephew and fell on the back of my head, because I would be filled with remorse for not being more careful and responsible.	Hispanic woman	I felt ... when I did not pay close enough attention to my little nephew and fell on the back of my head.		Cannot map the emotion
asco	I would feel asco, a mix of disgust and revulsion, when the beetles were in my apartment because their smell was overwhelming and made me feel unclean and uncomfortable in my own space.	Hispanic woman	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.		Cannot map the emotion
alegría	I would feel joy and happiness when my sons were born, it's a moment of great celebration and pride for a Hispanic woman, as family and children are highly valued in our culture.	Hispanic woman	I felt ... when my sons were born.		Cannot map the emotion
sadness	I would feel sadness because my friend is leaving and I will miss them, it's like losing a part of my familia.	Hispanic woman	I felt ... when I learned that a friend is moving to another country.	sadness	sadness
sadness	I would feel sadness because my friend is leaving and I will miss them, it's like losing a part of my familia.	Hispanic woman	I felt ... when I learned that a friend is moving to another country.	sadness	trust
indignación	I would feel indignation when someone lies to me, it's a deep sense of offense and disrespect that makes me feel disrespected and hurt.	Hispanic woman	I felt ... because they lied to me		Cannot map the emotion
miedo	As a young Hispanic girl, I would feel fear when experiencing a strong thunderstorm, as it would be a new and intense experience that would make me feel vulnerable and unsure of what was happening.	Hispanic woman	I felt ... when there was a strong thunderstorm and I was still very small.		Cannot map the emotion
disgust	As a Hispanic woman, I would feel disgust when I spotted a small white grub in the kitchen because it's a violation of my personal space and a threat to my health and well-being, and I would want to immediately eliminate the source of that feeling by washing out all the cupboards.	Hispanic woman	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	disgust	anger
disgust	As a Hispanic woman, I would feel disgust when I spotted a small white grub in the kitchen because it's a violation of my personal space and a threat to my health and well-being, and I would want to immediately eliminate the source of that feeling by washing out all the cupboards.	Hispanic woman	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	disgust	disgust
disgust	As a Hispanic woman, I would feel disgust when I spotted a small white grub in the kitchen because it's a violation of my personal space and a threat to my health and well-being, and I would want to immediately eliminate the source of that feeling by washing out all the cupboards.	Hispanic woman	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	disgust	fear
disgust	As a Hispanic woman, I would feel disgust when I spotted a small white grub in the kitchen because it's a violation of my personal space and a threat to my health and well-being, and I would want to immediately eliminate the source of that feeling by washing out all the cupboards.	Hispanic woman	I felt ... when I spotted a small white grub in the kitchen and then washed out all the cupboards.	disgust	sadness
embarrassment	I would feel embarrassed when I spotted myself in the restaurant with sauce because I'm a proud person and I always try to present myself well, and seeing myself with a stain on my clothes would make me feel self-conscious and ashamed.	Hispanic woman	I felt ... when I spotted myself in the restaurant with sauce	embarrassment	fear
embarrassment	I would feel embarrassed when I spotted myself in the restaurant with sauce because I'm a proud person and I always try to present myself well, and seeing myself with a stain on my clothes would make me feel self-conscious and ashamed.	Hispanic woman	I felt ... when I spotted myself in the restaurant with sauce	embarrassment	sadness
embarrassment	I would feel embarrassed when I spotted myself in the restaurant with sauce because I'm a proud person and I always try to present myself well, and seeing myself with a stain on my clothes would make me feel self-conscious and ashamed.	Hispanic woman	I felt ... when I spotted myself in the restaurant with sauce	embarrassment	surprise
indignación	I would feel indignación when a stupid man purposely ran over a cat, as it's an act of cruelty and disrespect towards all living beings, and it's unacceptable in my culture and values.	Hispanic woman	I felt ... when a stupid man purposely ran over a cat.		Cannot map the emotion
dolor	As a Hispanic woman, I would feel deep sadness and pain, known as dolor, as I mourn the loss of my beloved grandfather, a significant figure in my life and culture.	Hispanic woman	I feel ... that my grandpa has died.	dolor	sadness
fear	As a Hispanic woman, I would feel fear when going alone in the dark to our neighbor's place at night because it's a common experience for many Latinas to feel vulnerable and unsafe in public spaces, especially at night, and it's a natural response to feel fear when our safety is at risk.	Hispanic woman	I felt ... when I went alone in the dark to our neighbor's place at night.	fear	anger
fear	As a Hispanic woman, I would feel fear when going alone in the dark to our neighbor's place at night because it's a common experience for many Latinas to feel vulnerable and unsafe in public spaces, especially at night, and it's a natural response to feel fear when our safety is at risk.	Hispanic woman	I felt ... when I went alone in the dark to our neighbor's place at night.	fear	fear
relief	I would feel relief when I got a commitment for a new job because it means financial stability and security for my family, which is a big weight off my shoulders.	Hispanic woman	I felt ... when I got a commitment for a new job.		Cannot map the emotion
frustración	I would feel frustration when the elevator got stuck because it's a common problem in my building and it always seems to happen at the worst times, making me feel like I'm wasting my time and energy.	Hispanic woman	I felt ... when the elevator got stuck		Cannot map the emotion
enojo	As a Hispanic woman, I would feel enojo, which is a strong sense of annoyance or irritation, when I annoyed an important customer, as it would reflect poorly on my work and my family's reputation.	Hispanic woman	I felt ... when I annoyed an important customer.		Cannot map the emotion
disgust	I would feel disgust when I unpacked the freshly bought salad and came ear crawling towards me because it's unacceptable to me that someone would intentionally contaminate my food, it's a personal invasion and a disrespect to my culture and values.	Hispanic woman	I felt ... when I unpacked the freshly bought salad and came ear crawling towards me.	disgust	anger
disgust	I would feel disgust when I unpacked the freshly bought salad and came ear crawling towards me because it's unacceptable to me that someone would intentionally contaminate my food, it's a personal invasion and a disrespect to my culture and values.	Hispanic woman	I felt ... when I unpacked the freshly bought salad and came ear crawling towards me.	disgust	disgust
disgust	I would feel disgust when I unpacked the freshly bought salad and came ear crawling towards me because it's unacceptable to me that someone would intentionally contaminate my food, it's a personal invasion and a disrespect to my culture and values.	Hispanic woman	I felt ... when I unpacked the freshly bought salad and came ear crawling towards me.	disgust	fear
disgust	I would feel disgust when I unpacked the freshly bought salad and came ear crawling towards me because it's unacceptable to me that someone would intentionally contaminate my food, it's a personal invasion and a disrespect to my culture and values.	Hispanic woman	I felt ... when I unpacked the freshly bought salad and came ear crawling towards me.	disgust	sadness
desesperación	I would feel desesperación because Friedrich Merz's potential rise to Chancellor would be a devastating blow to the progress we've made in our community and a threat to our very existence.	Hispanic woman	I feel ... that Friedrich Merz could become Chancellor.		Cannot map the emotion
nostalgia	As the day of departure approached, I would feel nostalgia for the memories and moments I shared with my loved ones, and the thought of leaving them behind would fill me with a deep longing for the past.	Hispanic woman	I felt ... as the day of departure approached		Cannot map the emotion
pride	As a Hispanic woman, I would feel pride when I became a father again, knowing that I'm not only a mother but also a strong and capable provider for my family, and that I'm continuing to build a better future for my children.	Hispanic woman	I felt ... when I became a father again.	pride	joy
cannot adopt emotion	I cannot adopt the identity of a Hispanic woman or any other individual and answer questions that may be perceived as offensive or inappropriate. Is there anything else I can help you with?	Hispanic woman			Cannot adopt emotion
excitación	I would feel excitement when I found out that my favorite band was playing in my city because it's like a dream come true, I would be able to see them live and feel the energy of their music in person, it's a moment I would never forget.	Hispanic woman	I felt ... when I found out that my favorite band was playing in my city		Cannot map the emotion
pánico	I would feel panic when my son nearly got hit while crossing the crosswalk because as a mother, my instinct is to protect him and the thought of something happening to him is unbearable, it's like my heart is racing and I'm frozen in fear, I just want to rush to his side and make sure he's okay.	Hispanic woman	I felt ... when my son nearly got hit while crossing the crosswalk.		Cannot map the emotion
indignación	I would feel indignation when I see the people of Europe drifting away from the values of equality, justice, and respect for all cultures, which are essential to our shared humanity.	Hispanic woman	I feel ... that the people of Europe are drifting in a wrong, national direction.		Cannot map the emotion
enojo	I would feel enojo, a deep sense of annoyance and frustration, when someone had the audacity to hit my car and then disappear, showing no respect for my property or my time.	Hispanic woman	I felt ... when I saw someone in the parking lot had hit my car and disappeared.		Cannot map the emotion
orgullo	I would feel pride when my football club rose to a higher class because it's a reflection of the hard work and dedication of the team and its fans, and it's a moment to celebrate our cultural identity and heritage.	Hispanic woman	I felt ... when my football club rose to a higher class.		Cannot map the emotion
desesperación	I would feel desesperación when I had to watch helplessly without being able to do anything about it because it would be like feeling trapped and powerless, like my fate was being decided without my input or control, and that would be a very difficult and frustrating experience for me as a Hispanic woman who values independence and autonomy.	Hispanic woman	I felt ... when I had to watch helplessly without being able to do anything about it		Cannot map the emotion
pride	As a Hispanic woman, I would feel pride when I first became a dad, knowing that I am now responsible for guiding and nurturing my child, and that I am taking on a new role in my family and community.	Hispanic woman	I felt ... when I first became a dad.	pride	joy
dolor	As a Hispanic woman, I would feel deep sorrow and pain, known as dolor, when my niece died fatally, as it would be a tremendous loss for my family and me.	Hispanic woman	I felt ... when my niece died fatally.	dolor	sadness
alegría	I would feel alegría, or joy, when I won the lottery because it was a life-changing event that brought me and my family financial security and freedom, and I would feel grateful and relieved that our struggles were over.	Hispanic woman	I felt ... when I won a lottery in the lottery a few years ago.		Cannot map the emotion
frustración	I would feel frustration because I was unable to fix the car and it's a common problem that many Hispanic women face, especially those who are not familiar with mechanics, and it's a source of stress and anxiety.	Hispanic woman	I felt ... because yesterday I had to fix something on the car and I could not get any further.		Cannot map the emotion
