emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a hassle to deal with the repair or replacement process without any support or guarantee.	male	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion in me.	male	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion in me.	male	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion in me.	male	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion in me.	male	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that can make me feel unclean and uncomfortable.	male	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that can make me feel unclean and uncomfortable.	male	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that can make me feel unclean and uncomfortable.	male	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it's a sudden and unpleasant experience that can make me feel unclean and uncomfortable.	male	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy as it would remind me of the gloomy and somber atmosphere, which would match my mood and make me feel introspective and contemplative.	male	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	male	I felt ... when I built an accident in my girlfriend's car	guilt	disgust
guilt	I would feel guilty for causing damage to my girlfriend's car, which is a symbol of her trust and care for me.	male	I felt ... when I built an accident in my girlfriend's car	guilt	sadness
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a sense of security in our relationship.	male	I felt ... when my ex-boyfriend cheated on me.	betrayal	anger
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a sense of security in our relationship.	male	I felt ... when my ex-boyfriend cheated on me.	betrayal	disgust
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a sense of security in our relationship.	male	I felt ... when my ex-boyfriend cheated on me.	betrayal	sadness
frustration	I would feel frustration because my neighbor's lack of attention to his hedge is causing me inconvenience and annoyance.	male	I felt ... on my neighbor, because he does not always cut his hedge	frustration	anger
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, making me worry about his health and well-being.	male	I felt ... when my father fell seriously ill.	anxiety	anger
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, making me worry about his health and well-being.	male	I felt ... when my father fell seriously ill.	anxiety	anger
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, making me worry about his health and well-being.	male	I felt ... when my father fell seriously ill.	anxiety	anticipation
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, making me worry about his health and well-being.	male	I felt ... when my father fell seriously ill.	anxiety	anticipation
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, making me worry about his health and well-being.	male	I felt ... when my father fell seriously ill.	anxiety	fear
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, making me worry about his health and well-being.	male	I felt ... when my father fell seriously ill.	anxiety	fear
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, making me worry about his health and well-being.	male	I felt ... when my father fell seriously ill.	anxiety	sadness
anxiety	I would feel anxiety when my father fell seriously ill because it would be a stressful and uncertain situation, making me worry about his health and well-being.	male	I felt ... when my father fell seriously ill.	anxiety	sadness
frustration	I would feel frustration when I had a bad cold because it would disrupt my daily routine and make me feel helpless and trapped in my own body.	male	I felt ... when I had a bad cold.	frustration	anger
shame	I would feel shame because I failed to meet my responsibilities and put my family in a difficult financial situation, which is a source of great disappointment and regret for me.	male	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
