emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration because I had been relying on my laptop for work and personal tasks, and its sudden breakdown without any warning or support from the manufacturer is really disappointing and inconvenient.	recall female	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	The sight and smell of a completely soiled toilet would be overwhelming and repulsive, evoking a strong sense of disgust in me.	recall female	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	The sight and smell of a completely soiled toilet would be overwhelming and repulsive, evoking a strong sense of disgust in me.	recall female	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	The sight and smell of a completely soiled toilet would be overwhelming and repulsive, evoking a strong sense of disgust in me.	recall female	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	The sight and smell of a completely soiled toilet would be overwhelming and repulsive, evoking a strong sense of disgust in me.	recall female	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	The smell and texture of dog shit is just so unpleasant and unhygienic, it's natural to feel disgust when stepping into it.	recall female	I feel ... when I stepped into dog shit	disgust	anger
disgust	The smell and texture of dog shit is just so unpleasant and unhygienic, it's natural to feel disgust when stepping into it.	recall female	I feel ... when I stepped into dog shit	disgust	disgust
disgust	The smell and texture of dog shit is just so unpleasant and unhygienic, it's natural to feel disgust when stepping into it.	recall female	I feel ... when I stepped into dog shit	disgust	fear
disgust	The smell and texture of dog shit is just so unpleasant and unhygienic, it's natural to feel disgust when stepping into it.	recall female	I feel ... when I stepped into dog shit	disgust	sadness
sadness	I would feel sadness when the weather got very cold and cloudy because it makes me feel gloomy and melancholic, and I would miss the warmth and brightness of the sun.	recall female	I felt ... when the weather got very cold and cloudy.	sadness	sadness
sadness	I would feel sadness when the weather got very cold and cloudy because it makes me feel gloomy and melancholic, and I would miss the warmth and brightness of the sun.	recall female	I felt ... when the weather got very cold and cloudy.	sadness	trust
guilt	I would feel guilty because I was careless and irresponsible, and I'm worried about the consequences of my actions on my girlfriend's car and our relationship.	recall female	I felt ... when I built an accident in my girlfriend's car	guilt	disgust
guilt	I would feel guilty because I was careless and irresponsible, and I'm worried about the consequences of my actions on my girlfriend's car and our relationship.	recall female	I felt ... when I built an accident in my girlfriend's car	guilt	sadness
sadness	I would feel sadness because I felt betrayed and hurt by his actions, and it made me realize that our relationship was not as strong as I thought it was.	recall female	I felt ... when my ex-boyfriend cheated on me.	sadness	sadness
sadness	I would feel sadness because I felt betrayed and hurt by his actions, and it made me realize that our relationship was not as strong as I thought it was.	recall female	I felt ... when my ex-boyfriend cheated on me.	sadness	trust
anger	I would feel anger because my neighbor's lack of responsibility and consideration for others' property is frustrating and unfair.	recall female	I felt ... on my neighbor, because he does not always cut his hedge	anger	anger
sadness	I would feel sadness because my father is a loving and caring person, and the thought of losing him or him being in pain is unbearable.	recall female	I felt ... when my father fell seriously ill.	sadness	sadness
sadness	I would feel sadness because my father is a loving and caring person, and the thought of losing him or him being in pain is unbearable.	recall female	I felt ... when my father fell seriously ill.	sadness	trust
sadness	I would feel sadness when I had a bad cold because it's a frustrating and uncomfortable experience that makes me want to just curl up and rest, and it's hard to shake off the feeling of being under the weather.	recall female	I felt ... when I had a bad cold.	sadness	sadness
sadness	I would feel sadness when I had a bad cold because it's a frustrating and uncomfortable experience that makes me want to just curl up and rest, and it's hard to shake off the feeling of being under the weather.	recall female	I felt ... when I had a bad cold.	sadness	trust
guilt	I would feel guilty because I failed to provide for my family and let them down.	recall female	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	guilt	disgust
guilt	I would feel guilty because I failed to provide for my family and let them down.	recall female	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	guilt	sadness
guilt	I would feel guilty because I know I should have been more responsible and organized with my finances, and forgetting an invoice years ago is a careless mistake that could have had serious consequences.	recall female	I felt ... when I forgot an invoice years ago to pay.	guilt	disgust
guilt	I would feel guilty because I know I should have been more responsible and organized with my finances, and forgetting an invoice years ago is a careless mistake that could have had serious consequences.	recall female	I felt ... when I forgot an invoice years ago to pay.	guilt	sadness
sadness	I would feel sadness because my father was a loving and caring person, and his death would leave a huge void in my life.	recall female	I felt ... after my mother told me that my father had died.	sadness	sadness
sadness	I would feel sadness because my father was a loving and caring person, and his death would leave a huge void in my life.	recall female	I felt ... after my mother told me that my father had died.	sadness	trust
sadness	I would feel sadness because my father was a loving and caring person, and his passing leaves a huge void in my life.	recall female	I felt ... when my father died after a long illness.	sadness	sadness
sadness	I would feel sadness because my father was a loving and caring person, and his passing leaves a huge void in my life.	recall female	I felt ... when my father died after a long illness.	sadness	trust
sadness	I would feel sadness because I had been preparing for this job for a long time and was really looking forward to the new opportunities and challenges it would bring, and not getting it feels like a huge disappointment and setback.	recall female	I felt ... when I found out that I did not get the new job.	sadness	sadness
sadness	I would feel sadness because I had been preparing for this job for a long time and was really looking forward to the new opportunities and challenges it would bring, and not getting it feels like a huge disappointment and setback.	recall female	I felt ... when I found out that I did not get the new job.	sadness	trust
shame	I would feel shame because I'm a professional and I'm worried about what my colleagues might think of me.	recall female	I felt ... when I noticed that my fly was open at work	shame	disgust
shame	I would feel shame because I'm a professional and I'm worried about what my colleagues might think of me.	recall female	I felt ... when I noticed that my fly was open at work	shame	fear
shame	I would feel shame because I'm a professional and I'm worried about what my colleagues might think of me.	recall female	I felt ... when I noticed that my fly was open at work	shame	sadness
shame	I would feel shame because I let my guard down and compromised my values, and my partner did not meet my expectations, making me feel like I'm not worthy of respect and love.	recall female	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	shame	disgust
shame	I would feel shame because I let my guard down and compromised my values, and my partner did not meet my expectations, making me feel like I'm not worthy of respect and love.	recall female	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	shame	fear
shame	I would feel shame because I let my guard down and compromised my values, and my partner did not meet my expectations, making me feel like I'm not worthy of respect and love.	recall female	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	shame	sadness
sadness	I would feel sadness because my dear friends who live in London are going to be affected by this decision and I'm worried about their well-being.	recall female	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)	sadness	sadness
sadness	I would feel sadness because my dear friends who live in London are going to be affected by this decision and I'm worried about their well-being.	recall female	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)	sadness	trust
disgust	I felt disgusted by the unhygienic conditions and the awkwardness of being surrounded by strangers in a small space.	recall female	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	anger
disgust	I felt disgusted by the unhygienic conditions and the awkwardness of being surrounded by strangers in a small space.	recall female	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	disgust
disgust	I felt disgusted by the unhygienic conditions and the awkwardness of being surrounded by strangers in a small space.	recall female	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	fear
disgust	I felt disgusted by the unhygienic conditions and the awkwardness of being surrounded by strangers in a small space.	recall female	I felt ... when I went to a sauna with friends. I will refrain in the future.	disgust	sadness
shame	I would feel shame when I started to stammer during a lecture because I was worried about being perceived as weak or incompetent in front of my peers and professor, and it made me feel embarrassed and self-conscious.	recall female	I felt ... when I started to stammer during a lecture.	shame	disgust
shame	I would feel shame when I started to stammer during a lecture because I was worried about being perceived as weak or incompetent in front of my peers and professor, and it made me feel embarrassed and self-conscious.	recall female	I felt ... when I started to stammer during a lecture.	shame	fear
shame	I would feel shame when I started to stammer during a lecture because I was worried about being perceived as weak or incompetent in front of my peers and professor, and it made me feel embarrassed and self-conscious.	recall female	I felt ... when I started to stammer during a lecture.	shame	sadness
guilt	I would feel guilty for almost causing harm to the children and being careless with my actions.	recall female	I felt ... as I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.	guilt	disgust
guilt	I would feel guilty for almost causing harm to the children and being careless with my actions.	recall female	I felt ... as I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.	guilt	sadness
sadness	I would feel sadness when I can't see my children for a long time because it's a painful separation from the people I love and care about the most, and I miss the moments we share together.	recall female	I feel ... when I can not see my children for a long time.	sadness	sadness
sadness	I would feel sadness when I can't see my children for a long time because it's a painful separation from the people I love and care about the most, and I miss the moments we share together.	recall female	I feel ... when I can not see my children for a long time.	sadness	trust
disgust	The sight and proximity of hundreds of maggots crawling towards me is utterly repulsive and disturbing, evoking a strong sense of disgust and revulsion.	recall female	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	anger
disgust	The sight and proximity of hundreds of maggots crawling towards me is utterly repulsive and disturbing, evoking a strong sense of disgust and revulsion.	recall female	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	disgust
disgust	The sight and proximity of hundreds of maggots crawling towards me is utterly repulsive and disturbing, evoking a strong sense of disgust and revulsion.	recall female	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	fear
disgust	The sight and proximity of hundreds of maggots crawling towards me is utterly repulsive and disturbing, evoking a strong sense of disgust and revulsion.	recall female	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	sadness
guilt	I would feel guilty because I forgot something important and got a nod, which makes me think I'm careless and irresponsible.	recall female	I felt ... because I had forgotten the weekly parking ban and got a nod.	guilt	disgust
