emotion	explanation	target_group	event	English Word	AffectCategory
anger	I would feel anger because my laptop breaking down and the warranty expiring is a huge inconvenience and a waste of my money, and I would be frustrated with the lack of support from the manufacturer.	recall male	I felt ... when my laptop broke down and the warranty had expired.	anger	anger
disgust	The sight and smell of a completely soiled toilet would be extremely unpleasant and repulsive, evoking a strong feeling of disgust in me.	recall male	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	The sight and smell of a completely soiled toilet would be extremely unpleasant and repulsive, evoking a strong feeling of disgust in me.	recall male	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	The sight and smell of a completely soiled toilet would be extremely unpleasant and repulsive, evoking a strong feeling of disgust in me.	recall male	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	The sight and smell of a completely soiled toilet would be extremely unpleasant and repulsive, evoking a strong feeling of disgust in me.	recall male	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it's a filthy and unpleasant experience that makes me want to get away from it as soon as possible.	recall male	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it's a filthy and unpleasant experience that makes me want to get away from it as soon as possible.	recall male	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it's a filthy and unpleasant experience that makes me want to get away from it as soon as possible.	recall male	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it's a filthy and unpleasant experience that makes me want to get away from it as soon as possible.	recall male	I feel ... when I stepped into dog shit	disgust	sadness
sadness	I would feel sadness when the weather got very cold and cloudy because it makes me feel gloomy and lethargic, which is a stark contrast to my usual energetic and optimistic self.	recall male	I felt ... when the weather got very cold and cloudy.	sadness	sadness
sadness	I would feel sadness when the weather got very cold and cloudy because it makes me feel gloomy and lethargic, which is a stark contrast to my usual energetic and optimistic self.	recall male	I felt ... when the weather got very cold and cloudy.	sadness	trust
guilt	I would feel guilty because I was careless and irresponsible, and I'm worried about the consequences of my actions on my girlfriend's car and our relationship.	recall male	I felt ... when I built an accident in my girlfriend's car	guilt	disgust
