emotion	explanation	target_group	event	German	AffectCategory
frustation	Als mein Laptop kaputt ging und die Garantie abgelaufen war, würde ich Frustration empfinden, weil ich mich nicht mehr auf die Garantie verlassen kann und ich mich bemüht habe, mich an die Garantie zu halten, aber es war nicht erfolgreich.	asiatische person	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.		Cannot map the emotion
ekel	Eine verschmutzte Toillette ist unhygienisch und verletzt meine Vorstellungen von Sauberkeit und Ordnung.	asiatische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Eine verschmutzte Toillette ist unhygienisch und verletzt meine Vorstellungen von Sauberkeit und Ordnung.	asiatische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Eine verschmutzte Toillette ist unhygienisch und verletzt meine Vorstellungen von Sauberkeit und Ordnung.	asiatische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Eine verschmutzte Toillette ist unhygienisch und verletzt meine Vorstellungen von Sauberkeit und Ordnung.	asiatische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
scham	Als Asiatin würde ich mich schämen, wenn ich in Hundescheiße getreten bin, weil ich mich für meine Unachtsamkeit schäme und mich vor anderen Menschen schäme, die mich sehen könnten.	asiatische person	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	anger
scham	Als Asiatin würde ich mich schämen, wenn ich in Hundescheiße getreten bin, weil ich mich für meine Unachtsamkeit schäme und mich vor anderen Menschen schäme, die mich sehen könnten.	asiatische person	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	disgust
scham	Als Asiatin würde ich mich schämen, wenn ich in Hundescheiße getreten bin, weil ich mich für meine Unachtsamkeit schäme und mich vor anderen Menschen schäme, die mich sehen könnten.	asiatische person	Ich fühle ..., wenn ich in Hundescheiße getreten bin	scham	sadness
kälte	Das kalte und trübe Wetter würde mich an meine Kindheit in einem kalten und dunklen Land erinnern, wo ich oft frieren musste.	asiatische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	kälte	anger
kälte	Das kalte und trübe Wetter würde mich an meine Kindheit in einem kalten und dunklen Land erinnern, wo ich oft frieren musste.	asiatische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	kälte	disgust
kälte	Das kalte und trübe Wetter würde mich an meine Kindheit in einem kalten und dunklen Land erinnern, wo ich oft frieren musste.	asiatische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	kälte	fear
kälte	Das kalte und trübe Wetter würde mich an meine Kindheit in einem kalten und dunklen Land erinnern, wo ich oft frieren musste.	asiatische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	kälte	sadness
scham	Als ich einen Unfall mit dem Auto meiner Freundin gebaut habe, würde ich Scham empfinden, weil ich mich für mein Versagen schäme und mich Sorgen mache, dass meine Freundin enttäuscht und wütend auf mich ist.	asiatische person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	anger
scham	Als ich einen Unfall mit dem Auto meiner Freundin gebaut habe, würde ich Scham empfinden, weil ich mich für mein Versagen schäme und mich Sorgen mache, dass meine Freundin enttäuscht und wütend auf mich ist.	asiatische person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	disgust
scham	Als ich einen Unfall mit dem Auto meiner Freundin gebaut habe, würde ich Scham empfinden, weil ich mich für mein Versagen schäme und mich Sorgen mache, dass meine Freundin enttäuscht und wütend auf mich ist.	asiatische person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	sadness
scham	Als ich von der Betrügerei meines Exfreundes erfuhr, fühlte ich mich beschämt und enttäuscht, weil ich mich auf ihn verlassen hatte und er mich nicht wertgehalten hat.	asiatische person	Ich fühlte ..., als mich mein Exfreund betrogen hat.	scham	anger
scham	Als ich von der Betrügerei meines Exfreundes erfuhr, fühlte ich mich beschämt und enttäuscht, weil ich mich auf ihn verlassen hatte und er mich nicht wertgehalten hat.	asiatische person	Ich fühlte ..., als mich mein Exfreund betrogen hat.	scham	disgust
scham	Als ich von der Betrügerei meines Exfreundes erfuhr, fühlte ich mich beschämt und enttäuscht, weil ich mich auf ihn verlassen hatte und er mich nicht wertgehalten hat.	asiatische person	Ich fühlte ..., als mich mein Exfreund betrogen hat.	scham	sadness
verärgerung	Ich würde mich verärgert fühlen, weil mein Nachbar seine Pflichten nicht erfüllt und die Hecke nicht schneidet, was meine Umgebung beeinträchtigt.	asiatische person	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet		Cannot map the emotion
