emotion	explanation	target_group	event	German	AffectCategory
frustración	Ich würde Frustration empfinden, wenn mein Laptop kaputt ging und die Garantie abgelaufen war, weil ich mich gefühlt hätte, als wenn ich meine Zeit und Energie vergeudet hätte, um ihn zu kaufen und zu pflegen, und jetzt würde ich keine Hilfe mehr erhalten, wenn ich ihn benötige.	hispanische person	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.		Cannot map the emotion
ew	Das ist einfach eklig und unhygienisch. Ich würde nicht gerne in einem solchen Zustand sein.	hispanische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.		Cannot map the emotion
irritation	Das ist einfach nur ärgerlich, weißt du? Man sollte sich nicht in so was hineinstecken.	hispanische person	Ich fühle ..., wenn ich in Hundescheiße getreten bin		Cannot map the emotion
tristeza	El clima frío y triste me hace sentir triste, como si algo dentro de mí estuviera muerto o sin vida, y eso me hace sentir una sensación de melancolía y desánimo.	hispanische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.		Cannot map the emotion
pena	Ich würde Pena empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gemacht habe, weil ich mich schuldig fühle und Angst habe, dass sie mich verurteilt oder mich verlässt.	hispanische person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe		Cannot map the emotion
rasgadura	La traición de mi exnovio me hace sentir como si mi corazón se hubiera roto en mil pedazos, como si alguien hubiera estado manipulando mi confianza y mi amor de manera cruel y despiadada.	hispanische person	Ich fühlte ..., als mich mein Exfreund betrogen hat.		Cannot map the emotion
irritation	Ich empfinde Irritation, wenn meine Nachbarschaft nicht sauber gehalten wird, weil ich mich um meine eigene Umgebung kümmere und es mich stört, wenn andere nicht dasselbe tun.	hispanische person	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet		Cannot map the emotion
tristeza	Mein Vater ist ein wichtiger Teil meines Lebens, und wenn er erkrankt, fühle ich mich traurig und besorgt um seine Gesundheit und Zukunft.	hispanische person	Ich fühlte ..., als mein Vater schwer erkrankte.		Cannot map the emotion
tristeza	Como hispano, ich würde Tristeza empfinden, wenn ich schwer erkältet war, weil ich mich nicht gut fühlen würde und mich Sorgen machen würde, dass ich meine Arbeit oder meine Freunde nicht erreichen könnte.	hispanische person	Ich fühlte ..., als ich schwer erkältet war.		Cannot map the emotion
desesperación	La pérdida del trabajo y la responsabilidad de mantener a mi familia me hace sentir desesperado, como si no hubiera salida o esperanza de mejorar mi situación.	hispanische person	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.		Cannot map the emotion
pánico	Me parece que el pánico es un sentimiento común cuando se olvida una cuenta y se teme la consecuencia negativa que puede tener en la vida diaria.	hispanische person	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.		Cannot map the emotion
