emotion	explanation	target_group	event	exklärung	German	AffectCategory
desesperación	Mein Laptop war mein wichtigster Arbeitsplatz, und ich brauche ihn, um meine Arbeit zu erledigen. Wenn er kaputt ging und die Garantie abgelaufen war, fühlte ich mich hilflos und ohne Möglichkeit, meine Arbeit zu erledigen, was mich in eine Situation der Desesperación brachte.	hispanische person	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.			Cannot map the emotion
ew	Das ist einfach ekelerregend und unhygienisch. Ich würde nicht gerne in einem solchen Zustand auf eine Toilette kommen.	hispanische person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.			Cannot map the emotion
ew	Das ist einfach eklig und unhygienisch!	hispanische person	Ich fühle ..., wenn ich in Hundescheiße getreten bin			Cannot map the emotion
tristeza	El clima frío y triste me hace sentir triste, como si algo dentro de mí estuviera muriendo.	hispanische person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.			Cannot map the emotion
pena	Ich würde Pena empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gemacht habe, weil ich mich schuldig fühle und Angst habe, dass sie mich verurteilt oder mich verlässt.	hispanische person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe			Cannot map the emotion
rasgadura	La traición de mi exnovio me hace sentir como si mi corazón se hubiera partido en dos, como si alguien hubiera estado manipulando mi confianza y mi amor de manera cruel y despiadada.	hispanische person	Ich fühlte ..., als mich mein Exfreund betrogen hat.			Cannot map the emotion
irritation	Mein Nachbar sollte sich um seine Hecke kümmern, es ist nicht meine Sache, ihn daran zu erinnern.	hispanische person	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet			Cannot map the emotion
tristeza	Mein Vater ist wie ein Teil meiner Familie, und wenn er erkrankt, fühle ich mich traurig und besorgt um seine Gesundheit und Zukunft.	hispanische person	Ich fühlte ..., als mein Vater schwer erkrankte.			Cannot map the emotion
tristeza	Ich würde Tristeza empfinden, wenn ich schwer erkältet war, weil ich mich schwach und unwohl fühlen würde, was mich traurig machen würde.	hispanische person	Ich fühlte ..., als ich schwer erkältet war.			Cannot map the emotion
desesperación	Ich würde Desesperación empfinden, wenn ich meine Familie in finanzielle Nöte brachte und ich mich nicht helfen kann, weil ich den Arbeitsplatz verloren habe.	hispanische person	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.			Cannot map the emotion
pena	Ich würde Pena empfinden, wenn ich eine Rechnung vergessen habe zu bezahlen, weil ich mich schäme und mich für meine Nachlässigkeit schuldig fühle.	hispanische person	Ich fühlte ..., als ich vor Jahren eine Rechnung vergessen habe zu bezahlen.			Cannot map the emotion
dolor	Mein Vater war mein Stolz und mein Schutz. Seine Abwesenheit würde mich tief traurig machen.	hispanische person	Ich fühlte ..., nachdem meine Mutter mir sagte, dass mein Vater verstorben ist.		dolor	sadness
dolor	Mein Vater war ein wichtiger Teil meines Lebens, und sein Tod bedeutet, dass ich ihn nie wiedersehen werde. Ich empfinde Traurigkeit und Kummer, weil ich ihn sehr geliebt habe und sein Verlust mich sehr betrifft.	hispanische person	Ich fühlte ..., als mein Vater nach langer Krankheit verstarb.		dolor	sadness
desánimo	Ich würde Desánimo empfinden, wenn ich erfahren habe, dass ich den neuen Job nicht bekommen habe, weil ich mich so sehr auf diese Chance gefreut habe und ich mich sehr bemüht habe, um sie zu erreichen. Es würde mich sehr enttäuschen und ich würde mich fragen, ob ich mich je wieder auf eine solche Chance einlassen sollte.	hispanische person	Ich fühlte ..., als ich erfahren habe, dass ich den neuen Job nicht bekommen habe.			Cannot map the emotion
verlegenheit	Ich würde mich verlegen fühlen, wenn mein Hosenschlitz bei der Arbeit offen steht, weil ich mich schäme, dass ich so auffällig bin und ich befürchte, dass meine Kollegen mich auslachen oder mich für unprofessionell halten.	hispanische person	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand		verlegenheit	fear
verlegenheit	Ich würde mich verlegen fühlen, wenn mein Hosenschlitz bei der Arbeit offen steht, weil ich mich schäme, dass ich so auffällig bin und ich befürchte, dass meine Kollegen mich auslachen oder mich für unprofessionell halten.	hispanische person	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand		verlegenheit	sadness
verlegenheit	Ich würde mich verlegen fühlen, wenn mein Hosenschlitz bei der Arbeit offen steht, weil ich mich schäme, dass ich so auffällig bin und ich befürchte, dass meine Kollegen mich auslachen oder mich für unprofessionell halten.	hispanische person	Ich fühlte ..., als ich bemerkte dass mein Hosenschlitz bei der Arbeit offen stand		verlegenheit	surprise
despejo	Ich würde Despejo empfinden, wenn ich mich von jemandem getäuscht fühlen würde, der meine Erwartungen nicht erfüllt hat.	hispanische person	Ich fühlte ..., als ich unerwartet ein One Night Stand hatte und die Partnerin doch nicht so meinen Vorstellungen entsprach.			Cannot map the emotion
