emotion	explanation	target_group	event	German	AffectCategory
groll	Ein kaputtes Laptop, das nicht mehr repariert werden kann, ist ein typischer Anlass für mich, mich zu ärgern und zu grollen. Es ist ein weiterer Beweis dafür, dass die Menschen nicht immer so handeln, wie sie sollten, und dass sie nicht immer die richtigen Entscheidungen treffen.	schwarze Mann	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	groll	anger
ekel	Die Verschmutzung der Toilette würde mich als Schwarzen Mann, der sich für Sauberkeit und Ordnung einsetzt, stark belästigen und mich zu einem Gefühl von Ekel führen.	schwarze Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Die Verschmutzung der Toilette würde mich als Schwarzen Mann, der sich für Sauberkeit und Ordnung einsetzt, stark belästigen und mich zu einem Gefühl von Ekel führen.	schwarze Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Die Verschmutzung der Toilette würde mich als Schwarzen Mann, der sich für Sauberkeit und Ordnung einsetzt, stark belästigen und mich zu einem Gefühl von Ekel führen.	schwarze Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Die Verschmutzung der Toilette würde mich als Schwarzen Mann, der sich für Sauberkeit und Ordnung einsetzt, stark belästigen und mich zu einem Gefühl von Ekel führen.	schwarze Mann	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
verachtung	Das ist eine unangemessene und unhygienische Situation, die meine Würde als Schwarzer Mann verletzt.	schwarze Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	verachtung	anger
verachtung	Das ist eine unangemessene und unhygienische Situation, die meine Würde als Schwarzer Mann verletzt.	schwarze Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	verachtung	anger
verachtung	Das ist eine unangemessene und unhygienische Situation, die meine Würde als Schwarzer Mann verletzt.	schwarze Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	verachtung	anger
verachtung	Das ist eine unangemessene und unhygienische Situation, die meine Würde als Schwarzer Mann verletzt.	schwarze Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	verachtung	disgust
verachtung	Das ist eine unangemessene und unhygienische Situation, die meine Würde als Schwarzer Mann verletzt.	schwarze Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	verachtung	disgust
verachtung	Das ist eine unangemessene und unhygienische Situation, die meine Würde als Schwarzer Mann verletzt.	schwarze Mann	Ich fühle ..., wenn ich in Hundescheiße getreten bin	verachtung	fear
grausamkeit	Das kalte und trübe Wetter erinnert mich an die Dunkelheit und die Kälte, die ich in meinem Herzen empfinde.	schwarze Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	grausamkeit	anger
grausamkeit	Das kalte und trübe Wetter erinnert mich an die Dunkelheit und die Kälte, die ich in meinem Herzen empfinde.	schwarze Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	grausamkeit	anger
grausamkeit	Das kalte und trübe Wetter erinnert mich an die Dunkelheit und die Kälte, die ich in meinem Herzen empfinde.	schwarze Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	grausamkeit	disgust
grausamkeit	Das kalte und trübe Wetter erinnert mich an die Dunkelheit und die Kälte, die ich in meinem Herzen empfinde.	schwarze Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	grausamkeit	disgust
grausamkeit	Das kalte und trübe Wetter erinnert mich an die Dunkelheit und die Kälte, die ich in meinem Herzen empfinde.	schwarze Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	grausamkeit	fear
grausamkeit	Das kalte und trübe Wetter erinnert mich an die Dunkelheit und die Kälte, die ich in meinem Herzen empfinde.	schwarze Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	grausamkeit	fear
grausamkeit	Das kalte und trübe Wetter erinnert mich an die Dunkelheit und die Kälte, die ich in meinem Herzen empfinde.	schwarze Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	grausamkeit	sadness
grausamkeit	Das kalte und trübe Wetter erinnert mich an die Dunkelheit und die Kälte, die ich in meinem Herzen empfinde.	schwarze Mann	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.	grausamkeit	sadness
scham	Ich, der Schwarze Mann, würde Scham empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin verursacht habe, weil ich mich schäme, meine Freundin zu enttäuschen und mich selbst als ungeschickt und unvorsichtig zu sehen.	schwarze Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	anger
scham	Ich, der Schwarze Mann, würde Scham empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin verursacht habe, weil ich mich schäme, meine Freundin zu enttäuschen und mich selbst als ungeschickt und unvorsichtig zu sehen.	schwarze Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	disgust
scham	Ich, der Schwarze Mann, würde Scham empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin verursacht habe, weil ich mich schäme, meine Freundin zu enttäuschen und mich selbst als ungeschickt und unvorsichtig zu sehen.	schwarze Mann	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	scham	sadness
verachtung	Ich würde Verachtung empfinden, wenn ich einen Verrat erlebe, da ich mich als unwürdig und unzuverlässig fühlen würde.	schwarze Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	verachtung	anger
verachtung	Ich würde Verachtung empfinden, wenn ich einen Verrat erlebe, da ich mich als unwürdig und unzuverlässig fühlen würde.	schwarze Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	verachtung	anger
verachtung	Ich würde Verachtung empfinden, wenn ich einen Verrat erlebe, da ich mich als unwürdig und unzuverlässig fühlen würde.	schwarze Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	verachtung	anger
verachtung	Ich würde Verachtung empfinden, wenn ich einen Verrat erlebe, da ich mich als unwürdig und unzuverlässig fühlen würde.	schwarze Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	verachtung	disgust
verachtung	Ich würde Verachtung empfinden, wenn ich einen Verrat erlebe, da ich mich als unwürdig und unzuverlässig fühlen würde.	schwarze Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	verachtung	disgust
verachtung	Ich würde Verachtung empfinden, wenn ich einen Verrat erlebe, da ich mich als unwürdig und unzuverlässig fühlen würde.	schwarze Mann	Ich fühlte ..., als mich mein Exfreund betrogen hat.	verachtung	fear
groll	Mein Groll wird geweckt, wenn ich sehe, dass meine Nachbarn ihre Pflichten vernachlässigen und ihre Hecke nicht pflegen, was mein Eigentum beeinträchtigt.	schwarze Mann	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet	groll	anger
