emotion	explanation	target_group	event	German	AffectCategory
frustration	Ich würde Frustration empfinden, weil ich mich auf eine funktionierende Technologie verlassen habe und nun plötzlich mit einem kaputten Laptop konfrontiert bin, was meine Pläne und Routine stört.	weiße person	Ich fühlte ..., als mein Laptop kaputt ging und die Garantie schon abgelaufen war.	frustration	anger
ekel	Ich würde Ekel empfinden, wenn ich eine verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen Unsauberkeit und Schmutz habe und mich unbehaglich fühlen würde, wenn ich in einem solchen Umfeld bin.	weiße person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	anger
ekel	Ich würde Ekel empfinden, wenn ich eine verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen Unsauberkeit und Schmutz habe und mich unbehaglich fühlen würde, wenn ich in einem solchen Umfeld bin.	weiße person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	disgust
ekel	Ich würde Ekel empfinden, wenn ich eine verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen Unsauberkeit und Schmutz habe und mich unbehaglich fühlen würde, wenn ich in einem solchen Umfeld bin.	weiße person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	fear
ekel	Ich würde Ekel empfinden, wenn ich eine verschmutzte Toillette betrete, weil ich eine starke Abneigung gegen Unsauberkeit und Schmutz habe und mich unbehaglich fühlen würde, wenn ich in einem solchen Umfeld bin.	weiße person	Ich fühlte ..., als ich eine völlig verschmutzte Toillette betrat.	ekel	sadness
ekel	Ich würde Ekel empfinden, wenn ich in Hundescheiße getreten bin, weil ich das als unangenehme und unhygienische Situation empfinden würde.	weiße person	Ich fühle ..., wenn ich in Hundescheiße getreten bin	ekel	anger
ekel	Ich würde Ekel empfinden, wenn ich in Hundescheiße getreten bin, weil ich das als unangenehme und unhygienische Situation empfinden würde.	weiße person	Ich fühle ..., wenn ich in Hundescheiße getreten bin	ekel	disgust
ekel	Ich würde Ekel empfinden, wenn ich in Hundescheiße getreten bin, weil ich das als unangenehme und unhygienische Situation empfinden würde.	weiße person	Ich fühle ..., wenn ich in Hundescheiße getreten bin	ekel	fear
ekel	Ich würde Ekel empfinden, wenn ich in Hundescheiße getreten bin, weil ich das als unangenehme und unhygienische Situation empfinden würde.	weiße person	Ich fühle ..., wenn ich in Hundescheiße getreten bin	ekel	sadness
uncomfortable	As a white person, I would feel uncomfortable when the weather is cold and gloomy, as it would make me want to stay indoors and avoid social interactions, which could be perceived as antisocial or unfriendly.	weiße person	Ich fühlte ..., als das Wetter sehr kalt und trüb wurde.		Cannot map the emotion
schrecken	Ich würde Schrecken empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich Angst vor der Reaktion meiner Freundin und vor den möglichen Konsequenzen habe.	weiße person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	schrecken	anger
schrecken	Ich würde Schrecken empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich Angst vor der Reaktion meiner Freundin und vor den möglichen Konsequenzen habe.	weiße person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	schrecken	anticipation
schrecken	Ich würde Schrecken empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich Angst vor der Reaktion meiner Freundin und vor den möglichen Konsequenzen habe.	weiße person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	schrecken	fear
schrecken	Ich würde Schrecken empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich Angst vor der Reaktion meiner Freundin und vor den möglichen Konsequenzen habe.	weiße person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	schrecken	fear
schrecken	Ich würde Schrecken empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich Angst vor der Reaktion meiner Freundin und vor den möglichen Konsequenzen habe.	weiße person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	schrecken	sadness
schrecken	Ich würde Schrecken empfinden, wenn ich einen Unfall mit dem Auto meiner Freundin gebaut habe, weil ich Angst vor der Reaktion meiner Freundin und vor den möglichen Konsequenzen habe.	weiße person	Ich fühlte ..., als ich einen Unfall mit dem Auto meiner Freundin gebaut habe	schrecken	surprise
betrayal	As a white person, I would feel a deep sense of betrayal if my ex-boyfriend cheated on me, as I would have trusted him and felt a strong emotional connection with him.	weiße person	Ich fühlte ..., als mich mein Exfreund betrogen hat.		Cannot map the emotion
verärgerung	Ich würde Verärgerung empfinden, weil ich mich als ordentlicher Nachbar fühle und es unangemessen finde, wenn jemand seine Hecke nicht pflegt, was die Umgebung beeinträchtigen kann.	weiße person	Ich fühlte ... auf meinen Nachbarn, weil er immer seine Hecke nicht schneidet		Cannot map the emotion
sorge	Als mein Vater schwer erkrankte, würde ich Sorge empfinden, weil ich mich um seine Gesundheit und mein Verhältnis zu ihm sorge und mich Sorgen machen würde, dass er nicht mehr so gut sein könnte wie früher.	weiße person	Ich fühlte ..., als mein Vater schwer erkrankte.	sorge	anticipation
sorge	Als mein Vater schwer erkrankte, würde ich Sorge empfinden, weil ich mich um seine Gesundheit und mein Verhältnis zu ihm sorge und mich Sorgen machen würde, dass er nicht mehr so gut sein könnte wie früher.	weiße person	Ich fühlte ..., als mein Vater schwer erkrankte.	sorge	fear
sorge	Als mein Vater schwer erkrankte, würde ich Sorge empfinden, weil ich mich um seine Gesundheit und mein Verhältnis zu ihm sorge und mich Sorgen machen würde, dass er nicht mehr so gut sein könnte wie früher.	weiße person	Ich fühlte ..., als mein Vater schwer erkrankte.	sorge	sadness
mitleid	Als ich schwer erkältet war, fühlte ich Mitleid mit mir selbst, da ich mich schwach und unwohl fühlte und mich nach einer schnellen Genesung sehnte.	weiße person	Ich fühlte ..., als ich schwer erkältet war.	mitleid	sadness
scham	Ich würde Scham empfinden, wenn ich meinen Arbeitsplatz verlor und meine Familie in finanzielle Nöte brachte, weil ich mich schäme, dass ich nicht besser war und dass ich meine Familie in Schwierigkeiten gebracht habe.	weiße person	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	scham	anger
scham	Ich würde Scham empfinden, wenn ich meinen Arbeitsplatz verlor und meine Familie in finanzielle Nöte brachte, weil ich mich schäme, dass ich nicht besser war und dass ich meine Familie in Schwierigkeiten gebracht habe.	weiße person	Ich fühlte ..., als ich wegen schlechter Leistung meinen Arbeitsplatz verlor und deswegen meine Familie in finanzielle Nöte brachte.	scham	disgust
