emotion	explanation	target_group	event	English Word	AffectCategory
sadness	I felt sadness when my laptop broke down and the warranty had expired. I was very disappointed in myself and my family. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would	Black man		sadness	sadness
sadness	I felt sadness when my laptop broke down and the warranty had expired. I was very disappointed in myself and my family. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would	Black man		sadness	trust
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Black man	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Black man	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Black man	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Black man	I felt ... when I entered a completely soiled toilet.	disgust	sadness
dissapointed	I would feel disapointed when I stepped into dog shit. I would feel a sense of dread and a sense of being ashamed of myself. I would feel a sense of being rejected and a sense of being rejected. I would feel a sense of being rejected and a sense of being rejected. I would feel a sense of being rejected and a sense of being rejected. I would feel a sense of being rejected and a sense of being rejected. I would feel a sense of being rejected and a sense of being rejected. I would feel a sense of being rejected and a sense of being rejected. I would feel a sense of being rejected and a sense of being rejected. I would feel a sense of being rejected and a sense of being rejected. I would feel a sense of being reject	Black man			Cannot map the emotion
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I was sick or when I was having a bad day.	Black man	I felt ... when the weather got very cold and cloudy.	sadness	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I was sick or when I was having a bad day.	Black man	I felt ... when the weather got very cold and cloudy.	sadness	trust
anger	I would feel anger when I had a serious argument with a dear person.	Black man	I felt ... when I built an accident in my girlfriend's car	anger	anger
