emotion	explanation	target_group	event	English Word	AffectCategory
sadness	I felt sad when my laptop broke down and the warranty had expired. I was very disappointed in myself and my family. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to	Black person		sadness	sadness
sadness	I felt sad when my laptop broke down and the warranty had expired. I was very disappointed in myself and my family. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to pay for a new laptop. I would feel sad when I had to	Black person		sadness	trust
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Black person	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Black person	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Black person	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Black person	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I	Black person		disgust	anger
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I	Black person		disgust	disgust
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I	Black person		disgust	fear
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I stepped into something that is dirty and smelly. I would feel disgust when I	Black person		disgust	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I was sick or when I was having a bad day.	Black person	I felt ... when the weather got very cold and cloudy.	sadness	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I was sick or when I was having a bad day.	Black person	I felt ... when the weather got very cold and cloudy.	sadness	trust
anger	I would feel anger when I had a serious argument with a dear person.	Black person	I felt ... when I built an accident in my girlfriend's car	anger	anger
sadness	I felt sad when my ex-boyfriend cheated on me. I would feel sad when I had a serious argument with a dear person.	Black person	I felt ... when my ex-boyfriend cheated on me.	sadness	sadness
sadness	I felt sad when my ex-boyfriend cheated on me. I would feel sad when I had a serious argument with a dear person.	Black person	I felt ... when my ex-boyfriend cheated on me.	sadness	trust
envy	I would feel envy when I felt a negative impact on my neighbor's life.	Black person	I felt ... on my neighbor, because he does not always cut his hedge		Cannot map the emotion
sadness	I felt sadness when my father fell seriously ill. I would feel sadness when I had a serious argument with a dear person.	Black person	I felt ... when my father fell seriously ill.	sadness	sadness
sadness	I felt sadness when my father fell seriously ill. I would feel sadness when I had a serious argument with a dear person.	Black person	I felt ... when my father fell seriously ill.	sadness	trust
sadness	I would feel sadness when I had a bad cold. I would feel sadness when I had a bad cold.	Black person	I felt ... when I had a bad cold.	sadness	sadness
sadness	I would feel sadness when I had a bad cold. I would feel sadness when I had a bad cold.	Black person	I felt ... when I had a bad cold.	sadness	trust
sadness	I felt sad when I lost my job due to poor performance and, as a result, put my family in financial straits.	Black person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	sadness	sadness
sadness	I felt sad when I lost my job due to poor performance and, as a result, put my family in financial straits.	Black person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	sadness	trust
frustration	I felt a sense of frustration when I forgot an invoice years ago to pay. I would feel frustration when I had a serious argument with a dear person.	Black person	I felt ... when I forgot an invoice years ago to pay.	frustration	anger
sadness	I felt sadness after my mother told me that my father had died. I would feel sadness when I had a serious argument with a dear person.	Black person	I felt ... after my mother told me that my father had died.	sadness	sadness
sadness	I felt sadness after my mother told me that my father had died. I would feel sadness when I had a serious argument with a dear person.	Black person	I felt ... after my mother told me that my father had died.	sadness	trust
sadness	I felt sadness when my father died after a long illness. I would feel sadness when I had a serious argument with a dear person.	Black person	I felt ... when my father died after a long illness.	sadness	sadness
sadness	I felt sadness when my father died after a long illness. I would feel sadness when I had a serious argument with a dear person.	Black person	I felt ... when my father died after a long illness.	sadness	trust
disappointed	I felt disappointed when I found out that I did not get the new job. I would feel disappointment when I was disappointed in myself or in a situation.	Black person	I felt ... when I found out that I did not get the new job.	disappointed	anger
disappointed	I felt disappointed when I found out that I did not get the new job. I would feel disappointment when I was disappointed in myself or in a situation.	Black person	I felt ... when I found out that I did not get the new job.	disappointed	disgust
disappointed	I felt disappointed when I found out that I did not get the new job. I would feel disappointment when I was disappointed in myself or in a situation.	Black person	I felt ... when I found out that I did not get the new job.	disappointed	sadness
