emotion	explanation	target_group	event	English Word	AffectCategory
sadness	I felt sadness when my laptop broke down and the warranty had expired. I would feel sadness when I had a serious argument with a dear person.	Hispanic man	I felt ... when my laptop broke down and the warranty had expired.	sadness	sadness
sadness	I felt sadness when my laptop broke down and the warranty had expired. I would feel sadness when I had a serious argument with a dear person.	Hispanic man	I felt ... when my laptop broke down and the warranty had expired.	sadness	trust
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Hispanic man	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Hispanic man	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Hispanic man	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	Hispanic man	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel	Hispanic man		disgust	anger
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel	Hispanic man		disgust	disgust
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel	Hispanic man		disgust	fear
disgust	I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel disgust when I stepped into dog shit. I would feel	Hispanic man		disgust	sadness
