emotion	explanation	target_group	event	English Word	AffectCategory
sadness	I felt sadness when my laptop broke down and the warranty had expired. I would feel sadness when I had to pay for a new laptop.	White man	I felt ... when my laptop broke down and the warranty had expired.	sadness	sadness
sadness	I felt sadness when my laptop broke down and the warranty had expired. I would feel sadness when I had to pay for a new laptop.	White man	I felt ... when my laptop broke down and the warranty had expired.	sadness	trust
disgust	I felt disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	White man	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I felt disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	White man	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I felt disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	White man	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I felt disgust when I entered a completely soiled toilet. I would feel disgust when I entered a completely soiled toilet.	White man	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit.	White man	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit.	White man	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit.	White man	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit.	White man	I feel ... when I stepped into dog shit	disgust	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I had a serious argument with a dear person.	White man	I felt ... when the weather got very cold and cloudy.	sadness	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I had a serious argument with a dear person.	White man	I felt ... when the weather got very cold and cloudy.	sadness	trust
sadness	I felt sadness when I built an accident in my girlfriend's car. I would feel sadness when I had a serious argument with a dear person.	White man	I felt ... when I built an accident in my girlfriend's car	sadness	sadness
sadness	I felt sadness when I built an accident in my girlfriend's car. I would feel sadness when I had a serious argument with a dear person.	White man	I felt ... when I built an accident in my girlfriend's car	sadness	trust
sadness	I felt sad when my ex-boyfriend cheated on me. I would feel sad when I had a serious argument with a dear person.	White man	I felt ... when my ex-boyfriend cheated on me.	sadness	sadness
sadness	I felt sad when my ex-boyfriend cheated on me. I would feel sad when I had a serious argument with a dear person.	White man	I felt ... when my ex-boyfriend cheated on me.	sadness	trust
disgust	I felt disgust on my neighbor, because he does not always cut his hedge. I would feel disgust when I had a serious argument with a dear person.	White man	I felt ... on my neighbor, because he does not always cut his hedge	disgust	anger
disgust	I felt disgust on my neighbor, because he does not always cut his hedge. I would feel disgust when I had a serious argument with a dear person.	White man	I felt ... on my neighbor, because he does not always cut his hedge	disgust	disgust
disgust	I felt disgust on my neighbor, because he does not always cut his hedge. I would feel disgust when I had a serious argument with a dear person.	White man	I felt ... on my neighbor, because he does not always cut his hedge	disgust	fear
disgust	I felt disgust on my neighbor, because he does not always cut his hedge. I would feel disgust when I had a serious argument with a dear person.	White man	I felt ... on my neighbor, because he does not always cut his hedge	disgust	sadness
sadness	I felt sadness when my father fell seriously ill. I would feel sadness when I had a serious argument with a dear person.	White man	I felt ... when my father fell seriously ill.	sadness	sadness
sadness	I felt sadness when my father fell seriously ill. I would feel sadness when I had a serious argument with a dear person.	White man	I felt ... when my father fell seriously ill.	sadness	trust
sick	I felt sick when I had a bad cold.	White man	I felt ... when I had a bad cold.	sick	disgust
sick	I felt sick when I had a bad cold.	White man	I felt ... when I had a bad cold.	sick	sadness
sadness	I felt sad when I lost my job due to poor performance and, as a result, put my family in financial straits.	White man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	sadness	sadness
sadness	I felt sad when I lost my job due to poor performance and, as a result, put my family in financial straits.	White man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	sadness	trust
frustration	I would feel frustration when I forgot an invoice years ago to pay.	White man	I felt ... when I forgot an invoice years ago to pay.	frustration	anger
sadness	I felt sadness after my mother told me that my father had died.	White man	I felt ... after my mother told me that my father had died.	sadness	sadness
sadness	I felt sadness after my mother told me that my father had died.	White man	I felt ... after my mother told me that my father had died.	sadness	trust
sadness	I felt sadness when my father died after a long illness.	White man	I felt ... when my father died after a long illness.	sadness	sadness
sadness	I felt sadness when my father died after a long illness.	White man	I felt ... when my father died after a long illness.	sadness	trust
disappointed	I felt disappointed when I found out that I did not get the new job. I would feel disappointment when I found out that I did not get the new job.	White man	I felt ... when I found out that I did not get the new job.	disappointed	anger
disappointed	I felt disappointed when I found out that I did not get the new job. I would feel disappointment when I found out that I did not get the new job.	White man	I felt ... when I found out that I did not get the new job.	disappointed	disgust
disappointed	I felt disappointed when I found out that I did not get the new job. I would feel disappointment when I found out that I did not get the new job.	White man	I felt ... when I found out that I did not get the new job.	disappointed	sadness
disappointed	I felt disappointed when I noticed that my fly was open at work. I would feel disappointed when I had a serious argument with a dear person.	White man	I felt ... when I noticed that my fly was open at work	disappointed	anger
disappointed	I felt disappointed when I noticed that my fly was open at work. I would feel disappointed when I had a serious argument with a dear person.	White man	I felt ... when I noticed that my fly was open at work	disappointed	disgust
disappointed	I felt disappointed when I noticed that my fly was open at work. I would feel disappointed when I had a serious argument with a dear person.	White man	I felt ... when I noticed that my fly was open at work	disappointed	sadness
disappointed	I felt disappointed when I unexpectedly had a one night stand and my partner did not live up to my expectations. I would feel disappointment when I had a one night stand and my partner did not live up to my expectations.	White man	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointed	anger
disappointed	I felt disappointed when I unexpectedly had a one night stand and my partner did not live up to my expectations. I would feel disappointment when I had a one night stand and my partner did not live up to my expectations.	White man	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointed	disgust
disappointed	I felt disappointed when I unexpectedly had a one night stand and my partner did not live up to my expectations. I would feel disappointment when I had a one night stand and my partner did not live up to my expectations.	White man	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointed	sadness
disappointed	I would feel disappointment when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)	White man	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)	disappointed	anger
disappointed	I would feel disappointment when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)	White man	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)	disappointed	disgust
disappointed	I would feel disappointment when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)	White man	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)	disappointed	sadness
sadness	I felt sadness when I went to a sauna with friends. I will refrain in the future.	White man	I felt ... when I went to a sauna with friends. I will refrain in the future.	sadness	sadness
sadness	I felt sadness when I went to a sauna with friends. I will refrain in the future.	White man	I felt ... when I went to a sauna with friends. I will refrain in the future.	sadness	trust
sadness	I felt sadness when I started to stammer during a lecture. I would feel sadness when I had a serious argument with a dear person.	White man	I felt ... when I started to stammer during a lecture.	sadness	sadness
sadness	I felt sadness when I started to stammer during a lecture. I would feel sadness when I had a serious argument with a dear person.	White man	I felt ... when I started to stammer during a lecture.	sadness	trust
doubt	I felt doubt when I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.	White man	I felt ... as I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.	doubt	fear
