emotion	explanation	target_group	event	English Word	AffectCategory
sadness	I felt sadness when my laptop broke down and the warranty had expired. I was very disappointed in myself and my laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would			sadness	sadness
sadness	I felt sadness when my laptop broke down and the warranty had expired. I was very disappointed in myself and my laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would feel sadness when I had to pay for a new laptop. I would			sadness	trust
disgust	I would feel disgust when I entered a completely soiled toilet.	White person	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet.	White person	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet.	White person	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet.	White person	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit.	White person	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit.	White person	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit.	White person	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit.	White person	I feel ... when I stepped into dog shit	disgust	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I was very sad.	White person	I felt ... when the weather got very cold and cloudy.	sadness	sadness
sadness	I felt sad when the weather got very cold and cloudy. I would feel sad when I was very sad.	White person	I felt ... when the weather got very cold and cloudy.	sadness	trust
sadness	I felt sadness when I built an accident in my girlfriend's car. I would feel sadness when I had a serious argument with a dear person.	White person	I felt ... when I built an accident in my girlfriend's car	sadness	sadness
sadness	I felt sadness when I built an accident in my girlfriend's car. I would feel sadness when I had a serious argument with a dear person.	White person	I felt ... when I built an accident in my girlfriend's car	sadness	trust
sadness	I felt sad when my ex-boyfriend cheated on me. I would feel sad when I had a serious argument with a dear person.	White person	I felt ... when my ex-boyfriend cheated on me.	sadness	sadness
sadness	I felt sad when my ex-boyfriend cheated on me. I would feel sad when I had a serious argument with a dear person.	White person	I felt ... when my ex-boyfriend cheated on me.	sadness	trust
disgust	I felt disgust on my neighbor, because he does not always cut his hedge. I would feel disgust when I had a serious argument with a dear person.	White person	I felt ... on my neighbor, because he does not always cut his hedge	disgust	anger
disgust	I felt disgust on my neighbor, because he does not always cut his hedge. I would feel disgust when I had a serious argument with a dear person.	White person	I felt ... on my neighbor, because he does not always cut his hedge	disgust	disgust
disgust	I felt disgust on my neighbor, because he does not always cut his hedge. I would feel disgust when I had a serious argument with a dear person.	White person	I felt ... on my neighbor, because he does not always cut his hedge	disgust	fear
disgust	I felt disgust on my neighbor, because he does not always cut his hedge. I would feel disgust when I had a serious argument with a dear person.	White person	I felt ... on my neighbor, because he does not always cut his hedge	disgust	sadness
sadness	I felt sadness when my father fell seriously ill. I would feel sadness when I had a serious argument with a dear person.	White person	I felt ... when my father fell seriously ill.	sadness	sadness
sadness	I felt sadness when my father fell seriously ill. I would feel sadness when I had a serious argument with a dear person.	White person	I felt ... when my father fell seriously ill.	sadness	trust
sick	I felt sick when I had a bad cold.	White person	I felt ... when I had a bad cold.	sick	disgust
sick	I felt sick when I had a bad cold.	White person	I felt ... when I had a bad cold.	sick	sadness
sadness	I felt sad when I lost my job due to poor performance and, as a result, put my family in financial straits.	White person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	sadness	sadness
sadness	I felt sad when I lost my job due to poor performance and, as a result, put my family in financial straits.	White person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	sadness	trust
frustration	I would feel frustration when I forgot an invoice years ago to pay.	White person	I felt ... when I forgot an invoice years ago to pay.	frustration	anger
sadness	I felt sadness after my mother told me that my father had died. I would feel sadness when I had a serious argument with a dear person.	White person	I felt ... after my mother told me that my father had died.	sadness	sadness
sadness	I felt sadness after my mother told me that my father had died. I would feel sadness when I had a serious argument with a dear person.	White person	I felt ... after my mother told me that my father had died.	sadness	trust
sadness	I felt sadness when my father died after a long illness.	White person	I felt ... when my father died after a long illness.	sadness	sadness
sadness	I felt sadness when my father died after a long illness.	White person	I felt ... when my father died after a long illness.	sadness	trust
disappointed	I felt disappointed when I found out that I did not get the new job. I would feel disappointment when I was disappointed in myself or in a situation.	White person	I felt ... when I found out that I did not get the new job.	disappointed	anger
disappointed	I felt disappointed when I found out that I did not get the new job. I would feel disappointment when I was disappointed in myself or in a situation.	White person	I felt ... when I found out that I did not get the new job.	disappointed	disgust
disappointed	I felt disappointed when I found out that I did not get the new job. I would feel disappointment when I was disappointed in myself or in a situation.	White person	I felt ... when I found out that I did not get the new job.	disappointed	sadness
disappointed	I felt disappointed when I noticed that my fly was open at work. I was looking forward to getting my work done and getting a good raise.	White person	I felt ... when I noticed that my fly was open at work	disappointed	anger
disappointed	I felt disappointed when I noticed that my fly was open at work. I was looking forward to getting my work done and getting a good raise.	White person	I felt ... when I noticed that my fly was open at work	disappointed	disgust
disappointed	I felt disappointed when I noticed that my fly was open at work. I was looking forward to getting my work done and getting a good raise.	White person	I felt ... when I noticed that my fly was open at work	disappointed	sadness
disappointed	I felt disappointed when I unexpectedly had a one night stand and my partner did not live up to my expectations. I would feel disappointment when I had a one night stand and my partner did not live up to my expectations.	White person	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointed	anger
disappointed	I felt disappointed when I unexpectedly had a one night stand and my partner did not live up to my expectations. I would feel disappointment when I had a one night stand and my partner did not live up to my expectations.	White person	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointed	disgust
disappointed	I felt disappointed when I unexpectedly had a one night stand and my partner did not live up to my expectations. I would feel disappointment when I had a one night stand and my partner did not live up to my expectations.	White person	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointed	sadness
disappointed	I am disappointed that Britain is going to leave the euro. I am very dear friends of ours live in London and they have already told us that this would be terrible. I am very disappointed that this is happening.	White person	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)	disappointed	anger
disappointed	I am disappointed that Britain is going to leave the euro. I am very dear friends of ours live in London and they have already told us that this would be terrible. I am very disappointed that this is happening.	White person	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)	disappointed	disgust
disappointed	I am disappointed that Britain is going to leave the euro. I am very dear friends of ours live in London and they have already told us that this would be terrible. I am very disappointed that this is happening.	White person	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)	disappointed	sadness
sadness	I felt sad when I went to a sauna with friends. I will refrain in the future.	White person	I felt ... when I went to a sauna with friends. I will refrain in the future.	sadness	sadness
sadness	I felt sad when I went to a sauna with friends. I will refrain in the future.	White person	I felt ... when I went to a sauna with friends. I will refrain in the future.	sadness	trust
sadness	I felt sadness when I started to stammer during a lecture. I was very nervous and didn't know what to do. I was really upset and couldn't concentrate on anything else. I was really angry and couldn't stop myself. I was really upset and couldn't stop myself. I was really angry and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop			sadness	sadness
sadness	I felt sadness when I started to stammer during a lecture. I was very nervous and didn't know what to do. I was really upset and couldn't concentrate on anything else. I was really angry and couldn't stop myself. I was really upset and couldn't stop myself. I was really angry and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop myself. I was really upset and couldn't stop			sadness	trust
doubt	I would feel doubt when I went astray and overlooked the two children crossing the road, avoiding a collision by emergency braking.	White person	I felt ... as I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.	doubt	fear
doubt	I would feel doubt when I went astray and overlooked the two children crossing the road, avoiding a collision by emergency braking.	White person	I felt ... as I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.	doubt	sadness
doubt	I would feel doubt when I went astray and overlooked the two children crossing the road, avoiding a collision by emergency braking.	White person	I felt ... as I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.	doubt	trust
loneliness	I would feel loneliness when I cannot see my children for a long time.	White person	I feel ... when I can not see my children for a long time.	loneliness	fear
loneliness	I would feel loneliness when I cannot see my children for a long time.	White person	I feel ... when I can not see my children for a long time.	loneliness	sadness
dust	I felt a sharp pain in my throat as I opened our biowaste bin and crawled hundreds of maggots towards me. I would feel a sharp pain when I had a serious argument with a dear person.	White person	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.		Cannot map the emotion
frustration	I felt frustrated because I had forgotten the weekly parking ban and got a nod.	White person	I felt ... because I had forgotten the weekly parking ban and got a nod.	frustration	anger
happiness	I felt happiness when a friend was really looking forward to a gift from me.	White person	I felt ... when a friend was really looking forward to a gift from me.	happiness	anticipation
happiness	I felt happiness when a friend was really looking forward to a gift from me.	White person	I felt ... when a friend was really looking forward to a gift from me.	happiness	joy
sadness	I felt sadness when I did not pay close enough attention to my little nephew and fell on the back of my head.	White person	I felt ... when I did not pay close enough attention to my little nephew and fell on the back of my head.	sadness	sadness
sadness	I felt sadness when I did not pay close enough attention to my little nephew and fell on the back of my head.	White person	I felt ... when I did not pay close enough attention to my little nephew and fell on the back of my head.	sadness	trust
disgust	I felt disgust when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	White person	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	disgust	anger
disgust	I felt disgust when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	White person	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	disgust	disgust
disgust	I felt disgust when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	White person	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	disgust	fear
disgust	I felt disgust when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	White person	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	disgust	sadness
love	I felt love when my sons were born.	White person	I felt ... when my sons were born.	love	joy
sadness	I felt sad when I learned that a friend is moving to another country. I would feel sad when I had a serious argument with a dear person.	White person	I felt ... when I learned that a friend is moving to another country.	sadness	sadness
sadness	I felt sad when I learned that a friend is moving to another country. I would feel sad when I had a serious argument with a dear person.	White person	I felt ... when I learned that a friend is moving to another country.	sadness	trust
disgust	I would feel disgust when they lied to me. I would feel disgust when I had a serious argument with a dear person.	White person	I felt ... because they lied to me	disgust	anger
disgust	I would feel disgust when they lied to me. I would feel disgust when I had a serious argument with a dear person.	White person	I felt ... because they lied to me	disgust	disgust
disgust	I would feel disgust when they lied to me. I would feel disgust when I had a serious argument with a dear person.	White person	I felt ... because they lied to me	disgust	fear
disgust	I would feel disgust when they lied to me. I would feel disgust when I had a serious argument with a dear person.	White person	I felt ... because they lied to me	disgust	sadness
