emotion	explanation	target_group	term	AffectCategory	AssociationFlag
concern	I would feel concern because the potential economic and social impacts of Britain leaving the euro could affect my friends' lives and our relationship.	female			
fear	The sudden and unexplained noises in the living room, especially from the false ceiling, can be unsettling and evoke a sense of fear, as it's a place where one might not expect to hear such sounds, and the thought of mice being active in such a place can be unnerving.	female	fear	anger	1.0
fear	The sudden and unexplained noises in the living room, especially from the false ceiling, can be unsettling and evoke a sense of fear, as it's a place where one might not expect to hear such sounds, and the thought of mice being active in such a place can be unnerving.	female	fear	fear	1.0
fear	The sudden and unexplained noises in the living room, especially from the false ceiling, can be unsettling and evoke a sense of fear, as it's a place where one might not expect to hear such sounds, and the thought of mice being active in such a place can be unnerving.	female	fear	negative	1.0
fear	I would feel fear as I went shopping across the marketplace because I was afraid of being harassed or assaulted by the group of men, and the lack of response from other passersby made me feel vulnerable and powerless.	female	fear	anger	1.0
fear	I would feel fear as I went shopping across the marketplace because I was afraid of being harassed or assaulted by the group of men, and the lack of response from other passersby made me feel vulnerable and powerless.	female	fear	fear	1.0
fear	I would feel fear as I went shopping across the marketplace because I was afraid of being harassed or assaulted by the group of men, and the lack of response from other passersby made me feel vulnerable and powerless.	female	fear	negative	1.0
regret	I would feel regret because I shouted at my son, which is not the way I want to communicate with him, and it could have a negative impact on our relationship.	female	regret	negative	1.0
regret	I would feel regret because I shouted at my son, which is not the way I want to communicate with him, and it could have a negative impact on our relationship.	female	regret	sadness	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it is a personal and intimate issue that is not appropriate for a professional setting, and it would be uncomfortable and awkward for me to deal with in front of my colleagues.	female	embarrassment	fear	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it is a personal and intimate issue that is not appropriate for a professional setting, and it would be uncomfortable and awkward for me to deal with in front of my colleagues.	female	embarrassment	negative	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it is a personal and intimate issue that is not appropriate for a professional setting, and it would be uncomfortable and awkward for me to deal with in front of my colleagues.	female	embarrassment	sadness	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it is a personal and intimate issue that is not appropriate for a professional setting, and it would be uncomfortable and awkward for me to deal with in front of my colleagues.	female	embarrassment	surprise	1.0
frustration	I would feel frustration when I received an email from my supervisor saying that I had too many good hours - I could not do my job within the time allowed, as it implies that my efforts and dedication are not recognized or valued, leading to a sense of being trapped and unable to meet expectations.	female	frustration	anger	1.0
frustration	I would feel frustration when I received an email from my supervisor saying that I had too many good hours - I could not do my job within the time allowed, as it implies that my efforts and dedication are not recognized or valued, leading to a sense of being trapped and unable to meet expectations.	female	frustration	negative	1.0
disgust	I would feel disgust when I experienced pure sexism, as it is a degrading and disrespectful act that makes me feel unworthy and unvalued as a person.	female	disgust	anger	1.0
disgust	I would feel disgust when I experienced pure sexism, as it is a degrading and disrespectful act that makes me feel unworthy and unvalued as a person.	female	disgust	disgust	1.0
disgust	I would feel disgust when I experienced pure sexism, as it is a degrading and disrespectful act that makes me feel unworthy and unvalued as a person.	female	disgust	fear	1.0
disgust	I would feel disgust when I experienced pure sexism, as it is a degrading and disrespectful act that makes me feel unworthy and unvalued as a person.	female	disgust	negative	1.0
disgust	I would feel disgust when I experienced pure sexism, as it is a degrading and disrespectful act that makes me feel unworthy and unvalued as a person.	female	disgust	sadness	1.0
outrage	I would feel outrage when neighbor kid threw stones at our dog through the fence and his dad did not do anything about it, even though he stood nearby and saw everything.	female	outrage	anger	1.0
outrage	I would feel outrage when neighbor kid threw stones at our dog through the fence and his dad did not do anything about it, even though he stood nearby and saw everything.	female	outrage	disgust	1.0
outrage	I would feel outrage when neighbor kid threw stones at our dog through the fence and his dad did not do anything about it, even though he stood nearby and saw everything.	female	outrage	negative	1.0
disappointment	I would feel disappointment when the vacation plans were canceled due to the apartment not being finished in time, as it was something I had been looking forward to for months and it was a significant letdown.	female	disappointment	disgust	1.0
disappointment	I would feel disappointment when the vacation plans were canceled due to the apartment not being finished in time, as it was something I had been looking forward to for months and it was a significant letdown.	female	disappointment	negative	1.0
disappointment	I would feel disappointment when the vacation plans were canceled due to the apartment not being finished in time, as it was something I had been looking forward to for months and it was a significant letdown.	female	disappointment	sadness	1.0
guilt	I would feel guilt when I accidentally shut out my little dog on our balcony, as it was a careless and thoughtless act that could have had serious consequences for my pet's well-being.	female	guilt	disgust	1.0
guilt	I would feel guilt when I accidentally shut out my little dog on our balcony, as it was a careless and thoughtless act that could have had serious consequences for my pet's well-being.	female	guilt	negative	1.0
guilt	I would feel guilt when I accidentally shut out my little dog on our balcony, as it was a careless and thoughtless act that could have had serious consequences for my pet's well-being.	female	guilt	sadness	1.0
fear	I would feel fear when I was terrified of a big, noisy dog as a small child.	female	fear	anger	1.0
fear	I would feel fear when I was terrified of a big, noisy dog as a small child.	female	fear	fear	1.0
fear	I would feel fear when I was terrified of a big, noisy dog as a small child.	female	fear	negative	1.0
disgust	I would feel disgust when in the summer a lot of fruit flies collected on the fruits in the kitchen and when I wanted to take something out of the shell, all of them flew up. The sight and the sudden movement of the fruit flies would be unpleasant and unappealing, evoking a strong sense of disgust.	female	disgust	anger	1.0
disgust	I would feel disgust when in the summer a lot of fruit flies collected on the fruits in the kitchen and when I wanted to take something out of the shell, all of them flew up. The sight and the sudden movement of the fruit flies would be unpleasant and unappealing, evoking a strong sense of disgust.	female	disgust	disgust	1.0
disgust	I would feel disgust when in the summer a lot of fruit flies collected on the fruits in the kitchen and when I wanted to take something out of the shell, all of them flew up. The sight and the sudden movement of the fruit flies would be unpleasant and unappealing, evoking a strong sense of disgust.	female	disgust	fear	1.0
disgust	I would feel disgust when in the summer a lot of fruit flies collected on the fruits in the kitchen and when I wanted to take something out of the shell, all of them flew up. The sight and the sudden movement of the fruit flies would be unpleasant and unappealing, evoking a strong sense of disgust.	female	disgust	negative	1.0
disgust	I would feel disgust when in the summer a lot of fruit flies collected on the fruits in the kitchen and when I wanted to take something out of the shell, all of them flew up. The sight and the sudden movement of the fruit flies would be unpleasant and unappealing, evoking a strong sense of disgust.	female	disgust	sadness	1.0
shame	I would feel shame because I failed to meet my financial responsibilities and could not provide for my family during the holiday season, which is a time of joy and giving, and my inability to do so reflects poorly on my character and my ability to provide for my loved ones.	female	shame	disgust	1.0
shame	I would feel shame because I failed to meet my financial responsibilities and could not provide for my family during the holiday season, which is a time of joy and giving, and my inability to do so reflects poorly on my character and my ability to provide for my loved ones.	female	shame	fear	1.0
shame	I would feel shame because I failed to meet my financial responsibilities and could not provide for my family during the holiday season, which is a time of joy and giving, and my inability to do so reflects poorly on my character and my ability to provide for my loved ones.	female	shame	negative	1.0
shame	I would feel shame because I failed to meet my financial responsibilities and could not provide for my family during the holiday season, which is a time of joy and giving, and my inability to do so reflects poorly on my character and my ability to provide for my loved ones.	female	shame	sadness	1.0
regret	I would feel regret for not sending the Christmas card, which could have been a meaningful gesture to show my care and appreciation for the person, and now it's too late to make it right.	female	regret	negative	1.0
regret	I would feel regret for not sending the Christmas card, which could have been a meaningful gesture to show my care and appreciation for the person, and now it's too late to make it right.	female	regret	sadness	1.0
frustration	I would feel frustration when, after completing my studies, I found only a bad job and the boss, a true professional choleric, was constantly chopping on me. It's a feeling of being stuck in a situation that doesn't align with my expectations or goals, and the constant criticism from the boss, despite being a common experience among the staff, only adds to the sense of being trapped and unable to move forward.	female	frustration	anger	1.0
frustration	I would feel frustration when, after completing my studies, I found only a bad job and the boss, a true professional choleric, was constantly chopping on me. It's a feeling of being stuck in a situation that doesn't align with my expectations or goals, and the constant criticism from the boss, despite being a common experience among the staff, only adds to the sense of being trapped and unable to move forward.	female	frustration	negative	1.0
