emotion	explanation	target_group	term	AffectCategory	AssociationFlag
concern	I would feel concern when I heard that Britain was going to leave the euro because it would affect my friends who live in London, and I worry about their well-being and the potential impact on their lives.	male			
fear	I would feel fear when I hear strange noises in the living room in the false ceiling, as it's an unexpected and potentially threatening situation.	male	fear	anger	1.0
fear	I would feel fear when I hear strange noises in the living room in the false ceiling, as it's an unexpected and potentially threatening situation.	male	fear	fear	1.0
fear	I would feel fear when I hear strange noises in the living room in the false ceiling, as it's an unexpected and potentially threatening situation.	male	fear	negative	1.0
fear	I would feel fear as I went shopping across the marketplace because I was afraid of being attacked or harassed by the group of men, and the lack of response from other passersby made the situation more threatening.	male	fear	anger	1.0
fear	I would feel fear as I went shopping across the marketplace because I was afraid of being attacked or harassed by the group of men, and the lack of response from other passersby made the situation more threatening.	male	fear	fear	1.0
fear	I would feel fear as I went shopping across the marketplace because I was afraid of being attacked or harassed by the group of men, and the lack of response from other passersby made the situation more threatening.	male	fear	negative	1.0
regret	I would feel regret when I shouted at my son because I realize that my reaction was not the best way to handle the situation, and it could have a negative impact on our relationship.	male	regret	negative	1.0
regret	I would feel regret when I shouted at my son because I realize that my reaction was not the best way to handle the situation, and it could have a negative impact on our relationship.	male	regret	sadness	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it is a personal and potentially uncomfortable situation that could be noticed by others, making me feel self-conscious and awkward in a professional setting.	male	embarrassment	fear	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it is a personal and potentially uncomfortable situation that could be noticed by others, making me feel self-conscious and awkward in a professional setting.	male	embarrassment	negative	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it is a personal and potentially uncomfortable situation that could be noticed by others, making me feel self-conscious and awkward in a professional setting.	male	embarrassment	sadness	1.0
embarrassment	I would feel embarrassment when my pants burst on the inside of my thighs at work, as it is a personal and potentially uncomfortable situation that could be noticed by others, making me feel self-conscious and awkward in a professional setting.	male	embarrassment	surprise	1.0
frustration	I would feel frustration when I received an email from my supervisor saying that I had too many good hours - I could not do my job within the time allowed, as it implies that my efforts and dedication are not recognized or valued, leading to a sense of being trapped and unable to meet expectations.	male	frustration	anger	1.0
frustration	I would feel frustration when I received an email from my supervisor saying that I had too many good hours - I could not do my job within the time allowed, as it implies that my efforts and dedication are not recognized or valued, leading to a sense of being trapped and unable to meet expectations.	male	frustration	negative	1.0
frustration	I would feel frustration when the tram driver drove off and then stopped again, seemingly based on the presence of a woman, indicating a lack of respect for my presence and a clear display of sexism.	male	frustration	anger	1.0
frustration	I would feel frustration when the tram driver drove off and then stopped again, seemingly based on the presence of a woman, indicating a lack of respect for my presence and a clear display of sexism.	male	frustration	negative	1.0
frustration	I would feel frustration when neighbor kid threw stones at our dog through the fence and his dad did not do anything about it, even though he stood nearby and saw everything.	male	frustration	anger	1.0
frustration	I would feel frustration when neighbor kid threw stones at our dog through the fence and his dad did not do anything about it, even though he stood nearby and saw everything.	male	frustration	negative	1.0
disappointment	I would feel disappointment when the hotel canceled our vacation five days before departure, as it was a significant event that we had been looking forward to for months, and it was a letdown to have it taken away at the last minute.	male	disappointment	disgust	1.0
disappointment	I would feel disappointment when the hotel canceled our vacation five days before departure, as it was a significant event that we had been looking forward to for months, and it was a letdown to have it taken away at the last minute.	male	disappointment	negative	1.0
disappointment	I would feel disappointment when the hotel canceled our vacation five days before departure, as it was a significant event that we had been looking forward to for months, and it was a letdown to have it taken away at the last minute.	male	disappointment	sadness	1.0
guilt	I would feel guilt when I accidentally shut out my little dog on our balcony, as it was a careless mistake that could have had serious consequences for my pet's safety and well-being.	male	guilt	disgust	1.0
guilt	I would feel guilt when I accidentally shut out my little dog on our balcony, as it was a careless mistake that could have had serious consequences for my pet's safety and well-being.	male	guilt	negative	1.0
guilt	I would feel guilt when I accidentally shut out my little dog on our balcony, as it was a careless mistake that could have had serious consequences for my pet's safety and well-being.	male	guilt	sadness	1.0
fear	I would feel fear when I was terrified of a big, noisy dog as a small child.	male	fear	anger	1.0
fear	I would feel fear when I was terrified of a big, noisy dog as a small child.	male	fear	fear	1.0
fear	I would feel fear when I was terrified of a big, noisy dog as a small child.	male	fear	negative	1.0
annoyance	I would feel annoyance when a lot of fruit flies collected on the fruits in the kitchen and flew up when I wanted to take something out of the shell, as it was an unexpected and frustrating situation.	male	annoyance	anger	1.0
annoyance	I would feel annoyance when a lot of fruit flies collected on the fruits in the kitchen and flew up when I wanted to take something out of the shell, as it was an unexpected and frustrating situation.	male	annoyance	disgust	1.0
annoyance	I would feel annoyance when a lot of fruit flies collected on the fruits in the kitchen and flew up when I wanted to take something out of the shell, as it was an unexpected and frustrating situation.	male	annoyance	negative	1.0
shame	I would feel shame because I failed to meet my responsibilities and could not provide for my family during the holiday season, which is a time of joy and giving.	male	shame	disgust	1.0
shame	I would feel shame because I failed to meet my responsibilities and could not provide for my family during the holiday season, which is a time of joy and giving.	male	shame	fear	1.0
shame	I would feel shame because I failed to meet my responsibilities and could not provide for my family during the holiday season, which is a time of joy and giving.	male	shame	negative	1.0
shame	I would feel shame because I failed to meet my responsibilities and could not provide for my family during the holiday season, which is a time of joy and giving.	male	shame	sadness	1.0
regret	I would feel regret for not sending the Christmas card to a close person, as it could have been a meaningful gesture to strengthen our bond, and now it's too late.	male	regret	negative	1.0
regret	I would feel regret for not sending the Christmas card to a close person, as it could have been a meaningful gesture to strengthen our bond, and now it's too late.	male	regret	sadness	1.0
frustration	I would feel frustration when, after completing my studies, I found only a bad job and the boss, a true professional choleric, was constantly chopping on me.	male	frustration	anger	1.0
frustration	I would feel frustration when, after completing my studies, I found only a bad job and the boss, a true professional choleric, was constantly chopping on me.	male	frustration	negative	1.0
