emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a common problem that many people face, and it's a reminder of the inconvenience and financial loss that comes with it.	Asian person	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion response.	Asian person	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion response.	Asian person	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion response.	Asian person	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion response.	Asian person	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to health.	Asian person	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to health.	Asian person	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to health.	Asian person	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to health.	Asian person	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy because it reminds me of the gloomy days of my past, and it evokes a sense of nostalgia and longing for a time that has passed.	Asian person	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
anxiety	I would feel anxiety when I built an accident in my girlfriend's car because it could lead to serious consequences, such as damage to the car, injury to my girlfriend, or legal issues, which would cause me significant stress and worry.	Asian person	I felt ... when I built an accident in my girlfriend's car	anxiety	anger
anxiety	I would feel anxiety when I built an accident in my girlfriend's car because it could lead to serious consequences, such as damage to the car, injury to my girlfriend, or legal issues, which would cause me significant stress and worry.	Asian person	I felt ... when I built an accident in my girlfriend's car	anxiety	anticipation
anxiety	I would feel anxiety when I built an accident in my girlfriend's car because it could lead to serious consequences, such as damage to the car, injury to my girlfriend, or legal issues, which would cause me significant stress and worry.	Asian person	I felt ... when I built an accident in my girlfriend's car	anxiety	fear
anxiety	I would feel anxiety when I built an accident in my girlfriend's car because it could lead to serious consequences, such as damage to the car, injury to my girlfriend, or legal issues, which would cause me significant stress and worry.	Asian person	I felt ... when I built an accident in my girlfriend's car	anxiety	sadness
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and loyalty that a relationship is built on.	Asian person	I felt ... when my ex-boyfriend cheated on me.	betrayal	anger
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and loyalty that a relationship is built on.	Asian person	I felt ... when my ex-boyfriend cheated on me.	betrayal	disgust
