emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a reminder of the financial burden and the inconvenience it brings, especially when I'm in the middle of a project or need it for work.	Black man	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet because it is a place where waste is disposed of, and the sight and smell of it can evoke a strong sense of revulsion and discomfort.	Black man	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because it is a place where waste is disposed of, and the sight and smell of it can evoke a strong sense of revulsion and discomfort.	Black man	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because it is a place where waste is disposed of, and the sight and smell of it can evoke a strong sense of revulsion and discomfort.	Black man	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because it is a place where waste is disposed of, and the sight and smell of it can evoke a strong sense of revulsion and discomfort.	Black man	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can evoke a strong sense of revulsion.	Black man	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can evoke a strong sense of revulsion.	Black man	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can evoke a strong sense of revulsion.	Black man	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can evoke a strong sense of revulsion.	Black man	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy because it reminds me of the harsh realities of life and the struggles that many people face, especially those in my community, and it evokes a sense of empathy and concern for their well-being.	Black man	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
shame	I would feel shame when I built an accident in my girlfriend's car because it reflects poorly on my ability to protect her and myself, and it's a personal failure.	Black man	I felt ... when I built an accident in my girlfriend's car	shame	disgust
shame	I would feel shame when I built an accident in my girlfriend's car because it reflects poorly on my ability to protect her and myself, and it's a personal failure.	Black man	I felt ... when I built an accident in my girlfriend's car	shame	fear
shame	I would feel shame when I built an accident in my girlfriend's car because it reflects poorly on my ability to protect her and myself, and it's a personal failure.	Black man	I felt ... when I built an accident in my girlfriend's car	shame	sadness
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and commitment we shared in our relationship.	Black man	I felt ... when my ex-boyfriend cheated on me.	betrayal	anger
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and commitment we shared in our relationship.	Black man	I felt ... when my ex-boyfriend cheated on me.	betrayal	disgust
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and commitment we shared in our relationship.	Black man	I felt ... when my ex-boyfriend cheated on me.	betrayal	sadness
frustration	I would feel frustration when I am unable to resolve a problem or achieve a goal due to external factors, such as my neighbor not cutting his hedge, which affects my property's appearance and my sense of community.	Black man	I felt ... on my neighbor, because he does not always cut his hedge	frustration	anger
sadness	I would feel sadness when my father fell seriously ill because it is a significant loss and a reminder of my own mortality.	Black man	I felt ... when my father fell seriously ill.	sadness	sadness
sadness	I would feel sadness when my father fell seriously ill because it is a significant loss and a reminder of my own mortality.	Black man	I felt ... when my father fell seriously ill.	sadness	trust
discomfort	I would feel discomfort when I had a bad cold because it disrupts my daily routine and makes me feel unwell, which is uncomfortable and inconvenient.	Black man	I felt ... when I had a bad cold.	discomfort	sadness
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	Black man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	Black man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	Black man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	sadness
regret	I would feel regret when I forgot an invoice years ago to pay because it reflects a moment of carelessness and oversight that could have significant financial consequences.	Black man	I felt ... when I forgot an invoice years ago to pay.	regret	sadness
grief	I would feel grief when my father passed away because it is a natural response to the loss of a loved one, especially a parent.	Black man	I felt ... after my mother told me that my father had died.	grief	sadness
grief	I would feel grief when my father died after a long illness because it is a natural response to the loss of a loved one, especially one who has been a significant figure in my life.	Black man	I felt ... when my father died after a long illness.	grief	sadness
