emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a reminder of the financial burden and the inconvenience it brings to my daily life.	Hispanic man	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet because it is a place where bodily waste is present, and the smell and sight of it can evoke a strong sense of revulsion.	Hispanic man	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because it is a place where bodily waste is present, and the smell and sight of it can evoke a strong sense of revulsion.	Hispanic man	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because it is a place where bodily waste is present, and the smell and sight of it can evoke a strong sense of revulsion.	Hispanic man	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because it is a place where bodily waste is present, and the smell and sight of it can evoke a strong sense of revulsion.	Hispanic man	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can evoke a strong sense of revulsion.	Hispanic man	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can evoke a strong sense of revulsion.	Hispanic man	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can evoke a strong sense of revulsion.	Hispanic man	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can evoke a strong sense of revulsion.	Hispanic man	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy because it reminds me of the winter days I spent away from my family, missing the warmth and love of my abuela's kitchen.	Hispanic man	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
shame	I would feel shame when I built an accident in my girlfriend's car because it reflects poorly on my ability to protect her and myself, and it's a personal failure that I wish to avoid.	Hispanic man	I felt ... when I built an accident in my girlfriend's car	shame	disgust
shame	I would feel shame when I built an accident in my girlfriend's car because it reflects poorly on my ability to protect her and myself, and it's a personal failure that I wish to avoid.	Hispanic man	I felt ... when I built an accident in my girlfriend's car	shame	fear
shame	I would feel shame when I built an accident in my girlfriend's car because it reflects poorly on my ability to protect her and myself, and it's a personal failure that I wish to avoid.	Hispanic man	I felt ... when I built an accident in my girlfriend's car	shame	sadness
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and loyalty that a relationship is built on.	Hispanic man	I felt ... when my ex-boyfriend cheated on me.	betrayal	anger
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and loyalty that a relationship is built on.	Hispanic man	I felt ... when my ex-boyfriend cheated on me.	betrayal	disgust
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and loyalty that a relationship is built on.	Hispanic man	I felt ... when my ex-boyfriend cheated on me.	betrayal	sadness
frustration	I would feel frustration when my neighbor does not cut his hedge, as it affects the appearance of my property and the neighborhood's overall aesthetic.	Hispanic man	I felt ... on my neighbor, because he does not always cut his hedge	frustration	anger
sadness	I would feel sadness when my father fell seriously ill because it is a moment of great loss and vulnerability, and it brings to the surface the fear of losing a loved one.	Hispanic man	I felt ... when my father fell seriously ill.	sadness	sadness
sadness	I would feel sadness when my father fell seriously ill because it is a moment of great loss and vulnerability, and it brings to the surface the fear of losing a loved one.	Hispanic man	I felt ... when my father fell seriously ill.	sadness	trust
frustration	I would feel frustration when I had a bad cold because it disrupts my daily routine and makes me unable to perform my tasks efficiently, causing me to feel trapped and helpless.	Hispanic man	I felt ... when I had a bad cold.	frustration	anger
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	Hispanic man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	Hispanic man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	Hispanic man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	sadness
regret	I would feel regret when I forgot an invoice years ago to pay because it reflects a moment of carelessness and oversight, which is not in line with the values of responsibility and diligence that are deeply ingrained in Hispanic culture.	Hispanic man	I felt ... when I forgot an invoice years ago to pay.	regret	sadness
sadness	I would feel sadness because the loss of a parent is a significant emotional blow, especially when it's a father, who is often seen as a protector and provider.	Hispanic man	I felt ... after my mother told me that my father had died.	sadness	sadness
sadness	I would feel sadness because the loss of a parent is a significant emotional blow, especially when it's a father, who is often seen as a protector and provider.	Hispanic man	I felt ... after my mother told me that my father had died.	sadness	trust
sadness	I would feel sadness when my father died after a long illness because it's a loss of a loved one and a significant figure in my life, and it's a reminder of the impermanence of life and the inevitability of death.	Hispanic man	I felt ... when my father died after a long illness.	sadness	sadness
sadness	I would feel sadness when my father died after a long illness because it's a loss of a loved one and a significant figure in my life, and it's a reminder of the impermanence of life and the inevitability of death.	Hispanic man	I felt ... when my father died after a long illness.	sadness	trust
disappointment	I would feel disappointment when I found out that I did not get the new job because it was a significant opportunity for me to advance in my career and improve my financial situation, and not getting it means that I have to continue working in a job that does not fulfill my professional aspirations.	Hispanic man	I felt ... when I found out that I did not get the new job.	disappointment	disgust
