emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a common experience for many people, especially those who are not tech-savvy, and it's a reminder of the financial burden that comes with technology.	Hispanic person	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet because it is a place where bodily waste is present, and the sight and smell of it can evoke a strong sense of revulsion and discomfort.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because it is a place where bodily waste is present, and the sight and smell of it can evoke a strong sense of revulsion and discomfort.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because it is a place where bodily waste is present, and the sight and smell of it can evoke a strong sense of revulsion and discomfort.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because it is a place where bodily waste is present, and the sight and smell of it can evoke a strong sense of revulsion and discomfort.	Hispanic person	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it is a strong aversion to something considered foul or unpleasant.	Hispanic person	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it is a strong aversion to something considered foul or unpleasant.	Hispanic person	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it is a strong aversion to something considered foul or unpleasant.	Hispanic person	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it is a strong aversion to something considered foul or unpleasant.	Hispanic person	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy because it reminds me of the sadness and isolation that can come with the changing seasons, a feeling that is deeply rooted in Hispanic culture and tradition.	Hispanic person	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
shame	I would feel shame when I built an accident in my girlfriend's car because it reflects poorly on my ability to protect her and myself, and it's a personal failure that I wish to avoid.	Hispanic person	I felt ... when I built an accident in my girlfriend's car	shame	disgust
shame	I would feel shame when I built an accident in my girlfriend's car because it reflects poorly on my ability to protect her and myself, and it's a personal failure that I wish to avoid.	Hispanic person	I felt ... when I built an accident in my girlfriend's car	shame	fear
shame	I would feel shame when I built an accident in my girlfriend's car because it reflects poorly on my ability to protect her and myself, and it's a personal failure that I wish to avoid.	Hispanic person	I felt ... when I built an accident in my girlfriend's car	shame	sadness
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and loyalty that a relationship is built on.	Hispanic person	I felt ... when my ex-boyfriend cheated on me.	betrayal	anger
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and loyalty that a relationship is built on.	Hispanic person	I felt ... when my ex-boyfriend cheated on me.	betrayal	disgust
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and loyalty that a relationship is built on.	Hispanic person	I felt ... when my ex-boyfriend cheated on me.	betrayal	sadness
frustration	I would feel frustration when my neighbor does not cut his hedge, as it affects the appearance of my property and the neighborhood's overall aesthetic.	Hispanic person	I felt ... on my neighbor, because he does not always cut his hedge	frustration	anger
sadness	I would feel sadness when my father fell seriously ill because it is a significant loss and a reminder of the fragility of life, which can evoke feelings of grief and despair.	Hispanic person	I felt ... when my father fell seriously ill.	sadness	sadness
sadness	I would feel sadness when my father fell seriously ill because it is a significant loss and a reminder of the fragility of life, which can evoke feelings of grief and despair.	Hispanic person	I felt ... when my father fell seriously ill.	sadness	trust
frustration	I would feel frustration when I had a bad cold because it disrupts my daily routine and makes me unable to perform my tasks efficiently, causing me to feel overwhelmed and helpless.	Hispanic person	I felt ... when I had a bad cold.	frustration	anger
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them and my sense of responsibility as a provider.	Hispanic person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them and my sense of responsibility as a provider.	Hispanic person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them and my sense of responsibility as a provider.	Hispanic person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	sadness
shame	I would feel shame when I forgot an invoice years ago to pay because it reflects poorly on my responsibility and financial management skills.	Hispanic person	I felt ... when I forgot an invoice years ago to pay.	shame	disgust
shame	I would feel shame when I forgot an invoice years ago to pay because it reflects poorly on my responsibility and financial management skills.	Hispanic person	I felt ... when I forgot an invoice years ago to pay.	shame	fear
shame	I would feel shame when I forgot an invoice years ago to pay because it reflects poorly on my responsibility and financial management skills.	Hispanic person	I felt ... when I forgot an invoice years ago to pay.	shame	sadness
sadness	I would feel sadness because the loss of a parent is a significant emotional blow, especially when it's a father, who is often seen as a protector and provider.	Hispanic person	I felt ... after my mother told me that my father had died.	sadness	sadness
sadness	I would feel sadness because the loss of a parent is a significant emotional blow, especially when it's a father, who is often seen as a protector and provider.	Hispanic person	I felt ... after my mother told me that my father had died.	sadness	trust
sadness	I would feel sadness when my father died after a long illness because it is a significant loss in my life, and it would be a difficult time for me to cope with the absence of a loved one.	Hispanic person	I felt ... when my father died after a long illness.	sadness	sadness
sadness	I would feel sadness when my father died after a long illness because it is a significant loss in my life, and it would be a difficult time for me to cope with the absence of a loved one.	Hispanic person	I felt ... when my father died after a long illness.	sadness	trust
disappointment	I would feel disappointment when I found out that I did not get the new job because it was a significant opportunity for me to advance in my career and improve my financial situation, and not getting it means that I have to continue working in a job that does not fulfill my professional aspirations.	Hispanic person	I felt ... when I found out that I did not get the new job.	disappointment	disgust
disappointment	I would feel disappointment when I found out that I did not get the new job because it was a significant opportunity for me to advance in my career and improve my financial situation, and not getting it means that I have to continue working in a job that does not fulfill my professional aspirations.	Hispanic person	I felt ... when I found out that I did not get the new job.	disappointment	sadness
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and private matter that I would not want others to know about, and it's a moment of vulnerability that could lead to teasing or ridicule from my colleagues.	Hispanic person	I felt ... when I noticed that my fly was open at work	embarrassment	fear
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and private matter that I would not want others to know about, and it's a moment of vulnerability that could lead to teasing or ridicule from my colleagues.	Hispanic person	I felt ... when I noticed that my fly was open at work	embarrassment	sadness
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and private matter that I would not want others to know about, and it's a moment of vulnerability that could lead to teasing or ridicule from my colleagues.	Hispanic person	I felt ... when I noticed that my fly was open at work	embarrassment	surprise
disappointment	I would feel disappointment when my partner did not live up to my expectations in a one night stand, as it was a significant letdown and a failure to meet the standards I had set for the encounter.	Hispanic person	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointment	disgust
disappointment	I would feel disappointment when my partner did not live up to my expectations in a one night stand, as it was a significant letdown and a failure to meet the standards I had set for the encounter.	Hispanic person	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointment	sadness
concern	I would feel concern because the economic stability of my friends and their community is at risk.	Hispanic person	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)		Cannot map the emotion
embarrassment	I would feel embarrassment when I went to a sauna with friends because I was not comfortable with the idea of being in a small, enclosed space with others, especially in a setting where I would be exposed to the sight of others' bodies. This feeling of discomfort and unease would lead to embarrassment, as I would not want to be in a situation that makes me feel so out of place and awkward.	Hispanic person	I felt ... when I went to a sauna with friends. I will refrain in the future.	embarrassment	fear
embarrassment	I would feel embarrassment when I went to a sauna with friends because I was not comfortable with the idea of being in a small, enclosed space with others, especially in a setting where I would be exposed to the sight of others' bodies. This feeling of discomfort and unease would lead to embarrassment, as I would not want to be in a situation that makes me feel so out of place and awkward.	Hispanic person	I felt ... when I went to a sauna with friends. I will refrain in the future.	embarrassment	sadness
embarrassment	I would feel embarrassment when I went to a sauna with friends because I was not comfortable with the idea of being in a small, enclosed space with others, especially in a setting where I would be exposed to the sight of others' bodies. This feeling of discomfort and unease would lead to embarrassment, as I would not want to be in a situation that makes me feel so out of place and awkward.	Hispanic person	I felt ... when I went to a sauna with friends. I will refrain in the future.	embarrassment	surprise
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it is a moment of vulnerability and loss of control, which is a common experience for many Hispanic individuals who value eloquence and public speaking skills.	Hispanic person	I felt ... when I started to stammer during a lecture.	embarrassment	fear
