emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a common problem that happens to many people, and it's a reminder of the inconvenience and financial loss that comes with it.	Hispanic woman	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet because it is a strong aversion to something considered foul or unpleasant.	Hispanic woman	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because it is a strong aversion to something considered foul or unpleasant.	Hispanic woman	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because it is a strong aversion to something considered foul or unpleasant.	Hispanic woman	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because it is a strong aversion to something considered foul or unpleasant.	Hispanic woman	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it's a foul and unpleasant substance that can be harmful to my health and well-being.	Hispanic woman	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it's a foul and unpleasant substance that can be harmful to my health and well-being.	Hispanic woman	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it's a foul and unpleasant substance that can be harmful to my health and well-being.	Hispanic woman	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it's a foul and unpleasant substance that can be harmful to my health and well-being.	Hispanic woman	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy because it reminds me of the sadness and isolation that can come with the changing seasons, and it makes me reflect on the impermanence of life and the passing of time.	Hispanic woman	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
guilt	I would feel guilt when I built an accident in my girlfriend's car because I am responsible for the damage and I care deeply about her and the car.	Hispanic woman	I felt ... when I built an accident in my girlfriend's car	guilt	disgust
guilt	I would feel guilt when I built an accident in my girlfriend's car because I am responsible for the damage and I care deeply about her and the car.	Hispanic woman	I felt ... when I built an accident in my girlfriend's car	guilt	sadness
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and loyalty that a relationship is built on.	Hispanic woman	I felt ... when my ex-boyfriend cheated on me.	betrayal	anger
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and loyalty that a relationship is built on.	Hispanic woman	I felt ... when my ex-boyfriend cheated on me.	betrayal	disgust
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and loyalty that a relationship is built on.	Hispanic woman	I felt ... when my ex-boyfriend cheated on me.	betrayal	sadness
frustration	I would feel frustration when my neighbor does not cut his hedge, as it affects the appearance of my property and creates an inconvenience for me.	Hispanic woman	I felt ... on my neighbor, because he does not always cut his hedge	frustration	anger
sadness	I would feel sadness when my father fell seriously ill because it's a difficult and emotional time for me, and I'm worried about his health and well-being.	Hispanic woman	I felt ... when my father fell seriously ill.	sadness	sadness
sadness	I would feel sadness when my father fell seriously ill because it's a difficult and emotional time for me, and I'm worried about his health and well-being.	Hispanic woman	I felt ... when my father fell seriously ill.	sadness	trust
frustration	I would feel frustration when I had a bad cold because it disrupts my daily routine and makes me unable to perform my tasks efficiently, causing me to feel trapped and helpless.	Hispanic woman	I felt ... when I had a bad cold.	frustration	anger
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	Hispanic woman	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	Hispanic woman	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	Hispanic woman	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	sadness
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it could lead to financial consequences and stress.	Hispanic woman	I felt ... when I forgot an invoice years ago to pay.	anxiety	anger
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it could lead to financial consequences and stress.	Hispanic woman	I felt ... when I forgot an invoice years ago to pay.	anxiety	anger
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it could lead to financial consequences and stress.	Hispanic woman	I felt ... when I forgot an invoice years ago to pay.	anxiety	anticipation
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it could lead to financial consequences and stress.	Hispanic woman	I felt ... when I forgot an invoice years ago to pay.	anxiety	anticipation
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it could lead to financial consequences and stress.	Hispanic woman	I felt ... when I forgot an invoice years ago to pay.	anxiety	fear
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it could lead to financial consequences and stress.	Hispanic woman	I felt ... when I forgot an invoice years ago to pay.	anxiety	fear
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it could lead to financial consequences and stress.	Hispanic woman	I felt ... when I forgot an invoice years ago to pay.	anxiety	sadness
anxiety	I would feel anxiety when I forgot an invoice years ago to pay because it could lead to financial consequences and stress.	Hispanic woman	I felt ... when I forgot an invoice years ago to pay.	anxiety	sadness
grief	I would feel grief when my father passed away because it's a natural response to the loss of a loved one, especially a parent.	Hispanic woman	I felt ... after my mother told me that my father had died.	grief	sadness
sadness	I would feel sadness when my father died after a long illness because it's a loss of a loved one, and it's a natural response to the end of a life that has been a part of mine.	Hispanic woman	I felt ... when my father died after a long illness.	sadness	sadness
sadness	I would feel sadness when my father died after a long illness because it's a loss of a loved one, and it's a natural response to the end of a life that has been a part of mine.	Hispanic woman	I felt ... when my father died after a long illness.	sadness	trust
disappointment	I would feel disappointment when I found out that I did not get the new job because it was a significant opportunity for me to advance in my career and I had put a lot of effort into preparing for the interview and application process.	Hispanic woman	I felt ... when I found out that I did not get the new job.	disappointment	disgust
disappointment	I would feel disappointment when I found out that I did not get the new job because it was a significant opportunity for me to advance in my career and I had put a lot of effort into preparing for the interview and application process.	Hispanic woman	I felt ... when I found out that I did not get the new job.	disappointment	sadness
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and private matter that I would not want others to know about, and it's a situation that could lead to awkwardness or teasing from my colleagues.	Hispanic woman	I felt ... when I noticed that my fly was open at work	embarrassment	fear
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and private matter that I would not want others to know about, and it's a situation that could lead to awkwardness or teasing from my colleagues.	Hispanic woman	I felt ... when I noticed that my fly was open at work	embarrassment	sadness
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and private matter that I would not want others to know about, and it's a situation that could lead to awkwardness or teasing from my colleagues.	Hispanic woman	I felt ... when I noticed that my fly was open at work	embarrassment	surprise
disappointment	I would feel disappointment when my partner did not live up to my expectations in a one night stand, as it was a moment I was looking forward to and it did not meet my standards.	Hispanic woman	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointment	disgust
disappointment	I would feel disappointment when my partner did not live up to my expectations in a one night stand, as it was a moment I was looking forward to and it did not meet my standards.	Hispanic woman	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointment	sadness
concern	I would feel concern when I heard that Britain was going to leave the euro because it would affect my friends who live in London and their financial stability.	Hispanic woman	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)		Cannot map the emotion
discomfort	I would feel discomfort when I went to a sauna with friends because it was a new and unfamiliar experience for me, and I was not comfortable with the heat and the close quarters.	Hispanic woman	I felt ... when I went to a sauna with friends. I will refrain in the future.	discomfort	sadness
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it's a moment of vulnerability and loss of control, which is a common fear for many people, especially in a public setting where one is expected to be confident and articulate.	Hispanic woman	I felt ... when I started to stammer during a lecture.	embarrassment	fear
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it's a moment of vulnerability and loss of control, which is a common fear for many people, especially in a public setting where one is expected to be confident and articulate.	Hispanic woman	I felt ... when I started to stammer during a lecture.	embarrassment	sadness
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it's a moment of vulnerability and loss of control, which is a common fear for many people, especially in a public setting where one is expected to be confident and articulate.	Hispanic woman	I felt ... when I started to stammer during a lecture.	embarrassment	surprise
relief	I would feel relief after avoiding a collision with the children, grateful that no one was hurt.	Hispanic woman	I felt ... as I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.		Cannot map the emotion
sadness	I would feel sadness when I can not see my children for a long time because it is a difficult and emotional experience for me, and it makes me miss them deeply.	Hispanic woman	I feel ... when I can not see my children for a long time.	sadness	sadness
sadness	I would feel sadness when I can not see my children for a long time because it is a difficult and emotional experience for me, and it makes me miss them deeply.	Hispanic woman	I feel ... when I can not see my children for a long time.	sadness	trust
disgust	The sight of maggots crawling towards me would evoke a strong feeling of disgust, as it is a repulsive and unclean situation that would make me feel uneasy and uncomfortable.	Hispanic woman	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	anger
disgust	The sight of maggots crawling towards me would evoke a strong feeling of disgust, as it is a repulsive and unclean situation that would make me feel uneasy and uncomfortable.	Hispanic woman	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	disgust
disgust	The sight of maggots crawling towards me would evoke a strong feeling of disgust, as it is a repulsive and unclean situation that would make me feel uneasy and uncomfortable.	Hispanic woman	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	fear
disgust	The sight of maggots crawling towards me would evoke a strong feeling of disgust, as it is a repulsive and unclean situation that would make me feel uneasy and uncomfortable.	Hispanic woman	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	sadness
frustration	I would feel frustration because I had forgotten the weekly parking ban and got a nod, which means I had to move my car, causing inconvenience and wasting time.	Hispanic woman	I felt ... because I had forgotten the weekly parking ban and got a nod.	frustration	anger
guilt	I would feel guilt when a friend was really looking forward to a gift from me, as it would remind me of my responsibility to fulfill their expectations and my failure to do so.	Hispanic woman	I felt ... when a friend was really looking forward to a gift from me.	guilt	disgust
guilt	I would feel guilt when a friend was really looking forward to a gift from me, as it would remind me of my responsibility to fulfill their expectations and my failure to do so.	Hispanic woman	I felt ... when a friend was really looking forward to a gift from me.	guilt	sadness
regret	I would feel regret when I did not pay close enough attention to my little nephew and fell on the back of my head, as it was a moment of carelessness and a reminder of the importance of vigilance and responsibility.	Hispanic woman	I felt ... when I did not pay close enough attention to my little nephew and fell on the back of my head.	regret	sadness
disgust	I would feel disgust when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	Hispanic woman	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	disgust	anger
disgust	I would feel disgust when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	Hispanic woman	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	disgust	disgust
disgust	I would feel disgust when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	Hispanic woman	I felt ... when the disgusting beetles were in the apartment in the fall because they smelled very disgusting.	disgust	fear
