emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it is a common and relatable experience that many people can understand, and it is a situation that is difficult to resolve without significant effort or cost.	White man	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the toilet's condition would be highly unpleasant and repulsive, triggering a strong negative reaction.	White man	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the toilet's condition would be highly unpleasant and repulsive, triggering a strong negative reaction.	White man	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the toilet's condition would be highly unpleasant and repulsive, triggering a strong negative reaction.	White man	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the toilet's condition would be highly unpleasant and repulsive, triggering a strong negative reaction.	White man	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health.	White man	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health.	White man	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health.	White man	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health.	White man	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy because it would remind me of the gloomy days of my past, evoking a sense of nostalgia and sadness.	White man	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
guilt	I would feel guilt when I built an accident in my girlfriend's car because I am responsible for the damage and I am worried about her safety and well-being.	White man	I felt ... when I built an accident in my girlfriend's car	guilt	disgust
guilt	I would feel guilt when I built an accident in my girlfriend's car because I am responsible for the damage and I am worried about her safety and well-being.	White man	I felt ... when I built an accident in my girlfriend's car	guilt	sadness
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and commitment we shared in our relationship.	White man	I felt ... when my ex-boyfriend cheated on me.	betrayal	anger
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and commitment we shared in our relationship.	White man	I felt ... when my ex-boyfriend cheated on me.	betrayal	disgust
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and commitment we shared in our relationship.	White man	I felt ... when my ex-boyfriend cheated on me.	betrayal	sadness
frustration	I would feel frustration when I am unable to resolve a problem or achieve a goal.	White man	I felt ... on my neighbor, because he does not always cut his hedge	frustration	anger
grief	I would feel grief when my father fell seriously ill because it is a natural response to the loss of a loved one, and it signifies the depth of my emotional connection to him.	White man	I felt ... when my father fell seriously ill.	grief	sadness
discomfort	I would feel discomfort when I had a bad cold because it disrupts my daily routine and makes me feel unwell, which is uncomfortable and inconvenient.	White man	I felt ... when I had a bad cold.	discomfort	sadness
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	White man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	White man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	White man	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	sadness
regret	I would feel regret when I forgot an invoice years ago to pay because it reflects a moment of carelessness and oversight, which could have led to financial consequences and damaged my reputation.	White man	I felt ... when I forgot an invoice years ago to pay.	regret	sadness
grief	I would feel grief when I experienced the loss of a loved one, as it is a natural response to the end of a relationship.	White man	I felt ... after my mother told me that my father had died.	grief	sadness
grief	I would feel grief when my father died after a long illness because it is a natural response to the loss of a loved one, especially one who has been a significant figure in my life.	White man	I felt ... when my father died after a long illness.	grief	sadness
disappointment	I would feel disappointment when I found out that I did not get the new job because it was a significant opportunity for me to advance in my career and I had put a lot of effort into preparing for the interview.	White man	I felt ... when I found out that I did not get the new job.	disappointment	disgust
disappointment	I would feel disappointment when I found out that I did not get the new job because it was a significant opportunity for me to advance in my career and I had put a lot of effort into preparing for the interview.	White man	I felt ... when I found out that I did not get the new job.	disappointment	sadness
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it is a personal and private matter that is not supposed to be noticed by others in a professional setting, and it could be perceived as a lack of attention to detail or carelessness, which could affect my professional reputation.	White man	I felt ... when I noticed that my fly was open at work	embarrassment	fear
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it is a personal and private matter that is not supposed to be noticed by others in a professional setting, and it could be perceived as a lack of attention to detail or carelessness, which could affect my professional reputation.	White man	I felt ... when I noticed that my fly was open at work	embarrassment	sadness
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it is a personal and private matter that is not supposed to be noticed by others in a professional setting, and it could be perceived as a lack of attention to detail or carelessness, which could affect my professional reputation.	White man	I felt ... when I noticed that my fly was open at work	embarrassment	surprise
