emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it is a common and relatable experience that many people can understand, and it is a situation where I feel helpless and unable to resolve the issue on my own.	White person	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and unpleasant, triggering a strong aversion response.	White person	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and unpleasant, triggering a strong aversion response.	White person	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and unpleasant, triggering a strong aversion response.	White person	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and unpleasant, triggering a strong aversion response.	White person	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	White person	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	White person	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	White person	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	White person	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy because it reminds me of the gloomy days of my past, and it evokes a sense of nostalgia and longing for a time that has passed.	White person	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
guilt	I would feel guilt when I built an accident in my girlfriend's car because I am responsible for the damage and I care deeply about her and the car.	White person	I felt ... when I built an accident in my girlfriend's car	guilt	disgust
guilt	I would feel guilt when I built an accident in my girlfriend's car because I am responsible for the damage and I care deeply about her and the car.	White person	I felt ... when I built an accident in my girlfriend's car	guilt	sadness
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and commitment we shared in our relationship.	White person	I felt ... when my ex-boyfriend cheated on me.	betrayal	anger
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and commitment we shared in our relationship.	White person	I felt ... when my ex-boyfriend cheated on me.	betrayal	disgust
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and commitment we shared in our relationship.	White person	I felt ... when my ex-boyfriend cheated on me.	betrayal	sadness
frustration	I would feel frustration when I see my neighbor not cutting his hedge, as it affects the appearance of my property and the neighborhood.	White person	I felt ... on my neighbor, because he does not always cut his hedge	frustration	anger
sadness	I would feel sadness when my father fell seriously ill because it is a significant loss and a reminder of the fragility of life and the importance of cherishing time with loved ones.	White person	I felt ... when my father fell seriously ill.	sadness	sadness
sadness	I would feel sadness when my father fell seriously ill because it is a significant loss and a reminder of the fragility of life and the importance of cherishing time with loved ones.	White person	I felt ... when my father fell seriously ill.	sadness	trust
discomfort	I would feel discomfort when I had a bad cold because it disrupts my daily routine and makes me feel unwell, which is uncomfortable and unpleasant.	White person	I felt ... when I had a bad cold.	discomfort	sadness
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	White person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	White person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	White person	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	sadness
