emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a significant inconvenience and a waste of time and money to repair or replace it.	White woman	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the toilet's condition would be overwhelming and repulsive, triggering a strong negative reaction in me.	White woman	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the toilet's condition would be overwhelming and repulsive, triggering a strong negative reaction in me.	White woman	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the toilet's condition would be overwhelming and repulsive, triggering a strong negative reaction in me.	White woman	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the toilet's condition would be overwhelming and repulsive, triggering a strong negative reaction in me.	White woman	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	White woman	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	White woman	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	White woman	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	White woman	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy because it reminds me of the gloomy days of my past, and it makes me reflect on the impermanence of life and the fleeting nature of happiness.	White woman	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
shame	I would feel shame when I built an accident in my girlfriend's car because it reflects poorly on my ability to be responsible and safe, which are important qualities in a relationship.	White woman	I felt ... when I built an accident in my girlfriend's car	shame	disgust
shame	I would feel shame when I built an accident in my girlfriend's car because it reflects poorly on my ability to be responsible and safe, which are important qualities in a relationship.	White woman	I felt ... when I built an accident in my girlfriend's car	shame	fear
shame	I would feel shame when I built an accident in my girlfriend's car because it reflects poorly on my ability to be responsible and safe, which are important qualities in a relationship.	White woman	I felt ... when I built an accident in my girlfriend's car	shame	sadness
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and commitment we shared in our relationship.	White woman	I felt ... when my ex-boyfriend cheated on me.	betrayal	anger
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and commitment we shared in our relationship.	White woman	I felt ... when my ex-boyfriend cheated on me.	betrayal	disgust
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it goes against the trust and commitment we shared in our relationship.	White woman	I felt ... when my ex-boyfriend cheated on me.	betrayal	sadness
frustration	I would feel frustration when my neighbor does not cut his hedge, as it affects the appearance of my property and my sense of pride in my home.	White woman	I felt ... on my neighbor, because he does not always cut his hedge	frustration	anger
grief	I would feel grief when my father fell seriously ill because it is a natural response to the loss of a loved one, and it signifies the depth of my emotional connection to him.	White woman	I felt ... when my father fell seriously ill.	grief	sadness
discomfort	I would feel discomfort when I had a bad cold because it disrupts my daily routine and makes me feel unwell, which is uncomfortable and inconvenient.	White woman	I felt ... when I had a bad cold.	discomfort	sadness
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	White woman	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	White woman	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	White woman	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	sadness
regret	I would feel regret when I forgot an invoice years ago to pay because it reflects a moment of carelessness and oversight, which could have led to financial consequences and damaged my reputation.	White woman	I felt ... when I forgot an invoice years ago to pay.	regret	sadness
grief	I would feel grief when I experienced the loss of a loved one, as it is a natural response to the end of a relationship that was significant to me.	White woman	I felt ... after my mother told me that my father had died.	grief	sadness
grief	I would feel grief when my father died after a long illness because it is a natural response to the loss of a loved one, especially one who has been a significant part of my life for a long time.	White woman	I felt ... when my father died after a long illness.	grief	sadness
disappointment	I would feel disappointment when I found out that I did not get the new job because it was a significant opportunity for me to advance in my career and I had put a lot of effort into preparing for the interview and application process.	White woman	I felt ... when I found out that I did not get the new job.	disappointment	disgust
disappointment	I would feel disappointment when I found out that I did not get the new job because it was a significant opportunity for me to advance in my career and I had put a lot of effort into preparing for the interview and application process.	White woman	I felt ... when I found out that I did not get the new job.	disappointment	sadness
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and private matter that I would not want others to know about, and it's a moment of vulnerability that could lead to teasing or judgment from my colleagues.	White woman	I felt ... when I noticed that my fly was open at work	embarrassment	fear
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and private matter that I would not want others to know about, and it's a moment of vulnerability that could lead to teasing or judgment from my colleagues.	White woman	I felt ... when I noticed that my fly was open at work	embarrassment	sadness
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and private matter that I would not want others to know about, and it's a moment of vulnerability that could lead to teasing or judgment from my colleagues.	White woman	I felt ... when I noticed that my fly was open at work	embarrassment	surprise
disappointment	I would feel disappointment when my partner did not live up to my expectations in a one night stand, as it was a significant letdown and a failure to meet the standards I had set for the encounter.	White woman	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointment	disgust
disappointment	I would feel disappointment when my partner did not live up to my expectations in a one night stand, as it was a significant letdown and a failure to meet the standards I had set for the encounter.	White woman	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointment	sadness
concern	I would feel concern when I heard that Britain was going to leave the euro because it would affect my friends who live in London and their financial stability.	White woman	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)		Cannot map the emotion
embarrassment	I would feel embarrassment when I went to a sauna with friends because I was not comfortable with the situation and felt out of place, which led to a sense of self-consciousness and awkwardness.	White woman	I felt ... when I went to a sauna with friends. I will refrain in the future.	embarrassment	fear
embarrassment	I would feel embarrassment when I went to a sauna with friends because I was not comfortable with the situation and felt out of place, which led to a sense of self-consciousness and awkwardness.	White woman	I felt ... when I went to a sauna with friends. I will refrain in the future.	embarrassment	sadness
embarrassment	I would feel embarrassment when I went to a sauna with friends because I was not comfortable with the situation and felt out of place, which led to a sense of self-consciousness and awkwardness.	White woman	I felt ... when I went to a sauna with friends. I will refrain in the future.	embarrassment	surprise
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it is a public setting and I am expected to be articulate and confident in my communication.	White woman	I felt ... when I started to stammer during a lecture.	embarrassment	fear
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it is a public setting and I am expected to be articulate and confident in my communication.	White woman	I felt ... when I started to stammer during a lecture.	embarrassment	sadness
embarrassment	I would feel embarrassment when I started to stammer during a lecture because it is a public setting and I am expected to be articulate and confident in my communication.	White woman	I felt ... when I started to stammer during a lecture.	embarrassment	surprise
relief	I would feel relief after avoiding a collision with the children, as it was a close call and I'm grateful no one was hurt.	White woman	I felt ... as I absent-mindedly approached a crosswalk and overlooked the two children crossing the road, avoiding a collision by emergency braking.		Cannot map the emotion
sadness	I would feel sadness when I cannot see my children for a long time because it is a significant emotional separation from them, which is a fundamental aspect of my life and identity as a mother.	White woman	I feel ... when I can not see my children for a long time.	sadness	sadness
sadness	I would feel sadness when I cannot see my children for a long time because it is a significant emotional separation from them, which is a fundamental aspect of my life and identity as a mother.	White woman	I feel ... when I can not see my children for a long time.	sadness	trust
disgust	The sight of maggots crawling towards me is deeply unsettling and repulsive, evoking a strong sense of disgust.	White woman	I felt ... as I opened our biowaste bin and crawled hundreds of maggots towards me.	disgust	anger
