emotion	explanation	target_group	event	English Word	AffectCategory
frustration	I would feel frustration when my laptop broke down and the warranty had expired because it's a significant inconvenience and a waste of time and money to repair or replace it.	female	I felt ... when my laptop broke down and the warranty had expired.	frustration	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion.	female	I felt ... when I entered a completely soiled toilet.	disgust	anger
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion.	female	I felt ... when I entered a completely soiled toilet.	disgust	disgust
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion.	female	I felt ... when I entered a completely soiled toilet.	disgust	fear
disgust	I would feel disgust when I entered a completely soiled toilet because the sight and smell of the filth would be overwhelming and repulsive, triggering a strong aversion and revulsion.	female	I felt ... when I entered a completely soiled toilet.	disgust	sadness
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	female	I feel ... when I stepped into dog shit	disgust	anger
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	female	I feel ... when I stepped into dog shit	disgust	disgust
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	female	I feel ... when I stepped into dog shit	disgust	fear
disgust	I would feel disgust when I stepped into dog shit because it is a foul and unpleasant substance that can be harmful to my health and well-being.	female	I feel ... when I stepped into dog shit	disgust	sadness
melancholy	I would feel melancholy when the weather got very cold and cloudy because it reminds me of the gloomy days in my past, and it makes me reflect on the happiness I've lost.	female	I felt ... when the weather got very cold and cloudy.	melancholy	sadness
guilt	I would feel guilt when I built an accident in my girlfriend's car because I am responsible for the damage and I care deeply about her and the car.	female	I felt ... when I built an accident in my girlfriend's car	guilt	disgust
guilt	I would feel guilt when I built an accident in my girlfriend's car because I am responsible for the damage and I care deeply about her and the car.	female	I felt ... when I built an accident in my girlfriend's car	guilt	sadness
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a breach of the commitment we shared.	female	I felt ... when my ex-boyfriend cheated on me.	betrayal	anger
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a breach of the commitment we shared.	female	I felt ... when my ex-boyfriend cheated on me.	betrayal	disgust
betrayal	I would feel betrayal when my ex-boyfriend cheated on me because it was a deep violation of trust and a breach of the commitment we shared.	female	I felt ... when my ex-boyfriend cheated on me.	betrayal	sadness
frustration	I would feel frustration when I see my neighbor not cutting his hedge, as it affects the appearance of my property and the neighborhood's overall aesthetic.	female	I felt ... on my neighbor, because he does not always cut his hedge	frustration	anger
sadness	I would feel sadness when my father fell seriously ill because it is a significant loss and a reminder of the fragility of life and the importance of cherishing time with loved ones.	female	I felt ... when my father fell seriously ill.	sadness	sadness
sadness	I would feel sadness when my father fell seriously ill because it is a significant loss and a reminder of the fragility of life and the importance of cherishing time with loved ones.	female	I felt ... when my father fell seriously ill.	sadness	trust
discomfort	I would feel discomfort when I had a bad cold because it's an unpleasant and uncomfortable physical sensation that affects my daily activities and interactions.	female	I felt ... when I had a bad cold.	discomfort	sadness
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	female	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	disgust
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	female	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	fear
shame	I would feel shame when I lost my job due to poor performance and, as a result, put my family in financial straits, as it reflects poorly on my ability to provide for them.	female	I felt ... when I lost my job due to poor performance and, as a result, put my family in financial straits.	shame	sadness
regret	I would feel regret when I forgot an invoice years ago to pay because it reflects a moment of carelessness and oversight that could have had significant financial consequences.	female	I felt ... when I forgot an invoice years ago to pay.	regret	sadness
grief	I would feel grief when my father passed away because it's a natural response to the loss of a loved one.	female	I felt ... after my mother told me that my father had died.	grief	sadness
grief	I would feel grief when my father died after a long illness because it is a natural response to the loss of a loved one, especially one who has been a significant part of my life for a long time.	female	I felt ... when my father died after a long illness.	grief	sadness
disappointment	I would feel disappointment when I found out that I did not get the new job because it was a significant opportunity for me to grow professionally and personally, and not getting it means I have to continue searching for a better opportunity, which can be frustrating and demotivating.	female	I felt ... when I found out that I did not get the new job.	disappointment	disgust
disappointment	I would feel disappointment when I found out that I did not get the new job because it was a significant opportunity for me to grow professionally and personally, and not getting it means I have to continue searching for a better opportunity, which can be frustrating and demotivating.	female	I felt ... when I found out that I did not get the new job.	disappointment	sadness
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and private matter that I would not want others to know about, and it's a moment of vulnerability that could lead to teasing or judgment from my colleagues.	female	I felt ... when I noticed that my fly was open at work	embarrassment	fear
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and private matter that I would not want others to know about, and it's a moment of vulnerability that could lead to teasing or judgment from my colleagues.	female	I felt ... when I noticed that my fly was open at work	embarrassment	sadness
embarrassment	I would feel embarrassment when I noticed that my fly was open at work because it's a personal and private matter that I would not want others to know about, and it's a moment of vulnerability that could lead to teasing or judgment from my colleagues.	female	I felt ... when I noticed that my fly was open at work	embarrassment	surprise
disappointment	I would feel disappointment when my partner did not live up to my expectations in a one night stand, as it was a significant event that I had hoped would be fulfilling and memorable.	female	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointment	disgust
disappointment	I would feel disappointment when my partner did not live up to my expectations in a one night stand, as it was a significant event that I had hoped would be fulfilling and memorable.	female	I felt ... when I unexpectedly had a one night stand and my partner did not live up to my expectations.	disappointment	sadness
concern	I would feel concern when I heard that Britain was going to leave the euro because it would affect my friends who live in London, and I worry about their future and the impact on their lives.	female	I felt ... when I heard that Britain was going to leave the euro. (very dear friends of ours live in London and they have already told us that this would be terrible)		Cannot map the emotion
